"id","eventName","reason","created_at","updated_at"
82,Missions,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
83,ShipTargeted,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
84,DiscoveryScan,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
85,UnderAttack,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
86,Shipyard,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
87,StoredShips,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
88,Shutdown,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
89,ApproachBody,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
90,LeaveBody,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
91,ModuleInfo,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
92,Outfitting,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
93,StoredModules,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
94,RebootRepair,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
95,SRVDestroyed,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
96,RestockVehicle,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
97,JoinACrew,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
98,ChangeCrewRole,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
99,QuitACrew,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
100,LaunchDrone,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
101,RepairDrone,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
102,Market,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
103,PayBounties,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
104,Promotion,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
105,EngineerProgress,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
106,MaterialTrade,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
107,MissionAbandoned,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
108,CockpitBreached,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
109,MarketBuy,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
110,DockingCancelled,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
111,TechnologyBroker,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
112,CargoDepot,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
113,CrewHire,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
114,CrewAssign,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
115,NpcCrewPaidWage,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
116,LaunchFighter,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
117,DockFighter,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
118,FighterRebuilt,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
119,FighterDestroyed,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
120,NpcCrewRank,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
121,VehicleSwitch,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
122,BuyTradeData,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
123,CommunityGoalDiscard,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
124,CrewMemberJoins,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
125,CrewMemberQuits,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
126,CrewMemberRoleChange,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
127,EndCrewSession,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
128,EngineerContribution,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
129,EscapeInterdiction,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
130,MassModuleStore,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
131,MiningRefined,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
132,NewCommander,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
133,RefuelPartial,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
134,SelfDestruct,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
135,ShipyardSell,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
145,ReservoirReplenished,Not Reqiured,2019-01-23 00:06:27,2019-01-23 00:06:27
155,SquadronStartup,Not Required,2019-01-23 00:09:52,2019-01-23 00:09:52
