id,system,body,siteID,latitude,longitude,count,type,verified,visible
48,932,105,48,60.7385,61.1293,NULL,NULL,1,1
49,916,104,49,-68.3069,-85.2176,NULL,NULL,1,1
50,1975,460,50,-56.2851,-99.3487,NULL,NULL,1,1
51,1210,278,51,6.7942,164.5247,NULL,NULL,1,1
52,1979,465,52,5.446,-115.8653,NULL,NULL,1,1
53,3906,1036,53,-30.2462,-105.5534,NULL,NULL,1,1
54,3906,1036,54,-25.3723,-1.1001,NULL,NULL,1,1
55,3377,746,55,34.9428,-164.0981,NULL,NULL,1,1
56,1865,446,56,39.9876,-124.573,NULL,NULL,1,1
57,814,70,57,9.2356,130.8613,NULL,NULL,1,1
58,814,70,58,39.8643,-161.9637,NULL,NULL,1,1
59,814,70,59,-27.3222,-133.3107,NULL,NULL,1,1
60,1176,240,60,-45.0216,-9.0747,NULL,NULL,1,1
61,1824,433,61,-12.1596,125.6252,NULL,NULL,1,1
62,1977,462,62,-38.1583,23.8377,NULL,NULL,1,1
63,1862,444,63,34.4952,139.8961,NULL,NULL,1,1
64,1980,466,64,12.3482,-148.7433,NULL,NULL,1,1
65,3335,711,65,-25.8871,-0.139,NULL,NULL,1,1
66,106,10,66,-18.3931,-158.2827,NULL,NULL,1,1
67,3317,696,67,82.058,-137.7847,NULL,NULL,1,1
68,1627,298,68,-3.6534,-161.1228,NULL,NULL,1,1
69,3781,930,69,-33.7432,93.6785,NULL,NULL,1,1
70,3844,988,70,40.4418,-14.7376,NULL,NULL,1,1
71,1082,133,71,22.3475,139.2991,NULL,NULL,1,1
72,1693,320,72,15.538,132.91,NULL,NULL,1,1
73,1691,317,73,8.2966,-156.0347,NULL,NULL,1,1
74,3850,992,74,3.6249,-106.4594,NULL,NULL,1,1
75,3785,934,75,-2.6235,-149.9942,NULL,NULL,1,1
76,383,38,76,0.6449,-58.4207,NULL,NULL,1,1
77,383,38,77,54.1611,-61.6847,NULL,NULL,1,1
78,3319,698,78,8.2966,65.0695,NULL,NULL,1,1
79,3319,698,79,16.6298,-156.2654,NULL,NULL,1,1
80,3318,697,80,4.179,-44.9435,NULL,NULL,1,1
81,3318,697,81,2.3257,26.7024,NULL,NULL,1,1
82,3318,697,82,-0.7387,-13.1032,NULL,NULL,1,1
83,3380,747,83,40.702,-22.9878,NULL,NULL,1,1
84,3318,697,84,-17.016,72.5573,NULL,NULL,1,1
85,3318,697,85,11.3256,-144.4738,NULL,NULL,1,1
86,1672,311,86,24.6878,-53.4338,NULL,NULL,1,1
87,1671,310,87,30.7133,143.5745,NULL,NULL,1,1
88,1665,304,88,-28.7425,-179.1822,NULL,NULL,1,1
89,1664,303,89,-75.1825,172.8044,NULL,NULL,1,1
90,2991,625,90,4.7549,33.6213,NULL,NULL,1,1
91,2992,626,91,-24.4706,-85.5407,NULL,NULL,1,1
92,3374,743,92,-67.1788,40.9057,NULL,NULL,1,1
93,3373,742,93,51.7659,-160.1369,NULL,NULL,1,1
94,3822,966,94,22.4531,20.2224,NULL,NULL,1,1
95,3821,965,95,-56.8624,-128.1201,NULL,NULL,1,1
96,3825,969,96,-70.2077,-44.7562,NULL,NULL,1,1
97,3824,968,97,-16.7536,-46.2021,NULL,NULL,1,1
98,3820,964,98,-22.3593,-175.7648,NULL,NULL,1,1
99,3749,895,99,27.0794,-71.1676,NULL,NULL,1,1
100,2547,591,100,-60.5566,-79.9895,NULL,NULL,1,1
101,865,85,101,28.8187,-30.9333,NULL,NULL,1,1
102,1983,468,102,35.7453,-171.5179,NULL,NULL,1,1
103,2547,591,103,-63.6258,-108.1849,NULL,NULL,1,1
104,2547,591,104,28.3011,-40.4961,NULL,NULL,1,1
105,2547,591,105,-53.8511,32.8263,NULL,NULL,1,1
106,3746,891,106,60.0944,-173.6359,NULL,NULL,1,1
107,3746,892,107,-58.8411,-127.0076,NULL,NULL,1,1
108,2049,487,108,-3.4977,-29.9395,NULL,NULL,1,1
109,1721,327,109,61.7245,171.0261,NULL,NULL,1,1
110,3783,932,110,16.6933,27.8899,NULL,NULL,1,1
111,3782,931,111,9.5776,-19.277,NULL,NULL,1,1
112,1711,324,112,61.3636,71.3822,NULL,NULL,1,1
113,1685,314,113,30.9973,160.0175,NULL,NULL,1,1
114,916,104,114,-68.5331,-86.0329,NULL,NULL,1,1
115,1210,278,115,20.7703,-91.16,NULL,NULL,1,1
116,1210,278,116,28.0096,6.7214,NULL,NULL,1,1
117,1210,278,117,58.1889,-111.0407,NULL,NULL,1,1
118,1210,278,118,60.0232,69.5306,NULL,NULL,1,1
119,1210,278,119,-1.1069,22.1298,NULL,NULL,1,1
120,1210,278,120,-33.5132,108.4833,NULL,NULL,1,1
121,1210,278,121,-37.5969,84.1673,NULL,NULL,1,1
122,1210,278,122,-40.259,-20.107,NULL,NULL,1,1
123,1210,278,123,-47.1641,-117.7327,NULL,NULL,1,1
124,1210,278,124,-61.8313,-125.8849,NULL,NULL,1,1
125,1982,467,125,-46.724,-10.689,NULL,NULL,1,1
126,3798,951,126,-61.3525,-97.4607,NULL,NULL,1,1
127,3860,996,127,-1.5157,-88.7054,NULL,NULL,1,1
128,1684,313,128,9.0718,23.663,NULL,NULL,1,1
129,1684,313,129,-10.8666,85.4247,NULL,NULL,1,1
130,2982,621,130,17.0905,-42.4131,NULL,NULL,1,1
131,2405,539,131,5.9834,59.5796,NULL,NULL,1,1
132,3780,929,132,-60.0015,43.9325,NULL,NULL,1,1
133,3800,953,133,8.9619,-138.8448,NULL,NULL,1,1
134,3800,953,134,7.3454,-43.3958,NULL,NULL,1,1
135,3834,978,135,8.3016,136.7422,NULL,NULL,1,1
136,1668,307,136,8.6241,-148.6422,NULL,NULL,1,1
137,1722,328,137,2.5604,63.9703,NULL,NULL,1,1
138,1722,328,138,-3.4346,-131.4822,NULL,NULL,1,1
139,1669,308,139,2.7318,87.9395,NULL,NULL,1,1
140,1669,308,140,-4.0203,-50.6114,NULL,NULL,1,1
141,1669,308,141,-4.3792,22.7861,NULL,NULL,1,1
142,1669,308,142,19.5403,-35.2594,NULL,NULL,1,1
143,822,73,143,2.2923,168.4237,NULL,NULL,1,1
144,822,73,144,-7.7357,-23.5587,NULL,NULL,1,1
145,822,73,145,5.7598,133.707,NULL,NULL,1,1
146,4036,1172,146,45.0242,175.9729,NULL,NULL,1,1
147,4036,1172,147,-20.2669,-170.991,NULL,NULL,1,1
148,4035,1171,148,27.0313,73.432,NULL,NULL,1,1
149,4071,1191,149,61.033,18.8672,NULL,NULL,1,1
150,3790,939,150,42.1317,27.4131,NULL,NULL,1,1
151,3093,644,151,-8.2314,10.7607,NULL,NULL,1,1
152,3093,644,152,7.7783,125.2304,NULL,NULL,1,1
153,864,84,153,-44.2315,43.0955,NULL,NULL,1,1
154,3365,734,154,-1.5946,-124.71683,NULL,NULL,1,1
155,1001,109,155,4.8912,-34.707,NULL,NULL,1,1
156,1001,110,156,-30.3566,-99.9899,NULL,NULL,1,1
157,1001,111,157,82.0368,-20.9931,NULL,NULL,1,1
158,1001,107,158,51.8293,37.5107,NULL,NULL,1,1
159,1001,111,159,55.0813,4.682,NULL,NULL,1,1
160,1001,111,160,62.0368,-20.9931,NULL,NULL,1,1
161,1001,107,161,51.8293,37.5107,NULL,NULL,1,1
162,1001,111,162,-26.4677,34.5997,NULL,NULL,1,1
163,1041,120,163,39.9487,-102.0098,NULL,NULL,1,1
164,1848,437,164,-46.6382,6.8466,NULL,NULL,1,1
165,1627,299,165,-35.5015,-78.0718,NULL,NULL,1,1
166,1000,106,166,-58.3969,-102.1287,NULL,NULL,1,1
167,3376,745,167,-0.5469,-45.0076,NULL,NULL,1,1
168,1038,117,168,-27.2636,165.7159,NULL,NULL,1,1
169,1039,118,169,25.5222,-23.6491,NULL,NULL,1,1
170,1036,114,170,30.7335,71.1715,NULL,NULL,1,1
171,3819,963,171,51.2636,155.1699,NULL,NULL,1,1
172,3818,962,172,1.8001,143.4559,NULL,NULL,1,1
173,3818,962,173,41.98,7.5589,NULL,NULL,1,1
174,3818,962,174,-27.1969,-101.4886,NULL,NULL,1,1
175,3818,962,175,17.3051,73.928,NULL,NULL,1,1
176,3818,962,176,9.8371,162.8567,NULL,NULL,1,1
177,3818,962,177,10.8462,34.6664,NULL,NULL,1,1
178,3818,962,178,-16.7831,-122.1435,NULL,NULL,1,1
179,3818,962,179,-14.1598,2.0805,NULL,NULL,1,1
180,3818,962,180,-76.6033,9.503,NULL,NULL,1,1
181,3818,962,181,25.8319,128.7336,NULL,NULL,1,1
182,3818,962,182,55.1421,-154.9155,NULL,NULL,1,1
183,633,43,183,-32.2781,44.5841,NULL,NULL,1,1
184,633,43,184,15.9865,60.3157,NULL,NULL,1,1
185,1789,406,185,5.188,109.6119,NULL,NULL,1,1
186,3360,732,186,-55.033,-40.7401,NULL,NULL,1,1
187,3360,732,187,-56.1369,103.1678,NULL,NULL,1,1
188,1725,331,188,61.4273,27.6934,NULL,NULL,1,1
189,1989,470,189,19.2354,92.2154,NULL,NULL,1,1
190,3778,927,190,-0.4966,89.84,NULL,NULL,1,1
191,3843,987,191,-0.7488,-106.1036,NULL,NULL,1,1
192,3843,987,192,-8.4888,23.5324,NULL,NULL,1,1
193,1974,458,193,-8.5786,-158.5336,NULL,NULL,1,1
194,1974,458,194,32.8052,-52.9586,NULL,NULL,1,1
195,1974,458,195,56.0967,52.8742,NULL,NULL,1,1
196,866,86,196,8.7619,19.7368,NULL,NULL,1,1
197,823,74,197,-0.9069,-4.208,NULL,NULL,1,1
198,1029,113,198,-1.6137,-66.2577,NULL,NULL,1,1
199,4120,1260,199,-10.5943,-118.2795,NULL,NULL,1,1
200,1867,450,200,-17.3128,179.3688,NULL,NULL,1,1
201,3950,1083,201,45.7848,-73.0518,NULL,NULL,1,1
202,2564,595,202,11.2969,23.1407,NULL,NULL,1,1
203,2564,595,203,1.598,-113.1513,NULL,NULL,1,1
204,2564,595,204,9.0808,-126.7526,NULL,NULL,1,1
205,2030,474,205,8.4499,28.6349,NULL,NULL,1,1
206,2707,604,206,7.3681,-7.9909,NULL,NULL,1,1
207,2707,604,207,2.0031,-98.414,NULL,NULL,1,1
208,2032,477,208,4.5749,-23.5571,NULL,NULL,1,1
209,2032,477,209,-4.5019,92.9957,NULL,NULL,1,1
210,1070,127,210,20.314,-178.4786,NULL,NULL,1,1
211,2035,481,211,8.7185,-57.5289,NULL,NULL,1,1
212,2040,486,212,7.6777,166.5938,NULL,NULL,1,1
