id,system,body,siteID,latitude,longitude,status,verified,visible
55,2356,532,55,-0.6282,140.4103,1,1,1
56,1307,288,56,-76.007,-96.1867,2,1,1
57,3943,1071,57,3.1594,24.6321,1,1,1
58,3706,881,58,49.0882,-159.7362,1,1,1
59,2405,538,59,31.254,-87.6853,1,1,1
60,2488,564,60,66.3918,6.9695,2,1,1
61,3854,993,61,27.3204,134.839,1,1,1
62,3855,994,62,-53.2853,130.7533,1,1,1
63,1309,289,63,24.0676,-175.1989,2,1,1
64,2317,525,64,17.9523,-96.769,2,1,1
65,3512,801,65,-14.9126,-108.3329,2,1,1
66,3521,806,66,16.2778,156.3799,2,1,1
67,2452,551,67,-55.0941,155.6531,1,1,1
68,3506,800,68,3.2208,11.7039,2,1,1
69,4053,1184,69,-29.1297,-64.9776,1,1,1
70,3468,779,70,-1.952,105.5397,2,1,1
71,2434,547,71,-4.3562,117.895,1,1,1
72,3553,822,72,10.2451,-57.1205,2,1,1
73,2287,517,73,-25.2169,19.5864,1,1,1
74,4060,1187,74,-8.9625,151.9945,1,1,1
75,2470,558,75,27.9425,-129.5034,1,1,1
76,1467,293,76,46.8135,-120.6927,2,1,1
77,2334,529,77,-27.0405,-51.5551,1,1,1
78,3856,995,78,10.4805,1.7204,1,1,1
79,2386,537,79,-15.8376,-106.2342,1,1,1
80,3452,771,80,-1.0307,-155.0255,1,1,1
81,3428,757,81,-11.3492,21.792,1,1,1
82,1243,285,82,-40.069,-149.5349,2,1,1
83,2418,541,83,45.9043,-46.3383,1,1,1
84,4065,1188,84,36.0025,136.0272,1,1,1
85,2383,536,85,16.8664,7.3309,1,1,1
86,339,32,86,53.5298,-15.1728,1,1,1
87,4040,1177,87,-34.9228,124.9054,1,1,1
88,2323,526,88,73.9072,176.1945,1,1,1
89,2083,490,89,24.5778,-129.9434,2,1,1
90,307,23,90,-42.187,72.608,1,1,1
91,3587,838,91,34.0179,-179.0716,1,1,1
92,2152,494,92,-31.0007,-54.2341,1,1,1
93,2354,531,93,15.2412,-45.352,1,1,1
94,4042,1179,94,-45.3895,46.9644,1,1,1
95,432,41,95,-22.6271,-15.8986,1,1,1
96,3744,889,96,13.0667,-27.9931,1,1,1
97,363,34,97,-4.198,-48.9098,2,1,1
98,2458,554,98,65.9622,32.9774,1,1,1
99,3390,748,99,-9.4777,-95.4254,1,1,1
100,271,17,100,-17.2871,137.3867,2,1,1
101,3524,808,101,-2.1361,-50.3902,1,1,1
102,4054,1185,102,61.2111,47.3937,1,1,1
103,3437,763,103,-53.1279,79.7963,1,1,1
104,4066,1189,104,-32.2019,24.7648,1,1,1
105,2463,556,105,16.9399,-53.3368,1,1,1
106,3602,841,106,-43.8597,85.8209,2,1,1
107,4043,1180,107,73.2347,168.6743,1,1,1
108,2456,552,108,-54.513,-32.504,1,1,1
109,3601,840,109,-37.9907,140.6388,1,1,1
110,2439,549,110,-11.2222,-80.0124,1,1,1
111,1289,287,111,-29.0123,-153.8312,2,1,1
112,2437,548,112,50.3117,11.1931,1,1,1
113,4045,1182,113,-20.9913,-31.436,1,1,1
114,3414,756,114,-32.6965,-169.7781,1,1,1
115,2423,544,115,32.5462,153.0528,1,1,1
116,3433,758,116,34.7054,43.2882,1,1,1
117,2165,496,117,-33.6164,-95.5121,2,1,1
118,294,20,118,-75.7543,-148.2469,2,1,1
119,2428,546,119,27.8121,-69.1259,1,1,1
120,331,30,120,-4.9532,44.6363,2,1,1
121,2906,616,121,-7.0555,144.1756,2,1,1
122,376,37,122,13.3934,-78.7487,2,1,1
123,4039,1176,123,57.7906,67.3644,1,1,1
124,2324,527,124,41.7995,108.2899,2,1,1
125,2486,563,125,29.6993,131.1824,2,1,1
126,4047,1183,126,-45.764,138.682,1,1,1
127,3274,665,127,-46.9797,111.2209,1,1,1
128,4057,1186,128,2.954,39.8759,1,1,1
129,3267,659,129,39.8038,141.1577,1,1,1
130,3272,663,130,63.2875,124.5319,1,1,1
131,4133,1263,131,68.5898,-22.5722,1,1,1
132,4041,1178,132,23.2563,179.6454,1,1,1
133,3397,750,133,-51.4581,158.1264,1,1,1
134,4132,1262,134,-29.1609,148.2092,1,1,1
135,2273,515,135,-25.8016,30.8571,1,1,1
136,3280,671,136,58.1601,53.4055,1,1,1
137,3264,657,137,18.6182,18.6466,1,1,1
138,3269,660,138,-49.2856,-159.0749,1,1,1
139,2234,507,139,-18.8713,84.8981,1,1,1
140,4044,1181,140,-62.2121,-9.8656,1,1,1
141,2268,514,141,72.5156,-130.2906,1,1,1
142,3396,749,142,52.6056,-151.842,1,1,1
143,3271,662,143,16.1504,128.5936,1,1,1
144,1478,294,144,-8.4004,31.8891,2,1,1
145,3690,877,145,-36.8524,101.0743,2,1,1
146,4169,1300,146,-13.3533,-104.0368,1,1,1
147,2475,559,147,-48.1767,-13.3551,1,1,1
148,2231,506,148,0.8018,-144.8607,1,1,1
149,3270,661,149,-74.1521,-82.2954,1,1,1
150,3290,677,150,-74.7376,-152.5656,1,1,1
151,3310,689,151,25.7074,-21.7008,1,1,1
152,3569,830,152,-72.1508,135.5127,2,1,1
153,3435,759,153,29.0335,153.3848,1,1,1
154,3630,852,154,31.5542,141.0143,1,1,1
155,3296,681,155,12.4032,-87.639,1,1,1
156,3694,880,156,-23.3712,-160.8387,2,1,1
157,3560,825,157,0.5056,-32.957,1,1,1
158,1414,292,158,12.8468,-41.1254,2,1,1
159,2773,611,159,-53.5029,106.5668,1,1,1
160,2950,617,160,38.6733,139.1832,2,1,1
161,3284,674,161,-17.8016,-54.3772,1,1,1
162,3295,680,162,4.3611,-124.1767,1,1,1
163,3869,1003,163,-31.2941,-77.4125,1,1,1
164,3871,1005,164,5.441,43.5772,1,1,1
165,2973,618,165,-29.9773,-152.3166,2,1,1
166,311,26,166,-63.0211,-76.8831,1,1,1
167,2774,613,167,-46.2852,45.5708,2,1,1
168,2810,615,168,-39.8101,36.0883,2,1,1
169,2196,500,169,32.0728,51.8755,2,1,1
170,371,36,170,25.224,-123.7181,1,1,1
171,327,29,171,-66.7152,-150.6992,1,1,1
172,3528,817,172,-13.3105,-15.3081,1,1,1
173,399,40,173,-44.6778,-96.0452,1,1,1
174,3874,1007,174,-35.3379,-127.4803,1,1,1
175,310,25,175,-52.0494,7.952,1,1,1
176,2144,493,176,22.1347,96.5976,1,1,1
177,3471,781,177,50.3267,143.9451,1,1,1
178,3500,798,178,34.0093,63.7517,1,1,1
179,308,24,179,-18.4545,-4.6061,1,1,1
180,368,35,180,11.4778,81.5976,1,1,1
181,268,14,181,33.3162,89.9169,1,1,1
182,3873,1006,182,-34.85,52.573,1,1,1
183,3577,832,183,8.6513,78.215,1,1,1
184,2164,495,184,47.3301,-142.8403,2,1,1
185,2117,491,185,2.1539,65.5808,2,1,1
186,281,19,186,-61.213,0.2473,2,1,1
187,386,39,187,66.8546,-149.872,2,1,1
188,3534,818,188,-32.4659,-65.5308,1,1,1
189,3470,780,189,-35.6606,-38.1952,1,1,1
190,3283,673,190,41.5369,7.7036,1,1,1
191,3306,687,191,33.9557,16.7738,1,1,1
192,315,27,192,30.7249,-175.8981,2,1,1
193,3619,845,193,62.8175,137.8808,1,1,1
194,269,15,194,-29.4982,-169.2346,1,1,1
195,3627,850,195,34.5205,-87.6166,1,1,1
196,263,13,196,-43.779,-72.0815,2,1,1
197,3537,819,197,-29.0631,73.5608,2,1,1
198,3260,656,198,46.0061,-77.1934,1,1,1
199,3299,683,199,40.8408,-104.0889,1,1,1
200,3279,670,200,44.6542,39.6236,1,1,1
201,3276,667,201,38.6711,-86.7048,1,1,1
202,2135,492,202,-34.7251,-78.8895,2,1,1
203,3275,666,203,22.3928,-135.0533,1,1,1
204,3273,664,204,-18.0788,42.2722,1,1,1
205,3297,682,205,34.9502,136.1186,1,1,1
206,3277,668,206,9.4863,-108.1907,1,1,1
207,3278,669,207,40.0326,164.0504,1,1,1
208,306,22,208,21.0004,75.8452,1,1,1
209,3257,654,209,-8.1745,65.0438,2,1,1
210,2806,614,210,27.1036,-128.5733,2,1,1
211,318,28,211,16.5321,-8.3025,2,1,1
212,2209,504,212,-14.3252,-67.3716,2,1,1
213,2427,545,213,19.4297,-146.9173,2,1,1
214,3450,770,214,37.6546,39.9261,1,1,1
215,2363,533,215,60.0704,150.5113,1,1,1
216,2199,501,216,70.8429,19.5973,2,1,1
217,300,21,217,-28.2303,99.013,2,1,1
218,3573,831,218,10.0272,45.0325,1,1,1
219,3467,778,219,76.9958,-139.547,1,1,1
220,2457,553,220,17.9813,140.8444,2,1,1
221,1228,283,221,37.1876,-149.1016,2,1,1
222,3868,1002,222,47.3339,-16.4177,1,1,1
223,2201,503,223,-3.7118,89.4021,1,1,1
224,2267,513,224,-20.2772,152.5539,2,1,1
225,3870,1004,225,-53.0775,46.9689,1,1,1
226,1252,286,226,-1.2455,-139.3824,2,1,1
227,3413,755,227,-3.2977,-131.8149,2,1,1
228,3925,1054,228,6.4332,-124.9072,1,1,1
