"id","system","body","siteID","latitude","longitude","type","verified","visible","discoveredBy","created_at","updated_at"
39,1195,262,39,15.92,23.81,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
40,1195,262,40,-77.1,127.45,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
41,3861,988,41,-27.22,-7.36,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
42,3861,988,42,-27.15,-7.29,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
43,3861,988,43,-18.23,0.27,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
44,3976,1111,44,28.8065,-51.8289,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
45,3976,1111,45,13.88,-0.5478,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
46,3976,1111,46,-32.71,-34.0391,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
47,2996,616,47,9.2,-130.06,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
48,4045,1171,48,-31.47,-44.52,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
49,4044,1169,49,-22.4296,126.9466,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
50,4045,1171,50,-19.55,-1.94,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
51,4045,1171,51,-36.78,20.02,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
52,4044,1167,52,-18.4224,65.5005,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
53,4045,1172,53,36.81,132.88,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
54,4044,1167,54,-17.0825,-54.7755,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
55,4038,1159,55,41.15,129.26,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
56,4038,1159,56,10.46,130.24,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
57,4038,1159,57,7.9,-86.46,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
58,1086,136,58,-33.1039,-32.2718,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
59,1086,137,59,13.33,-61.55,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
60,1086,137,60,19.01,-100.96,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
61,1086,137,61,-35.3193,-73.9108,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
62,1151,217,62,2.4,132.05,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
63,1151,217,63,-18.9,105.07,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
64,3908,1043,64,48.18,-48.36,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
65,1151,216,65,44.57,-20.06,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
66,1151,216,66,-30.5,-13.6,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
67,1151,216,67,2,-10.67,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
68,3814,955,68,-37.8122,10.4804,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
69,3814,955,69,-49.6706,-69.6161,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
70,1186,252,70,21.3466,68.6129,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
71,1186,252,71,21.3906,68.6436,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
72,1186,252,72,21.1877,70.8749,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
73,1102,158,73,10.1834,69.4547,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
74,1102,158,74,25.5372,115.649,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
75,1102,159,75,48.7466,179.7078,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
76,1189,255,76,-21.25,-24.93,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
77,1189,255,77,-17.5,43.17,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
78,1189,255,78,31.8,65.44,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
79,1180,245,79,-12.0051,-99.3617,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
80,1180,245,80,19.27,-96.1461,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
81,1180,245,81,10.1154,-21.0965,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
82,1159,225,82,-46.2479,-114.4967,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
83,1159,225,83,-15.0791,-130.6873,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
84,1159,225,84,29.1155,-91.8998,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
85,4041,1163,85,-4.5,-176.3,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
86,4041,1163,86,11.3,-154.2,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
87,4041,1164,87,16,-176.1,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
88,4041,1164,88,-28.9,163.16,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
89,3973,1107,89,-26.653,-148.425,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
90,3973,1107,90,-26.719,-148.372,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
91,3973,1107,91,39.924,-109.193,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
92,3814,955,92,-37.8226,10.4979,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
93,1124,186,93,47.4754,32.6829,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
94,1124,186,94,8.5207,72.493,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
95,1124,186,95,-18.6814,61.893,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
96,1107,164,96,52.47,39.84,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
97,1107,164,97,-14.1,42.54,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
98,1107,164,98,-2.77,-39.36,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
99,1109,166,99,-54.5807,17.0799,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
100,1109,166,100,-21.6772,4.0535,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
101,1109,166,101,-41.8041,-43.9197,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
102,1206,275,102,-49.0267,5.413,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
103,1206,275,103,-28.4965,-72.437,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
104,1152,218,104,-49.99,-129.99,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
105,1152,218,105,-5.88,-119.66,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
106,1152,218,106,-15.43,-175.08,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
107,1192,259,107,-10.17,-136.99,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
108,1192,258,108,46.14,57.74,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
109,1192,258,109,-13.15,146.26,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
110,1192,258,110,-16.3,145.07,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
111,1114,174,111,-22.2036,-26.8074,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
112,1114,174,112,20.6142,73.4632,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
113,1114,175,113,48.8147,113.5548,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
114,1125,187,114,-24.7914,-161.4396,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
115,1125,187,115,-2.9252,38.6011,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
116,1133,198,116,14.2484,-139.8112,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
117,1133,198,117,-27.6442,-85.952,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
118,1133,198,118,-27.5077,-85.9615,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
119,1149,214,119,21.11,54.58,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
120,1149,214,120,21.07,54.5,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
121,1149,214,121,-15.59,15.57,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
122,1178,243,122,-72.58,120.77,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
123,1178,243,123,24.73,-133.21,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
124,1178,244,124,-16.72,106.7,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
125,1154,220,125,34.738,17.818,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
126,1154,220,126,25.633,21.575,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
127,1154,220,127,16.92,69.229,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
128,1120,181,128,30.2243,164.1044,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
129,1120,181,129,10.943,-170.7839,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
130,1120,182,130,7.5661,128.8135,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
131,1205,274,131,69.1866,-63.9558,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
132,1205,274,132,-70.9961,169.8454,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
133,1188,254,133,21.0057,-173.5362,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
134,1188,254,134,-0.2629,-133.1227,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
135,1188,254,135,29.8697,-123.8457,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
136,4040,1161,136,21.32,-179.69,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
137,4040,1161,137,20.5,-125.86,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
138,4040,1162,138,47.65,20.67,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
139,4040,1162,139,39.23,-44.34,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
140,3971,1105,140,21.9079,-39.8234,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
141,3000,619,141,-54.5877,25.0838,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
142,4047,1174,142,4.1674,164.4197,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
143,4047,1174,143,-31.8168,137.5363,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
144,4047,1175,144,-7.5576,-68.1405,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
145,796,57,145,25.6366,76.1155,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
146,796,57,146,1.2283,50.7668,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
147,796,57,147,11.8447,-56.0513,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
148,4048,1176,148,-32.3041,-69.7833,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
149,4048,1177,149,27.5997,-105.8709,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
150,4048,1177,150,27.5059,-105.9309,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
151,1809,409,151,-19.49,68.98,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
152,1809,409,152,25.34,85.41,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
153,1809,409,153,25.36,85.36,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
154,1812,414,154,-36.41,48.82,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
155,1812,414,155,14.1,39.67,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
156,1812,414,156,30.94,35.78,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
157,44,7,157,23.94,-82.09,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
158,44,7,158,-28.52,-156.7,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
159,1177,242,159,-17.39,-104.85,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
160,1177,241,160,-5.49,138.46,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
161,1177,241,161,43.51,-8.94,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
162,1134,200,162,8.24,101.97,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
163,1134,200,163,26.7,142.78,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
164,1134,200,164,27.32,144.5,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
165,1134,201,165,3.87,63.31,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
166,1134,201,166,-39.91,-115.56,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
167,795,56,167,16.4272,-142.7126,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
168,795,56,168,23.9717,-67.576,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
169,795,56,169,-15.9883,-9.8821,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
170,1123,185,170,-15.3243,6.5224,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
171,1123,184,171,8.1724,82.8748,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
172,1123,184,172,8.276,82.7896,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
173,3772,920,173,-19.5093,23.1325,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
174,3772,921,174,35.1875,39.6072,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
175,3772,921,175,-31.7785,48.6732,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
176,3772,921,176,-37.999,56.6387,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
177,1203,272,177,33.9682,-166.4725,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
178,1203,272,178,-22.4726,-130.1142,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
179,1203,272,179,-31.3098,-132.8548,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
180,3776,927,180,-22.7866,56.0351,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
181,3776,927,181,-1.1687,49.3558,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
182,3776,927,182,35.3033,-43.5051,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
183,3776,928,183,-16.1344,66.2188,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
184,3776,928,184,-43.4257,79.7927,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
185,3775,925,185,-40.14,-143.12,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
186,3775,926,186,75.55,172.63,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
187,3775,926,187,59.62,-18.83,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
188,3775,926,188,46.62,-4.33,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
189,1184,250,189,8.0827,-48.3564,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
190,1184,250,190,7.248,-51.3449,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
191,1184,250,191,25.9078,-59.5057,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
192,3774,923,192,-52.36,167.95,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
193,3774,923,193,-27.17,66.3,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
194,3774,923,194,-6.65,-27.14,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
195,3774,924,195,-19.86,-47.86,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
196,3774,924,196,-52.51,154.99,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
197,798,61,197,9.6033,-136.846,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
198,798,61,198,-0.8165,-54.5193,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
199,798,61,199,18.7041,1.6921,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
200,1173,238,200,38.3239,-35.7182,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
201,1173,238,201,-24.9349,-101.7066,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
202,799,63,202,-17.9222,-113.4043,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
203,799,63,203,-17.959,-113.3587,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
204,799,63,204,4.6233,27.6454,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
205,1127,190,205,12.8145,-92.3022,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
206,1127,190,206,-0.2293,1.1363,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
207,1127,190,207,-49.4746,-73.9273,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
208,1167,233,208,30.5089,171.0621,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
209,1167,233,209,-14.8578,-133.0822,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
210,1167,233,210,-3.0358,-117.0636,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
211,3735,881,211,-27.281,31.641,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
212,3735,881,212,-31.1279,-124.0304,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
213,3735,881,213,-23.7853,-110.4353,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
214,1761,368,214,-20.5504,-33.1485,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
215,1194,260,215,32.0548,-128.1269,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
216,1194,260,216,52.2356,-35.9148,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
217,1194,260,217,-14.4906,51.1395,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
218,1764,372,218,-2.4792,101.1338,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
219,1764,372,219,28.1137,89.0494,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
220,1764,373,220,-20.3236,21.6789,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
221,1761,369,221,8.2654,176.7908,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
222,1761,369,222,40.9457,68.9466,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
223,3742,888,223,-39.7614,-147.8094,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
224,3742,888,224,-42.2723,-149.5279,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
225,1204,273,225,16.1146,-102.013,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
226,1204,273,226,36.3636,-66.5507,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
227,791,52,227,11.5108,70.5161,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
228,791,52,228,16.1158,76.6291,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
229,791,52,229,-9.2328,31.9282,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
230,793,54,230,-36.7758,56.7133,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
231,793,54,231,-36.8606,56.6697,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
232,793,54,232,16.4682,123.4558,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
233,3324,698,233,0.9332,149.3166,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
234,3324,697,234,36.1199,111.9273,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
235,3324,697,235,34.7991,126.9586,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
236,1087,138,236,-54.1744,49.6475,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
237,1087,138,237,27.0059,130.9395,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
238,3326,701,238,-10.9626,-152.5711,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
239,3326,701,239,58.5705,-35.7282,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
240,800,66,240,-40.8841,-40.4988,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
241,800,66,241,-48.9705,-42.3525,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
242,800,66,242,28.7903,77.3108,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
243,3322,695,243,45.2426,-20.2129,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
244,3322,695,244,33.5973,-151.1266,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
245,3320,693,245,-36.6735,-134.0059,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
246,3320,693,246,1.7411,105.3944,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
247,794,55,247,4.2886,-56.4991,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
248,794,55,248,-25.4097,-68.7673,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
249,794,55,249,-39.6367,-101.7005,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
250,1198,265,250,10.5771,166.1236,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
251,1198,265,251,16.8053,124.8031,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
252,790,50,252,-0.3668,130.5414,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
253,790,50,253,-24.0638,-27.5575,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
254,790,50,254,9.4425,-57.1938,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
255,1165,228,255,-36.6274,-158.173,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
256,3753,900,256,-36.6468,-86.1073,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
257,3753,900,257,-37.5488,-86.1685,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
258,3753,900,258,-42.587,-22.5244,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
259,3752,899,259,-31.2882,-151.7043,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
260,1787,404,260,20.2644,-117.1336,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
261,1787,403,261,-36.879,140.0764,1,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
262,1787,403,262,27.8203,143.7759,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
263,4049,1178,263,34.785,-80.5431,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
264,4049,1178,264,16.5507,-3.4556,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
265,1165,228,265,19.4628,-126.7246,2,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
266,4049,1179,266,28.6482,-127.7992,3,1,1,,2018-08-31 13:31:40,2018-08-31 13:31:40
