id,system,body,siteID,latitude,longitude,type,cycle,count,verified,visible,discoveredBy
102,1061,948,102,47.5693,-167.2193,8,3,NULL,0,1,141
103,1061,948,103,46.7718,-164.7683,8,3,NULL,0,1,141
104,1061,948,104,46.3542,-165.069,3,3,NULL,0,1,141
105,1061,948,105,35.4491,-159.8313,8,1,NULL,0,1,141
106,1061,948,106,46.7148,-170.2378,8,3,NULL,0,1,141
107,1061,948,107,51.2846,152.2478,8,1,NULL,0,1,141
108,1079,967,108,-59.7253,-100.8103,8,1,NULL,0,1,141
109,1079,967,109,-59.7579,-100.9584,8,1,NULL,0,1,141
110,1079,967,110,-67.3018,-106.544,8,1,NULL,0,1,141
111,1079,967,111,-63.0291,-130.8848,8,1,NULL,0,1,141
112,1079,967,112,-55.78,102.74,8,3,NULL,0,1,190
113,1079,967,113,-9.3676,-13.067,3,2,NULL,0,1,190
114,1079,967,114,28.42,-34.72,8,1,NULL,0,1,190
115,897,822,115,-11.2354,-145.3719,8,4,NULL,0,1,141
116,1622,1466,116,-62.7265,-174.6157,2,3,NULL,0,1,141
117,1079,967,117,-49.6746,-93.1688,8,1,NULL,0,1,190
118,1174,1021,118,-23.5932,70.9424,5,2,NULL,0,1,141
119,1174,1021,119,-23.3382,71.5151,2,3,NULL,0,1,141
120,1174,1021,120,-26.5783,73.3242,8,4,NULL,0,1,141
121,1174,1021,121,-31.9369,77.6151,3,4,NULL,0,1,141
122,1061,948,122,43.3664,155.3691,8,1,NULL,0,1,141
123,1061,948,123,44.8012,155.2202,8,1,NULL,0,1,141
124,1061,948,124,46.2899,-173.3714,8,3,NULL,0,1,141
125,1061,948,125,46.1893,-172.5251,8,3,NULL,0,1,141
126,1061,948,126,30.3348,144.2878,8,1,NULL,0,1,141
127,632,616,127,-32.491,141.312,2,2,NULL,0,1,141
128,1079,967,128,-22.4192,-85.0385,8,1,NULL,0,1,141
129,1079,967,129,-23.1972,-94.0191,8,1,NULL,0,1,141
130,1079,967,130,-24.6396,-94.3886,8,1,NULL,0,1,141
131,1061,949,131,12.0723,-77.4303,8,1,NULL,0,1,141
132,1061,949,132,10.0397,-76.2438,8,1,NULL,0,1,141
133,1061,949,133,13.5968,-35.2585,2,3,NULL,0,1,141
134,1061,949,134,25.4089,-3.8057,8,1,NULL,0,1,141
135,1061,949,135,28.2638,-1.5745,8,1,NULL,0,1,141
136,1061,949,136,33.2,-10.5777,8,1,NULL,0,1,141
137,1061,949,137,37.3644,-13.8866,8,1,NULL,0,1,141
138,1622,1465,138,-1.0726,129.1251,2,2,NULL,0,1,114
139,1622,1465,139,-6.7142,118.9982,2,3,NULL,0,1,114
140,1622,1469,140,-4.3289,-159.6406,5,2,NULL,0,1,114
141,1616,1454,141,-34.6822,-35.1035,2,4,NULL,0,1,114
142,1616,1453,142,22.8394,-18.6425,2,4,NULL,0,1,114
143,175,104,143,6.9426,43.2432,2,4,NULL,0,1,150
144,175,104,144,-32.6969,71.4594,5,3,NULL,0,1,150
145,1079,968,145,-24.5217,57.0263,8,1,NULL,0,1,48
146,171,95,146,33.9303,-61.2215,2,2,NULL,0,1,141
147,173,98,147,48.4571,11.7493,5,4,NULL,0,1,141
148,175,108,148,-68.5405,-179.837,2,2,NULL,0,1,141
149,897,822,149,9.748,134.2303,3,2,NULL,0,1,141
150,897,822,150,2.6866,143.0324,5,2,NULL,0,1,141
151,1061,948,151,46.4393,-172.7334,8,3,NULL,0,1,57
152,175,105,152,-19.91,-7.52,2,4,NULL,0,1,141
153,1620,1461,153,13.9001,126.7439,2,4,NULL,0,1,209
154,1620,1461,154,-21.4056,112.6514,5,4,NULL,0,1,209
155,1620,1461,155,-23.7929,115.8528,5,3,NULL,0,1,209
156,1620,1461,156,19.5547,134.4431,3,2,NULL,0,1,209
157,1620,1461,157,17.535,130.9314,6,3,NULL,0,1,209
158,1619,1460,158,1.7506,171.5026,2,2,NULL,0,1,209
159,1619,1460,159,1.5933,171.149,2,2,NULL,0,1,209
160,1619,1460,160,3.6526,163.0878,2,4,NULL,0,1,209
161,1619,1460,161,-3.2671,136.3393,3,2,NULL,0,1,209
162,1061,949,162,13.3009,-40.3557,8,1,NULL,0,1,141
163,175,103,163,8.4108,15.0591,3,3,NULL,0,1,141
164,175,108,164,52.1942,157.62,3,2,NULL,0,1,141
165,1616,1452,165,19.9735,-87.832,3,2,NULL,0,1,141
166,1615,1451,166,-38.9083,-176.2855,6,4,NULL,0,1,141
167,1615,1451,167,7.1037,-173.8253,6,2,NULL,0,1,141
168,1061,948,168,36.1227,-158.9696,3,4,NULL,0,1,83
169,1615,1451,169,29.642,86.9916,2,3,NULL,0,1,141
170,1616,1452,170,-29.6222,-98.2775,3,2,NULL,0,1,83
171,1615,1451,171,-45.747299,105.370308,3,2,NULL,0,1,71
172,1151,998,172,-47.4533,-18.4075,2,5,NULL,0,1,141
173,1151,998,173,-42.7785,-21.7142,6,5,NULL,0,1,141
174,1151,999,174,-41.3795,67.1302,2,5,NULL,0,1,141
175,1151,1000,175,-30.6692,-36.3747,6,5,NULL,0,1,141
176,1151,1000,176,-20.7668,-175.1816,2,5,NULL,0,1,110
177,1151,1000,177,34.7848,179.2113,5,5,NULL,0,1,92
178,1151,1000,178,35.3987,-178.5251,3,5,NULL,0,1,104
179,1151,1000,179,-19.6535,-165.4662,6,5,NULL,0,1,104
180,1151,999,180,-14.7078,140.6005,6,5,NULL,0,1,141
181,1615,1451,181,-51.228111,104.541199,6,3,NULL,0,1,71
182,1615,1451,182,-39.871983,96.781685,2,4,NULL,0,1,71
183,1615,1451,183,-34.959667,91.613739,2,3,NULL,0,1,71
184,1615,1451,184,19.702206,93.107475,3,4,NULL,0,1,71
185,171,95,185,-27.7107,45.385,5,2,NULL,0,1,141
186,1151,999,186,-22.1825,90.9471,5,5,NULL,0,1,141
187,1151,999,187,-25.991,89.2176,3,5,NULL,0,1,141
188,1618,1458,188,8.32636,18.810936,8,2,NULL,0,1,71
189,1618,1458,189,25.255402,-5.682159,3,3,NULL,0,1,71
190,1618,1457,190,-39.902142,-65.974014,5,4,NULL,0,1,71
191,1618,1457,191,41.9804,-112.2412,2,3,NULL,0,1,82
192,1618,1457,192,-25.6059,-166.836,3,3,NULL,0,1,82
193,1618,1459,193,-35.158333,-26.877186,5,3,NULL,0,1,71
194,1618,1459,194,-11.193197,-56.67981,2,4,NULL,0,1,71
195,1618,1459,195,-8.77,103.1274,8,2,NULL,0,1,141
196,173,99,196,23.2293,33.6618,2,2,NULL,0,1,82
197,1622,1468,197,-18.964655,-70.320999,2,4,NULL,0,1,71
198,1622,1465,198,0.078167,72.318115,6,4,NULL,0,1,71
199,1078,964,199,-40.4635,25.8099,2,5,NULL,0,1,209
200,1616,1455,200,6.344975,66.142769,8,2,NULL,0,1,71
201,1078,961,201,12.3016,71.5827,5,5,NULL,0,1,141
202,1078,964,202,-23.9181,88.1463,5,5,NULL,0,1,141
203,1078,962,203,16.5483,-107.4797,5,5,NULL,0,1,147
204,1616,1455,204,-34.200191,71.3442,3,4,NULL,0,1,71
205,1616,1455,205,8.482067,82.072815,6,4,NULL,0,1,71
206,1078,964,206,-25.52,31.43,6,5,NULL,0,1,136
207,1078,964,207,-2.14,25.24,5,5,NULL,0,1,104
208,1109,980,208,-29.8096,-4.2618,3,5,NULL,0,1,83
209,1109,980,209,15.2088,-45.2712,3,5,NULL,0,1,141
210,1109,981,210,-21.005,-88.7599,5,5,NULL,0,1,141
211,1109,981,211,-13.1651,-54.358,6,5,NULL,0,1,83
212,1109,978,212,-13.9421,-46.4597,2,5,NULL,0,1,83
213,1109,979,213,25.7177,-1.6153,5,5,NULL,0,1,83
214,1109,981,214,-7.11,-45.74,2,5,NULL,0,1,164
215,1109,980,215,36.5769,-42.4067,6,5,NULL,0,1,141
216,1109,980,216,32.4949,-51.126,5,5,NULL,0,1,141
217,1616,1455,217,15.443384,110.782776,8,4,NULL,0,1,71
218,1109,978,218,-39.136917,24.273895,5,5,NULL,0,1,71
219,1109,978,219,6.764772,-36.089458,3,5,NULL,0,1,71
220,1053,945,220,-9.914108,-40.68626,3,5,NULL,0,1,71
221,1053,944,221,10.0852,167.6335,6,5,NULL,0,1,141
222,1053,944,222,13.3545,131.8813,5,5,NULL,0,1,141
223,1079,968,223,46.686771,-61.950241,8,2,NULL,0,1,71
224,1079,968,224,-23.7951,57.0969,8,2,NULL,0,1,71
225,1053,944,225,21.3418,144.2497,2,5,NULL,0,1,141
226,1053,944,226,21.9716,144.1244,6,5,NULL,0,1,141
227,1101,976,227,30.936,53.8083,6,5,NULL,0,1,1
228,1101,976,228,27.2445,65.7356,2,5,NULL,0,1,141
229,1109,978,229,-48.2301,3.2941,3,5,NULL,0,1,141
230,1109,979,230,-74.969,48.4407,5,5,NULL,0,1,141
231,171,95,231,-31.1024,45.3513,8,4,NULL,0,1,1
232,1078,962,232,11.6919,-170.1519,3,5,NULL,0,1,71
233,1078,965,233,-20.2260,-97.9429,3,5,NULL,0,1,71
234,1078,965,234,-13.373994,-115.12986,2,5,NULL,0,1,71
235,1078,962,235,46.3852,-130.0746,3,5,NULL,0,1,71
236,1078,961,236,-44.3297,93.9267,5,5,NULL,0,1,71
237,1078,961,237,21.0044,72.5935,6,5,NULL,0,1,71
238,1101,976,238,-32.5879,75.0231,6,5,NULL,0,1,71
239,1078,966,239,35.8587,64.3404,3,5,NULL,0,1,71
240,1622,1470,240,-13.8924,99.4376,8,4,NULL,0,1,71
241,1078,965,241,-19.5722,-99.8317,5,5,NULL,0,1,141
242,1109,981,242,-2.478,-110.8873,6,5,NULL,0,1,148
243,1160,1005,243,11.2107,-144.2938,5,5,NULL,0,1,71
244,1160,1006,244,-36.5242,165.4726,6,5,NULL,0,1,141
245,1160,1007,245,-29.6271,10.0355,6,5,NULL,0,1,91
246,1160,1006,246,-29.4924,173.2256,2,5,NULL,0,1,141
247,1031,924,247,-4.1823,-159.1976,3,5,NULL,0,1,71
248,1031,928,248,7.7768,-75.4291,3,5,NULL,0,1,141
249,1031,928,249,30.078,-94.7521,5,5,NULL,0,1,141
250,1031,928,250,-2.9057,-120.0469,5,5,NULL,0,1,141
251,1031,928,251,37.4628,-161.1595,3,5,NULL,0,1,141
252,1031,924,252,-29.0538,-176.0698,6,5,NULL,0,1,141
253,1053,944,253,10.0334,134.3038,3,5,NULL,0,1,71
254,612,605,254,21.9683,4.0998,2,5,NULL,0,1,71
255,1031,928,255,-2.4109,-63.4993,2,5,NULL,0,1,141
256,612,605,256,0.5617,-37.5362,6,5,NULL,0,1,141
257,612,605,257,-9.8058,-48.6179,5,5,NULL,0,1,141
258,612,606,258,25.1771,125.9744,5,5,NULL,0,1,141
259,612,606,259,20.8356,106.2174,6,5,NULL,0,1,141
260,612,605,260,-3.5113,-75.3682,3,5,NULL,0,1,71
261,612,607,261,25.7664,90.2486,6,5,NULL,0,1,141
262,612,605,262,-22.5232,-89.4039,3,5,NULL,0,1,141
263,1031,927,263,3.6266,62.894,5,5,NULL,0,1,71
264,1078,963,264,-8.9994,-48.4632,6,5,NULL,0,1,141
265,756,736,265,8.4895,-32.6384,3,5,NULL,0,1,95
266,756,736,266,9.2924,-153.9186,1,5,NULL,0,1,95
267,1239,1042,267,-57.5045,-98.7233,2,3,NULL,0,1,43
268,1031,924,268,-40.7096,-150.4434,5,5,NULL,0,1,134
269,1031,924,269,11.9925,177.0452,6,5,NULL,0,1,134
270,1031,924,270,11.3058,168.6456,2,5,NULL,0,1,134
271,1031,925,271,-42.1026,-21.8752,5,5,NULL,0,1,134
272,1031,926,272,-3.7977,-151.9287,5,5,NULL,0,1,134
273,1031,926,273,31.0788,125.0003,2,5,NULL,0,1,68
274,1160,1005,274,-16.3615,-70.9038,8,5,NULL,0,1,68
275,1160,1008,275,-23.74,-156.2297,8,5,NULL,0,1,68
276,1160,1008,276,-12.4202,-119.2942,8,5,NULL,0,1,68
277,1160,1008,277,-1.9137,-117.9485,8,5,NULL,0,1,68
278,1160,1005,278,-3.535,-154.4564,6,5,NULL,0,1,68
279,1160,1005,279,-21.5297,-149.5396,8,5,NULL,0,1,68
280,1160,1005,280,22.5975,161.694,8,5,NULL,0,1,68
281,1160,1008,281,-29.0256,-171.2617,8,5,NULL,0,1,68
282,756,736,282,14.3738,-151.7665,8,5,NULL,0,1,138
283,1151,998,283,-47.101,25.4678,3,5,NULL,0,1,87
284,1151,998,284,-46.9866,30.8517,5,5,NULL,0,1,87
285,1151,1000,285,-11.0853,-12.4684,8,5,NULL,0,1,141
286,175,108,286,-41.3838,118.2001,8,2,NULL,0,1,141
287,175,108,287,-27.0431,-117.7679,5,2,NULL,0,1,141
288,175,108,288,33.1618,-168.081,8,2,NULL,0,1,141
289,175,107,289,-35.1251,-170.217,8,2,NULL,0,1,93
290,175,107,290,-18.842,-175.3425,6,2,NULL,0,1,93
291,175,107,291,29.5172,144.2521,2,2,NULL,0,1,141
292,175,107,292,-34.724,121.0089,2,2,NULL,0,1,141
293,175,107,293,-17.1109,135.4123,8,2,NULL,0,1,141
294,175,107,294,-42.3405,114.4266,8,2,NULL,0,1,141
295,175,108,295,-2.1567,-150.1202,8,2,NULL,0,1,141
296,175,107,296,-2.2737,-176.3177,8,2,NULL,0,1,141
297,175,107,297,-7.4033,-175.8724,8,2,NULL,0,1,141
298,175,106,298,7.6398,-33.3014,8,2,NULL,0,1,141
299,1622,1465,299,-26.1989,-163.9463,2,2,NULL,0,1,206
300,1622,1465,300,-26.1745,-164.0041,2,2,NULL,0,1,206
301,1622,1465,301,-21.3803,175.5019,2,3,NULL,0,1,206
302,1622,1463,302,24.3257,-65.3146,2,3,NULL,0,1,206
303,1622,1463,303,27.486,-60.4177,8,4,NULL,0,1,206
304,1622,1463,304,7.027,-43.568,3,2,NULL,0,1,206
305,1622,1463,305,6.6427,-42.4178,4,3,NULL,0,1,206
306,1622,1463,306,-37.1061,1.5222,8,3,NULL,0,1,206
307,1622,1463,307,0.8328,25.2289,2,2,NULL,0,1,206
308,1622,1463,308,24.3149,27.5883,5,2,NULL,0,1,206
309,1622,1463,309,24.5167,26.035,8,4,NULL,0,1,206
310,1622,1463,310,24.1364,23.5438,8,4,NULL,0,1,206
311,175,106,311,6.3418,27.9524,2,2,NULL,0,1,141
312,175,106,312,-16.067,45.1604,8,2,NULL,0,1,141
313,175,106,313,28.6814,82.4823,6,2,NULL,0,1,141
314,175,106,314,19.6242,91.5534,8,2,NULL,0,1,141
315,175,106,315,61.0055,72.9185,8,2,NULL,0,1,141
316,175,106,316,-2.5465,45.0905,8,2,NULL,0,1,141
317,175,105,317,16.9494,21.8354,8,2,NULL,0,1,141
318,175,105,318,12.4513,18.1673,5,2,NULL,0,1,141
319,175,105,319,4.3463,-8.8267,8,2,NULL,0,1,141
320,175,105,320,-34.7148,1.8351,8,2,NULL,0,1,141
321,175,105,321,-43.786,-28.9474,8,2,NULL,0,1,141
322,175,105,322,7.2985,-75.0633,3,2,NULL,0,1,141
323,1622,1464,323,-14.847,-172.3047,8,4,NULL,0,1,206
324,1622,1464,324,-15.563,-173.5123,5,3,NULL,0,1,206
325,1622,1464,325,-21.533,178.1467,5,2,NULL,0,1,206
326,1622,1464,326,-24.6955,179.3156,8,4,NULL,0,1,206
327,1622,1464,327,-52.3946,-140.2005,6,3,NULL,0,1,206
328,1622,1464,328,-60.2777,-150.3504,3,2,NULL,0,1,206
329,1622,1464,329,-47.342,100.3219,8,4,NULL,0,1,206
330,1622,1464,330,-42.7713,99.478,8,3,NULL,0,1,206
331,175,104,331,17.1835,134.1889,2,2,NULL,0,1,141
332,175,104,332,16.4167,117.2996,8,2,NULL,0,1,141
333,175,104,333,-43.7392,83.9161,2,2,NULL,0,1,141
334,175,104,334,7.1506,43.3079,8,2,NULL,0,1,141
335,175,103,335,14.2427,9.9741,2,2,NULL,0,1,141
336,1622,1466,336,-9.2392,-104.7918,8,2,NULL,0,1,206
337,1622,1466,337,-8.0082,-104.6207,3,3,NULL,0,1,206
338,1622,1466,338,-5.7714,-105.9496,8,2,NULL,0,1,206
339,1622,1466,339,-68.6564,-94.7628,2,2,NULL,0,1,206
340,1622,1466,340,-67.3768,-43.0866,5,3,NULL,0,1,206
341,1622,1466,341,-67.0238,5.1413,2,2,NULL,0,1,206
342,1622,1466,342,-69.2475,8.9549,8,4,NULL,0,1,206
343,1622,1466,343,-36.7089,38.3648,8,4,NULL,0,1,206
344,1622,1466,344,-33.4331,15.8306,2,2,NULL,0,1,206
345,175,103,345,21.7845,90.1803,8,2,NULL,0,1,141
346,173,97,346,77.01,138.07,2,3,NULL,0,1,93
347,173,97,347,40.6880,177.4577,3,4,NULL,0,1,93
348,173,97,348,28.7510,-169.5665,2,2,NULL,0,1,93
349,173,98,349,2.26,-54.58,8,2,NULL,0,1,93
350,173,98,350,6.52,-36.1,8,2,NULL,0,1,93
351,173,98,351,-10.15,-9.99,8,2,NULL,0,1,93
352,173,98,352,-45.3,-79.85,8,2,NULL,0,1,93
353,173,98,353,4.77,18.67,8,2,NULL,0,1,93
354,173,98,354,-12.28,11.61,8,2,NULL,0,1,93
355,173,98,355,48.45,11.75,8,2,NULL,0,1,93
356,173,99,356,-12.29,99.46,8,2,NULL,0,1,93
357,173,99,357,0.76,70.89,8,2,NULL,0,1,93
358,173,99,358,63.6,15.72,8,2,NULL,0,1,93
359,173,99,359,-45.56,-5.53,8,2,NULL,0,1,93
360,173,99,360,-24.33,3.5,8,2,NULL,0,1,93
361,173,99,361,61.15,58.73,8,2,NULL,0,1,93
362,173,100,362,38.77,-154.91,8,2,NULL,0,1,93
363,173,100,363,23.65,-115.66,8,2,NULL,0,1,93
364,173,100,364,20.6,-112.85,8,2,NULL,0,1,93
365,173,100,365,9.34,-98.77,8,2,NULL,0,1,93
366,173,101,366,-35.78,-2.17,8,2,NULL,0,1,93
367,173,101,367,-47.12,-21.08,8,2,NULL,0,1,93
368,173,101,368,-32.16,-128.57,8,2,NULL,0,1,93
369,173,101,369,-29.75,-54.33,8,2,NULL,0,1,93
370,173,101,370,-24.75,-64.04,8,2,NULL,0,1,93
371,173,101,371,-16.14,-95.42,8,2,NULL,0,1,93
372,173,101,372,9.91,-81.66,8,2,NULL,0,1,93
373,173,101,373,-25.03,-115.39,8,2,NULL,0,1,93
374,1031,925,374,13.2042,-34.7447,2,5,NULL,0,1,71
375,1031,925,375,-18.3157,-40.9142,3,5,NULL,0,1,71
376,1031,925,376,24.7016,-72.501,6,5,NULL,0,1,71
377,1031,926,377,51.6484,-179.5194,8,5,NULL,0,1,71
378,1031,926,378,1.2248,117.4872,8,5,NULL,0,1,71
379,1031,927,379,-0.4889,49.5748,8,5,NULL,0,1,71
380,1031,927,380,71.5158,-4.9843,8,5,NULL,0,1,71
381,1031,927,381,52.2733,51.5612,8,5,NULL,0,1,71
382,1031,927,382,-36.3914,11.5551,8,5,NULL,0,1,71
383,1031,927,383,-17.5916,-24.2264,6,5,NULL,0,1,71
384,1031,928,384,-34.4247,-76.8445,8,5,NULL,0,1,71
385,1031,928,385,-41.7664,-66.169,8,5,NULL,0,1,71
386,1053,945,386,15.2162,-31.8203,5,5,NULL,0,1,108
387,1053,945,387,-13.7828,-6.9118,2,5,NULL,0,1,108
388,1053,946,388,14.1165,-30.1464,5,5,NULL,0,1,141
389,1053,946,389,7.7236,-30.3388,2,5,NULL,0,1,141
390,1053,946,390,2.7347,-23.5291,3,5,NULL,0,1,141
391,1053,946,391,-6.2173,-39.4712,6,5,NULL,0,1,141
392,1053,946,392,-11.9026,-54.6821,5,5,NULL,0,1,141
393,1053,946,393,-66.7738,-104.2762,2,5,NULL,0,1,141
394,1053,946,394,-71.9269,45.2294,3,5,NULL,0,1,141
395,1053,946,395,-31.8243,13.7997,5,5,NULL,0,1,141
396,1053,946,396,10.9063,-61.2944,6,5,NULL,0,1,141
397,1053,943,397,11.8709,-79.3125,6,5,NULL,0,1,141
398,1053,943,398,40.6923,-67.8523,3,5,NULL,0,1,141
399,1053,943,399,35.8146,-65.0837,5,5,NULL,0,1,141
400,1053,943,400,14.3189,-34.1781,6,5,NULL,0,1,141
401,1053,943,401,29.7595,-26.6644,2,5,NULL,0,1,141
402,1053,943,402,56.7874,-75.8513,2,5,NULL,0,1,141
403,1053,945,403,-5.1999,21.5048,3,5,NULL,0,1,141
404,1053,945,404,15.5063,12.8533,5,5,NULL,0,1,141
405,1053,945,405,32.3491,9.8881,5,5,NULL,0,1,141
406,1053,945,406,32.5921,10.0386,6,5,NULL,0,1,141
407,1053,945,407,-41.9321,18.9252,3,5,NULL,0,1,141
408,1053,945,408,-54.0034,-10.2792,6,5,NULL,0,1,141
409,1053,945,409,-56.3423,-21.4772,2,5,NULL,0,1,141
410,1053,944,410,25.7696,-126.6229,5,5,NULL,0,1,141
411,1053,944,411,27.0758,-126.0426,3,5,NULL,0,1,141
412,1053,944,412,-28.8471,-167.1152,2,5,NULL,0,1,141
413,1053,944,413,19.9548,105.5413,2,5,NULL,0,1,141
414,1053,944,414,20.5273,102.7488,5,5,NULL,0,1,141
