"id","systemName","edsmID","edsmID64","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","created_at","updated_at"
29,"2 XI TAURI",23370,143044633772,-17.21875,-132.65625,-177.4375,1,2018-08-31 13:28:39,2018-08-31 13:34:17
30,"21 PERSEI",183483,95795799212,-136.21875,-126.34375,-260.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:17
31,"23 ARIETIS",15320,972550031715,-40.71875,-64.4375,-71.375,1,2018-08-31 13:28:39,2018-08-31 13:34:17
32,"23 H URSAE MAJORIS",7444,177404380340,-28.1875,52.1875,-50.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:17
33,"241 G. AQUARII",12749,2518738258283,-41.78125,-73.96875,6.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
34,"26 TAURI",23376,147339601068,-49.03125,-95.78125,-222.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:17
35,"27 ARIETIS",136015,83718181546,-96.75,-180,-203.875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
36,"29 E ORIONIS",35146,633742529210,73.1875,-60.03125,-125.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
37,"2MASS J03290964+3122564",88463,22656085533737,-380.90625,-384,-956.71875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
38,"2MASS J03291977+3124572",88491,1773658693,-379.8125,-382.09375,-954.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
39,"2MASS J04414489+2301513",549206,5363875990000,-26.84375,-119.03125,-439.8125,1,2018-08-31 13:28:39,2018-08-31 13:34:17
40,"2MASS J07464256+2000321 A",63830,5368172661560,12.96875,14.15625,-34.875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
41,"2MASS J10433563-5945136",801566,53076813116,8613.09375,-122.53125,2710.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:17
42,"2MASS J10433739-6005084",985703,23012042044,8597,-168.25,2731.375,1,2018-08-31 13:28:39,2018-08-31 13:34:17
43,"2MASS J10435290-5939219",6552341,22991070516,7905.09375,-97.5,2485.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
44,"2MASS J10444160-5947046",187704,115368495739,8614.1875,-116.6875,2733.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:17
45,"3 G. CAELI",156903,800768117099,74.96875,-74.375,-22.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:17
46,"30 E TAURI",4839321,143044625572,-16.28125,-239.96875,-384.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:17
47,"31 AQUILAE",8191,2518738274667,-36.625,-2.03125,33.25,1,2018-08-31 13:28:39,2018-08-31 13:34:17
48,"32 C PISCIUM",16455,10460580203,-71.3125,-95.34375,-17.71875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
49,"32 CASSIOPEIAE",20145,163054165,-316.25,17.09375,-224.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:17
50,"32 NU ARIETIS",3218454,78615921836,-122.40625,-188.21875,-251.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:17
51,"35 ARIETIS",1011810,151630374052,-142.4375,-163.28125,-265.875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
52,"36 ANDROMEDAE",13552,3382253130442,-79.15625,-77.90625,-54.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:21
53,"36 OPHIUCHI",5331,1865903245675,0.4375,2.09375,19.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
54,"36 PSI CASSIOPEIAE",38441,633339941562,-156.15625,19.625,-115.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
55,"37 GEMINORUM",9338,732031879523,10.25,12.3125,-53.90625,1,2018-08-31 13:28:39,2018-08-31 13:34:21
56,"37 LIBRAE",13996,633608377058,5.8125,54.375,76.875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
57,"37 URSAE MAJORIS",19575,972550064483,-24.84375,68.21875,-47.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
58,"37 XI BOOTIS",16622,5581410702034,-4.21875,19.09375,9.8125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
59,"38 ARIETIS",1721,57145287860,-27.5625,-78.125,-84.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
60,"39 ARIETIS",16403,358596154042,-72.1875,-76.84375,-135.375,1,2018-08-31 13:28:39,2018-08-31 13:34:21
61,"39 LEONIS",4081,2037718731107,21.96875,61.3125,-35.875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
62,"4 ERIDANI",10428,65735222452,41.5,-135.9375,-63.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
63,"40 CETI",4235,147916310883,-27.96875,-87.59375,-32.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
64,"40 O PERSEI",72971,8752984645,-357.5625,-293.875,-948.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
65,"41 GAMMA SERPENTIS",12608,1591025338731,-12.125,26,22.875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
66,"41 TAURI",53987,4458017365,-84.53125,-125.59375,-392.125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
67,"42 N PERSEI",25933,138745472172,-83.5625,-73.40625,-244.34375,1,2018-08-31 13:28:39,2018-08-31 13:34:21
68,"44 CHI DRACONIS",13245,2278220106091,-22.5625,12.375,-5.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:21
69,"45 TAURI",546,3102853810531,12.4375,-62.34375,-102.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
70,"47 ARIETIS",9828,1522305845603,-32.03125,-58.4375,-85.25,1,2018-08-31 13:28:39,2018-08-31 13:34:21
71,"47 CETI",14369,457153939811,-14.125,-116.96875,-32.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
72,"47 TAURI",2960964,83919508122,20.15625,-157.46875,-291.375,1,2018-08-31 13:28:39,2018-08-31 13:34:21
73,"49 ARIETIS",739,108680701100,-74.25,-96.53125,-170.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:21
74,"51 AQUILAE",9078,2278220089715,-43.4375,-28.9375,74.4375,1,2018-08-31 13:28:39,2018-08-31 13:34:21
75,"53 AQUARII",6733,1900262967659,-25.6875,-54.28125,27.125,1,2018-08-31 13:28:39,2018-08-31 13:34:21
76,"53 NU SERPENTIS",331255,224649020604,-37.6875,45.21875,194.5,1,2018-08-31 13:28:39,2018-08-31 13:34:24
77,"53 TAURI",1779,74325157036,-22.59375,-90.96875,-253.25,1,2018-08-31 13:28:39,2018-08-31 13:34:24
78,"54 CETI",12835,491513694563,-50.0625,-103.03125,-75.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:24
79,"54 PISCIUM",9690,1733119972050,-23.46875,-23.8125,-13.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
80,"55 VIRGINIS",4067,358864720610,70.9375,85.5,61.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:24
81,"55 XI SERPENTIS",9209,228943987900,-19.8125,14.75,102.34375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
82,"56 G. CANIS MAJORIS",6199226,84188041898,177.09375,-38.15625,-187.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:24
83,"57 VIRGINIS",8591,633742627554,69.53125,84.3125,61.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
84,"59 ARIETIS",206405,83718247082,-68.875,-91.21875,-187.25,1,2018-08-31 13:28:39,2018-08-31 13:34:24
85,"6 G. CANCRI",581769,2690553743715,46.6875,36.8125,-56.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
86,"6 PI SCORPII",450547,4459070061,118.09375,196.96875,538.625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
87,"60 ARIETIS",133122,83718214306,-88.21875,-128.96875,-253.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
88,"60 TAURI",12347,3515170670939,2.625,-58.375,-132.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:24
89,"61 CYGNI",11158,5856288576210,-11.21875,-1.1875,1.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
90,"61 URSAE MAJORIS",9452,4207021167314,0.5625,30.09375,-8.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:24
91,"63 CHI LEONIS",5014,1487962917227,45.90625,80.375,-19.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:24
92,"63 G. CAPRICORNI",6852,560233171307,-19.1875,-44.8125,52.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:24
93,"63 TAU-2 ARIETIS",203325,83718181530,-73,-154.78125,-267.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
94,"64 ARIETIS",3944,358663262898,-57.09375,-90.65625,-178.34375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
95,"64 ORIONIS",448082,7680295501,129.34375,-7.1875,-706.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
96,"64 TAURI",231188,173109404844,-3.5,-58.53125,-150.375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
97,"64 VIRGINIS",3017663,9900663996,50.5625,197,69.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:24
98,"65 ARIETIS",203324,628935854419,-70.53125,-150.71875,-264.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
99,"65 KAPPA TAURI",3450,177404372140,-12.90625,-47.3125,-145.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:24
100,"66 ARIETIS",81283,633541169842,-50.4375,-94.5625,-180.8125,1,2018-08-31 13:28:39,2018-08-31 13:34:24
101,"69 G. CARINAE",13272,1865920022891,50.78125,-14.28125,3.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:28
102,"7 PI-1 ORIONIS",17642,254713783468,18.40625,-39.125,-108,1,2018-08-31 13:28:39,2018-08-31 13:34:28
103,"7 TAURI",23399,181695145124,-104.9375,-178.53125,-375.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
104,"70 OPHIUCHI",1956,5306532762322,-8.21875,3.09375,14.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:28
105,"70 VIRGINIS",2892,1316147448171,5.9375,56.25,15.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
106,"72 HERCULIS",19681,1934622722411,-32.875,24.6875,22.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
107,"72 TAURI",121210,31375484068,-33.375,-111.125,-359.71875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
108,"78 URSAE MAJORIS",6871,1213068233067,-35.03125,72.53125,-19.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
109,"80 E PISCIUM",15498,2072061659491,-48.09375,-97.84375,-42.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
110,"82 ERIDANI",694,79196850539,10.40625,-16.3125,-3.75,1,2018-08-31 13:28:39,2018-08-31 13:34:28
111,"85 CETI",3874047,117270627492,-92.90625,-290.28125,-297.375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
112,"85 PEGASI",10521,2007930770130,-30.75,-22.40625,-11.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:28
113,"87 MU CETI",5405,2827975903587,-17.09375,-57.5,-58.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
114,"88 D TAURI",7320,1694121314651,16.1875,-60.0625,-137,1,2018-08-31 13:28:39,2018-08-31 13:34:28
115,"89 LEONIS",9877,388451289451,44.34375,76.75,-5.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:28
116,"9 AURIGAE",11371,1797183768931,-32.75,10.5,-78.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:28
117,"9 CETI",10240,1316147415403,-18.9375,-65.3125,-3.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:28
118,"9 OMICRON-2 ORIONIS",53570,2008064955058,21.53125,-55.75,-176.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
119,"9 TAURI",40391,79180040515,-94.75,-181.25,-374.125,1,2018-08-31 13:28:39,2018-08-31 13:34:28
120,"94 CETI",156895,2931055118691,1.65625,-53.65625,-50.46875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
121,AASGAA,3627,4030600317299,97.3125,44.15625,57.9375,1,2018-08-31 13:28:39,2018-08-31 13:34:28
122,AASGANANU,15346,9466510452105,-38.8125,-62.90625,-73.875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
123,ABI,8089,11665533773225,-32.34375,-29.90625,10.625,1,2018-08-31 13:28:39,2018-08-31 13:34:28
124,ABROCMII,10780,13864825398665,-13.4375,-61.59375,-67.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:28
125,ACHANSA,8267,9467584456057,53.1875,24.25,-107.71875,1,2018-08-31 13:28:39,2018-08-31 13:34:28
126,ACHENAR,12523,164098653,67.5,-119.46875,24.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:31
127,ACIHAUT,32,11665802405289,-18.5,25.28125,-4,1,2018-08-31 13:28:39,2018-08-31 13:34:31
128,ACKYCHA,10608,2869441013145,-29.03125,39.8125,-25.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
129,ADENETS,3707,4206954091210,-40.125,65.96875,-35.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
130,ADITI,20171,61440246956,72.875,-337.84375,-159.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
131,ADITJARGL,2081,2381299337587,-0.53125,66.75,86.375,1,2018-08-31 13:28:39,2018-08-31 13:34:31
132,ADITYAN,17292,5031520572122,-80.875,-68.96875,23.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
133,ADRIA,17791,671222736257,16.03125,-64.96875,-99.5,1,2018-08-31 13:28:39,2018-08-31 13:34:31
134,ADS 16553,2278,2381299304811,-60.40625,-53.96875,-0.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
135,AE FORNACIS,5090,1183431201482,31.375,-87.71875,-42.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:31
136,AERIAL,1055,672296347049,100.75,-102.625,8.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
137,AETERNITAS,1592,1522305862003,-1.5,-14.65625,56.875,1,2018-08-31 13:28:39,2018-08-31 13:34:31
138,AG DORADUS,83697,2283009938130,80.15625,-82.90625,-11.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:31
139,AGANIPPE,7506,2557753725650,-11.5625,43.8125,11.625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
140,AGARTHA,1749,766408362347,70.71875,-123.65625,41.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
141,AGASTANI,4372,4820857522539,22.375,-17.6875,-7.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
142,AGATAVUN,15636,5130095167859,58.375,33.125,62.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
143,AHAUDHEIM,557,670418019705,-29.25,123.96875,-124.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
144,AHOLHYNIAI,16296,2870514165137,53.90625,-128.3125,-56.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
145,AHTI,16715,5069000746401,4.0625,-79.09375,-7.71875,1,2018-08-31 13:28:39,2018-08-31 13:34:31
146,AIABIKO,10543,5581276451538,-82.0625,1.625,-14.4375,1,2018-08-31 13:28:39,2018-08-31 13:34:31
147,AIN,23417,9429701333690,-4.90625,-48.53125,-138.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
148,AINUNNICORI,9814,2869709120905,-24.5,-52.625,-77.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:31
149,AIRMAN DI,6125,2832497382074,-72.8125,-15.65625,-115.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:31
150,AIRSETANOA,4054,5377835682664,103.09375,-38.8125,32.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:31
151,AJABOG,13382,4786514561387,157.375,43.96875,-1.125,1,2018-08-31 13:28:39,2018-08-31 13:34:35
152,AKANDI,17334,13865899337145,62.03125,10.75,38.875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
153,AKANDINIGUA,17036,13866167707049,85.65625,-18.15625,-4.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:35
154,AKHABAKTI,8503,671222408593,24.3125,-157.1875,-51.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
155,AKHEILOS,5646,7267487589801,-36.15625,69.625,13.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
156,AKNANGO,18166,7265876845961,-155.40625,30,-76.4375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
157,AKUNTSU,7660,9469195003305,155.3125,2.9375,4.875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
158,ALACAGUI,3268,7268829177265,63.65625,-119,17.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:35
159,ALAUNUS,23425,18263140345249,-0.65625,-52.28125,-5.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
160,ALBISIYATAE,4086,3412108216675,45.75,-157.0625,-77.375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
161,ALCHITA,6356,1110005778795,36.21875,29.28125,14.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
162,ALCOR,6523,263303726260,-36,71.78125,-15.125,1,2018-08-31 13:28:39,2018-08-31 13:34:35
163,ALCYONE,23427,8752984661,-82.9375,-156.78125,-362.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
164,ALDEBARAN,23428,3657265320650,1.4375,-22.40625,-62.75,1,2018-08-31 13:28:39,2018-08-31 13:34:35
165,ALEUTA,5799,2999808182643,136.78125,63.3125,65.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
166,ALGOL,7411,104389936308,-45.75,-23.125,-77.40625,1,2018-08-31 13:28:39,2018-08-31 13:34:35
167,ALICI,19728,2724879911283,-86.84375,-87.96875,56.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
168,ALING,18180,671222408633,19.25,-162.65625,38,1,2018-08-31 13:28:39,2018-08-31 13:34:35
169,ALIOTH,8218,1109989017963,-33.65625,72.46875,-20.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:35
170,ALIT,7959,3932210270922,39.84375,-78.5625,-35.96875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
171,ALLOWINI,13378,11665533904241,-43.34375,4.03125,-126.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:35
172,ALMAGEST,29538,2690486634827,-274.65625,-10.8125,-271.34375,1,2018-08-31 13:28:39,2018-08-31 13:34:35
173,ALNAIR,17460,250418816188,10.40625,-80.75,59.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:35
174,ALOUROVICES,8919,5071147902409,172.53125,-184.125,87.03125,1,2018-08-31 13:28:39,2018-08-31 13:34:35
175,ALPHA CENTAURI,6903,1178708478315,3.03125,-0.09375,3.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:35
176,ALPHA CHAMAELONTIS,17414,285372057963,55.65625,-23.75,20.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:39
177,ALPHA INDI,101484,2832631567074,9.71875,-60.28125,77.0625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
178,ALPHA VOLANTIS,5404,1453619923307,118.59375,-28.28125,27.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:39
179,ALPHEUS,7093,1694104537459,2.03125,-56.375,56.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:39
180,ALRAI,10746,3657198211794,-38.71875,12.3125,-21.625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
181,ALRAI SECTOR BK-R A4-2,63331,40549322869624,-21.375,-39.75,47,1,2018-08-31 13:28:39,2018-08-31 13:34:39
182,ALRAI SECTOR DL-Y D124,276504,4271084931443,-22.90625,-8.375,113.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:39
183,ALRAI SECTOR JC-V C2-24,41425,6680788112106,-79.40625,24.03125,98.78125,1,2018-08-31 13:28:39,2018-08-31 13:34:39
184,ALRAI SECTOR JR-W C1-22,23472,6131166483170,-24.28125,-1.25,57.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
185,ALRAI SECTOR LH-V B2-7,23482,16063848850881,-13.59375,-4.625,63.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:39
186,ALRAI SECTOR OC-V B2-4,34031,9467047454145,4.6875,-11,55,1,2018-08-31 13:28:39,2018-08-31 13:34:39
187,ALRAI SECTOR OS-T B3-2,167670,5069001074121,13.3125,32.4375,80.5625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
188,ALRAI SECTOR TT-R B4-4,267409,9466779084241,-23.125,6.46875,109.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:39
189,ALS 299,84183,709362205,2704.15625,-19.1875,-2469.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:39
190,ALTAIR,8228,306253399220,-12.3125,-2.75,11,1,2018-08-31 13:28:39,2018-08-31 13:34:39
191,ALYA,10492,2868903814577,-77.28125,-57.4375,30.53125,1,2018-08-31 13:28:39,2018-08-31 13:34:39
192,ALYUTO,9783,2243860384107,-47.25,71,-15.84375,1,2018-08-31 13:28:39,2018-08-31 13:34:39
193,AMAIT,9021,6131233592002,27.15625,-13.6875,-67.5,1,2018-08-31 13:28:39,2018-08-31 13:34:39
194,AMALANGKAN,18671,671759869369,66.3125,24.1875,43.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:39
195,AMARISHVARU,18077,8330391065290,102.96875,-16.5,-44.625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
196,AMBIBARII,1769,3240275970411,-124.46875,-105.09375,-22.09375,1,2018-08-31 13:28:39,2018-08-31 13:34:39
197,AMENNI,7172,7505623159522,53.9375,44.65625,56.90625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
198,AMENO,15570,5306733990626,127.71875,-132.71875,60,1,2018-08-31 13:28:39,2018-08-31 13:34:39
199,AMENTA,16552,5581679006426,140.09375,-107.0625,22.375,1,2018-08-31 13:28:39,2018-08-31 13:34:39
200,AMISI,18316,4206954025658,-40.90625,-19.84375,-118.625,1,2018-08-31 13:28:39,2018-08-31 13:34:39
201,AMITRITE,18453,7269366048161,99.875,-110.34375,-6.25,1,2018-08-31 13:28:39,2018-08-31 13:34:42
202,AMMATCH,15807,5070342792625,110.34375,-124.40625,25.3125,1,2018-08-31 13:28:39,2018-08-31 13:34:42
203,AMSITIA,6987,4207088112338,19.4375,-170.53125,-0.28125,1,2018-08-31 13:28:39,2018-08-31 13:34:42
204,AMUN,12879,7505623159498,51.5625,32.1875,-27.125,1,2018-08-31 13:28:39,2018-08-31 13:34:42
205,ANAHIT,15286,1006926530923,75.34375,-138.9375,33.4375,1,2018-08-31 13:28:39,2018-08-31 13:34:42
206,ANALI,11741,16063043478985,-75.5625,-15.9375,80,1,2018-08-31 13:28:39,2018-08-31 13:34:42
207,ANCA,11493,9466778625425,-14.71875,-138,-57.375,1,2018-08-31 13:28:39,2018-08-31 13:34:42
208,ANCANEC,12085,13865093834113,12.78125,-58.5,-97,1,2018-08-31 13:28:39,2018-08-31 13:34:42
209,ANCATE,4932,1733119840986,7.8125,-155.6875,43.1875,1,2018-08-31 13:28:39,2018-08-31 13:34:42
210,ANDHI,11945,5581477712586,43.84375,-93.5,-55.15625,1,2018-08-31 13:28:39,2018-08-31 13:34:42
211,ANDHRIMI,922,5031654822618,10.375,-54.40625,18.6875,1,2018-08-31 13:28:39,2018-08-31 13:34:42
212,ANDVARITES,9972,4649058830707,38.34375,7.875,86.65625,1,2018-08-31 13:28:39,2018-08-31 13:34:42
213,ANGETENAR,6714,908553228994,40.09375,-164.3125,-79.59375,1,2018-08-31 13:28:39,2018-08-31 13:34:42
214,ANGLII,9589,2278220106083,10.3125,36.3125,-60.21875,1,2018-08-31 13:28:39,2018-08-31 13:34:42
215,ANGRA MAINYU,157290,79230388587,98.4375,-90.15625,5.625,1,2018-08-31 13:28:39,2018-08-31 13:34:42
