id,gsSite,activeObelisk
176,41,77
177,42,156
178,42,165
179,42,167
180,42,179
181,42,183
182,43,120
183,43,129
184,43,138
185,44,230
186,44,240
187,44,249
188,44,254
189,44,264
190,45,193
191,45,199
192,45,202
193,45,215
194,45,220
195,46,82
196,46,96
197,46,105
198,47,54
199,47,62
200,47,67
201,47,70
202,48,199
203,48,202
204,48,208
205,48,221
206,49,225
207,49,238
208,49,249
209,49,254
210,49,264
211,50,201
212,50,202
213,50,215
214,50,221
215,51,55
216,51,60
217,51,65
218,51,74
219,52,114
220,52,123
221,52,145
222,53,113
223,53,121
224,54,2
225,54,11
226,54,37
227,54,38
228,54,46
229,55,120
230,55,129
231,55,138
232,56,193
233,56,197
234,56,199
235,56,220
236,57,88
237,57,97
238,57,109
239,58,3
240,58,9
241,58,43
242,58,46
243,58,40
244,59,54
245,59,56
246,59,58
247,59,59
248,59,62
249,59,70
250,59,75
251,60,231
252,60,246
253,60,250
254,60,257
255,60,265
256,61,199
257,61,207
258,61,215
259,62,79
260,62,93
261,62,106
262,63,3
263,63,14
264,63,37
265,63,38
266,63,41
267,64,51
268,64,55
269,64,58
270,64,60
271,64,67
272,64,75
273,64,77
274,65,56
275,65,59
276,65,62
277,65,75
278,66,197
279,66,201
280,66,210
281,67,199
282,67,208
283,67,210
284,67,215
285,68,156
286,68,165
287,68,167
288,68,184
289,68,187
290,69,5
291,69,13
292,69,38
293,69,41
294,69,46
295,70,153
296,70,157
297,70,171
298,70,183
299,70,187
300,70,192
301,71,111
302,71,131
303,71,133
304,72,55
305,72,60
306,72,62
307,72,75
308,73,5
309,73,13
310,73,43
311,73,44
312,73,40
313,74,79
314,74,98
315,74,106
316,75,422
317,75,430
318,75,465
319,75,483
320,76,429
321,76,440
322,76,467
323,76,486
324,77,429
325,77,440
326,77,467
327,77,486
328,78,341
329,78,358
330,78,372
331,78,395
332,79,428
333,79,437
334,79,455
335,79,480
336,80,267
337,80,272
338,80,286
339,80,291
340,80,297
341,81,341
342,81,358
343,81,372
344,81,396
345,82,272
346,82,291
347,82,297
348,83,267
349,83,287
350,83,302
351,84,428
352,84,437
353,84,455
354,84,480
355,85,333
356,85,357
357,85,371
358,85,394
359,86,419
360,86,430
361,86,465
362,86,485
363,87,269
364,87,295
365,87,303
366,88,338
367,88,361
368,88,369
369,88,393
370,89,422
371,89,430
372,89,465
373,89,483
374,90,81
375,90,92
376,90,104
377,91,419
378,91,430
379,91,466
380,91,485
381,92,272
382,92,292
383,92,297
384,93,428
385,93,432
386,93,437
387,93,455
388,93,459
389,93,475
390,93,480
391,94,272
392,94,291
393,94,297
394,95,266
395,95,285
396,96,269
397,96,293
398,96,303
399,97,333
400,97,338
401,97,357
402,97,346
403,97,371
404,97,385
405,97,393
406,97,394
407,98,272
408,98,291
409,98,297
410,99,338
411,99,341
412,99,346
413,99,361
414,99,369
415,99,385
416,100,422
417,100,435
418,100,456
419,100,483
420,101,354
421,101,362
422,101,389
423,102,334
424,102,344
425,102,373
426,102,396
427,103,154
428,103,158
429,103,174
430,103,187
431,104,153
432,104,158
433,104,166
434,104,167
435,104,174
436,104,181
437,104,184
438,104,187
439,104,190
440,105,266
441,105,284
442,106,333
443,106,357
444,106,371
445,107,113
446,107,122
447,108,79
448,108,93
449,108,106
450,109,193
451,109,197
452,109,201
453,109,217
454,110,118
455,110,125
456,110,146
457,111,87
458,111,99
459,111,109
460,112,55
461,112,60
462,112,74
463,113,228
464,113,243
465,113,250
466,113,256
467,113,265
468,114,156
469,114,165
470,114,167
471,114,179
472,114,184
473,115,4
474,115,9
475,115,38
476,115,39
477,115,41
478,116,153
479,116,157
480,116,171
481,116,181
482,116,184
483,116,192
484,117,85
485,117,102
486,118,54
487,118,59
488,118,62
489,118,70
490,119,228
491,119,243
492,119,250
493,119,256
494,119,265
495,120,47
496,120,58
497,120,67
498,120,73
