id,system,body,siteID,latitude,longitude,type,verified,visible
63,1153,218,63,-18.9000,105.0700,1,1,1
64,3956,1092,64,48.1800,-48.3600,3,1,1
65,1153,217,65,44.5700,-20.0600,1,1,1
66,1153,217,66,-30.5000,-13.6000,1,1,1
67,1153,217,67,2.0000,-10.6700,2,1,1
68,3838,981,68,-37.8122,10.4804,2,1,1
69,3838,981,69,-49.6706,-69.6161,3,1,1
70,1188,253,70,21.3466,68.6129,2,1,1
71,1188,253,71,21.3906,68.6436,3,1,1
72,1188,253,72,21.1877,70.8749,3,1,1
73,1104,159,73,10.1834,69.4547,1,1,1
74,1104,159,74,25.5372,115.6490,2,1,1
75,1104,160,75,48.7466,179.7078,2,1,1
76,1191,256,76,-21.2500,-24.9300,3,1,1
77,1191,256,77,-17.5000,43.1700,2,1,1
78,1191,256,78,31.8000,65.4400,2,1,1
79,1182,246,79,-12.0051,-99.3617,2,1,1
80,1182,246,80,19.2700,-96.1461,3,1,1
81,1182,246,81,10.1154,-21.0965,3,1,1
82,1161,226,82,-46.2479,-114.4967,3,1,1
83,1161,226,83,-15.0791,-130.6873,3,1,1
84,1161,226,84,29.1155,-91.8998,3,1,1
85,4096,1219,85,-4.5000,-176.3000,3,1,1
86,4096,1219,86,11.3000,-154.2000,1,1,1
87,4096,1220,87,16.0000,-176.1000,3,1,1
88,4096,1220,88,-28.9000,163.1600,1,1,1
89,4028,1163,89,-26.6530,-148.4250,2,1,1
90,4028,1163,90,-26.7190,-148.3720,1,1,1
91,4028,1163,91,39.9240,-109.1930,2,1,1
92,3838,981,92,-37.8226,10.4979,3,1,1
93,1126,187,93,47.4754,32.6829,3,1,1
94,1126,187,94,8.5207,72.4930,2,1,1
95,1126,187,95,-18.6814,61.8930,2,1,1
96,1109,165,96,52.4700,39.8400,2,1,1
97,1109,165,97,-14.1000,42.5400,1,1,1
98,1109,165,98,-2.7700,-39.3600,1,1,1
99,1111,167,99,-54.5807,17.0799,2,1,1
100,1111,167,100,-21.6772,4.0535,2,1,1
101,1111,167,101,-41.8041,-43.9197,1,1,1
102,1208,276,102,-49.0267,5.4130,2,1,1
103,1208,276,103,-28.4965,-72.4370,1,1,1
104,1154,219,104,-49.9900,-129.9900,1,1,1
105,1154,219,105,-5.8800,-119.6600,3,1,1
106,1154,219,106,-15.4300,-175.0800,1,1,1
107,1194,260,107,-10.1700,-136.9900,3,1,1
108,1194,259,108,46.1400,57.7400,1,1,1
109,1194,259,109,-13.1500,146.2600,1,1,1
110,1194,259,110,-16.3000,145.0700,3,1,1
111,1116,175,111,-22.2036,-26.8074,1,1,1
112,1116,175,112,20.6142,73.4632,1,1,1
113,1116,176,113,48.8147,113.5548,2,1,1
114,1127,188,114,-24.7914,-161.4396,3,1,1
115,1127,188,115,-2.9252,38.6011,2,1,1
116,1135,199,116,14.2484,-139.8112,3,1,1
117,1135,199,117,-27.6442,-85.9520,2,1,1
118,1135,199,118,-27.5077,-85.9615,2,1,1
119,1151,215,119,21.1100,54.5800,3,1,1
120,1151,215,120,21.0700,54.5000,2,1,1
121,1151,215,121,-15.5900,15.5700,3,1,1
122,1180,244,122,-72.5800,120.7700,1,1,1
123,1180,244,123,24.7300,-133.2100,3,1,1
124,1180,245,124,-16.7200,106.7000,3,1,1
125,1156,221,125,34.7380,17.8180,1,1,1
126,1156,221,126,25.6330,21.5750,1,1,1
127,1156,221,127,16.9200,69.2290,3,1,1
128,1122,182,128,30.2243,164.1044,3,1,1
129,1122,182,129,10.943,-170.7839,2,1,1
130,1122,183,130,7.5661,128.8135,2,1,1
131,1207,275,131,69.1866,-63.9558,3,1,1
132,1207,275,132,-70.9961,169.8454,2,1,1
133,1190,255,133,21.0057,-173.5362,1,1,1
134,1190,255,134,-0.2629,-133.1227,2,1,1
135,1190,255,135,29.8697,-123.8457,3,1,1
136,4095,1217,136,21.3200,-179.6900,2,1,1
137,4095,1217,137,20.5000,-125.8600,1,1,1
138,4095,1218,138,47.6500,20.6700,2,1,1
139,4095,1218,139,39.2300,-44.3400,3,1,1
140,4024,1159,140,21.9079,-39.8234,2,1,1
141,3013,635,141,-54.5877,25.0838,3,1,1
142,4102,1230,142,4.1674,164.4197,3,1,1
143,4102,1230,143,-31.8168,137.5363,2,1,1
144,4102,1231,144,-7.5576,-68.1405,1,1,1
145,796,56,145,25.6366,76.1155,2,1,1
146,796,56,146,1.2283,50.7668,3,1,1
147,796,56,147,11.8447,-56.0513,3,1,1
148,4103,1232,148,-32.3041,-69.7833,3,1,1
149,4103,1233,149,27.5997,-105.8709,3,1,1
150,4103,1233,150,27.5059,-105.9309,2,1,1
151,1815,416,151,-19.4900,68.9800,3,1,1
152,1815,416,152,25.3400,85.4100,2,1,1
153,1815,416,153,25.3600,85.3600,3,1,1
154,1818,421,154,-36.4100,48.8200,1,1,1
155,1818,421,155,14.1000,39.6700,3,1,1
156,1818,421,156,30.9400,35.7800,1,1,1
157,44,7,157,23.9400,-82.0900,3,1,1
158,44,7,158,-28.5200,-156.7000,1,1,1
159,1179,243,159,-17.3900,-104.8500,1,1,1
160,1179,242,160,-5.4900,138.4600,2,1,1
161,1179,242,161,43.5100,-8.9400,1,1,1
162,1136,201,162,8.2400,101.9700,2,1,1
163,1136,201,163,26.7000,142.7800,2,1,1
164,1136,201,164,27.3200,144.5000,2,1,1
165,1136,202,165,3.8700,63.3100,1,1,1
166,1136,202,166,-39.9100,-115.5600,3,1,1
167,795,55,167,16.4272,-142.7126,2,1,1
168,795,55,168,23.9717,-67.5760,2,1,1
169,795,55,169,-15.9883,-9.8821,3,1,1
170,1125,186,170,-15.3243,6.5224,2,1,1
171,1125,185,171,8.1724,82.8748,3,1,1
172,1125,185,172,8.2760,82.7896,1,1,1
173,3792,941,173,-19.5093,23.1325,2,1,1
174,3792,942,174,35.1875,39.6072,3,1,1
175,3792,942,175,-31.7785,48.6732,2,1,1
176,3792,942,176,-37.9990,56.6387,2,1,1
177,1205,273,177,33.9682,-166.4725,1,1,1
178,1205,273,178,-22.4726,-130.1142,1,1,1
179,1205,273,179,-31.3098,-132.8548,2,1,1
180,3796,948,180,-22.7866,56.0351,1,1,1
181,3796,948,181,-1.1687,49.3558,3,1,1
182,3796,948,182,35.3033,-43.5051,2,1,1
183,3796,949,183,-16.1344,66.2188,1,1,1
184,3796,949,184,-43.4257,79.7927,1,1,1
185,3795,946,185,-40.1400,-143.1200,3,1,1
186,3795,947,186,75.5500,172.6300,1,1,1
187,3795,947,187,59.6200,-18.8300,3,1,1
188,3795,947,188,46.6200,-4.3300,3,1,1
189,1186,251,189,8.0827,-48.3564,3,1,1
190,1186,251,190,7.2480,-51.3449,3,1,1
191,1186,251,191,25.9078,-59.5057,1,1,1
192,3794,944,192,-52.3600,167.9500,3,1,1
193,3794,944,193,-27.1700,66.3000,2,1,1
194,3794,944,194,-6.6500,-27.1400,3,1,1
195,3794,945,195,-19.8600,-47.8600,3,1,1
196,3794,945,196,-52.5100,154.9900,1,1,1
197,798,60,197,9.6033,-136.8460,1,1,1
198,798,60,198,-0.8165,-54.5193,2,1,1
199,798,60,199,18.7041,1.6921,1,1,1
200,1175,239,200,38.3239,-35.7182,3,1,1
201,1175,239,201,-24.9349,-101.7066,2,1,1
202,799,62,202,-17.9222,-113.4043,1,1,1
203,799,62,203,-17.959,-113.3587,2,1,1
204,799,62,204,4.6233,27.6454,3,1,1
205,1129,191,205,12.8145,-92.3022,1,1,1
206,1129,191,206,-0.2293,1.1363,1,1,1
207,1129,191,207,-49.4746,-73.9273,1,1,1
208,1169,234,208,30.5089,171.0621,1,1,1
209,1169,234,209,-14.8578,-133.0822,2,1,1
210,1169,234,210,-3.0358,-117.0636,2,1,1
211,3755,902,211,-27.281,31.641,3,1,1
212,3755,902,212,-31.1279,-124.0304,3,1,1
213,3755,902,213,-23.7853,-110.4353,3,1,1
214,1765,372,214,-20.5504,-33.1485,1,1,1
215,1196,261,215,32.0548,-128.1269,1,1,1
216,1196,261,216,52.2356,-35.9148,3,1,1
217,1196,261,217,-14.4906,51.1395,3,1,1
218,1768,376,218,-2.4792,101.1338,3,1,1
219,1768,376,219,28.1137,89.0494,2,1,1
220,1768,377,220,-20.3236,21.6789,1,1,1
221,1765,373,221,8.2654,176.7908,3,1,1
222,1765,373,222,40.9457,68.9466,2,1,1
223,3762,909,223,-39.7614,-147.8094,1,1,1
224,3762,909,224,-42.2723,-149.5279,1,1,1
225,1206,274,225,16.1146,-102.013,3,1,1
226,1206,274,226,36.3636,-66.5507,3,1,1
227,791,51,227,11.5108,70.5161,3,1,1
228,791,51,228,16.1158,76.6291,1,1,1
229,791,51,229,-9.2328,31.9282,3,1,1
230,793,53,230,-36.7758,56.7133,3,1,1
231,793,53,231,-36.8606,56.6697,3,1,1
232,793,53,232,16.4682,123.4558,2,1,1
233,3341,718,233,0.9332,149.3166,1,1,1
234,3341,717,234,36.1199,111.9273,2,1,1
235,3341,717,235,34.7991,126.9586,2,1,1
236,1089,139,236,-54.1744,49.6475,3,1,1
237,1089,139,237,27.0059,130.9395,2,1,1
238,3343,721,238,-10.9626,-152.5711,2,1,1
239,3343,721,239,58.5705,-35.7282,1,1,1
240,800,65,240,-40.8841,-40.4988,2,1,1
241,800,65,241,-48.9705,-42.3525,1,1,1
242,800,65,242,28.7903,77.3108,1,1,1
243,3339,715,243,45.2426,-20.2129,2,1,1
244,3339,715,244,33.5973,-151.1266,1,1,1
245,3337,713,245,-36.6735,-134.0059,3,1,1
246,3337,713,246,1.7411,105.3944,3,1,1
247,794,54,247,4.2886,-56.4991,1,1,1
248,794,54,248,-25.4097,-68.7673,1,1,1
249,794,54,249,-39.6367,-101.7005,2,1,1
250,1200,266,250,10.5771,166.1236,1,1,1
251,1200,266,251,16.8053,124.8031,3,1,1
252,790,49,252,-0.3668,130.5414,3,1,1
253,790,49,253,-24.0638,-27.5575,3,1,1
254,790,49,254,9.4425,-57.1938,1,1,1
255,1167,229,255,-36.6274,-158.173,1,1,1
256,3773,921,256,-36.6468,-86.1073,1,1,1
257,3773,921,257,-37.5488,-86.1685,1,1,1
258,3773,921,258,-42.587,-22.5244,2,1,1
259,3772,920,259,-31.2882,-151.7043,3,1,1
260,1793,411,260,20.2644,-117.1336,3,1,1
261,1793,410,261,-36.879,140.0764,1,1,1
262,1793,410,262,27.8203,143.7759,3,1,1
263,4104,1234,263,34.785,-80.5431,2,1,1
264,4104,1234,264,16.5507,-3.4556,3,1,1
265,1167,229,265,19.4628,-126.7246,2,1,1
266,4104,1235,266,28.6482,-127.7992,3,1,1
267,796,57,267,25.6567,76.0798,2,1,1
268,1201,267,268,-1.2459,39.9643,1,1,1
269,1201,268,269,-50.21,-125.0965,3,1,1
270,1158,223,270,-47.1423,-138.5505,2,1,1
271,1158,223,271,-38.7705,17.2915,1,1,1
272,3892,1021,272,24.1346,172.0412,3,1,1
273,1204,271,273,-44.5991,135.1922,1,1,1
274,1204,271,274,-30.2362,2.9298,1,1,1
275,1204,272,275,-15.0367,-178.6987,1,1,1
276,1204,272,276,33.9366,119.1534,2,1,1
277,1189,254,277,-29.15,136.4509,3,1,1
278,1189,254,278,-29.118,137.7482,3,1,1
279,1189,254,279,-44.9313,-61.7014,2,1,1
280,1100,149,280,12.9376,14.7975,3,1,1
281,1100,149,281,21.6727,0.8096,1,1,1
282,1100,150,282,36.6647,3.46,1,1,1
283,1096,144,283,-5.0246,-26.9995,1,1,1
284,1096,144,284,-2.9745,-128.4154,2,1,1
285,1096,144,285,-2.9767,-128.4826,3,1,1
286,1096,145,286,46.7761,-150.4471,3,1,1
287,1096,145,287,38.0487,-48.8509,3,1,1
288,1087,136,288,-31.5935,141.3556,3,1,1
289,1087,136,289,-31.6153,141.2318,1,1,1
290,1087,136,290,14.9202,146.093,3,1,1
