id,system,body,siteID,latitude,longitude,type,hasDatabank,verified,visible
56,3888,1017,56,-15.3128,53.2152,6,1,1,1
57,1199,265,57,-68.5234,66.2561,3,0,1,1
58,1212,280,58,11.2991,-113.3043,1,0,1,1
59,1107,163,59,-40.0571,-20.0045,2,0,1,1
60,3326,700,60,70.0007,-38.5384,7,1,1,1
61,3331,707,61,52.0385,110.8552,6,1,1,1
62,3332,708,62,-23.7554,36.7087,3,0,1,1
63,3329,703,63,54.0972,-52.0658,1,0,1,1
64,1123,184,64,-43.1448,163.005,2,0,1,1
65,1083,134,65,-11.389,-149.2682,2,0,1,1
66,1141,205,66,-33.9519,-12.5171,6,1,1,1
67,1158,223,67,-59.2133,-132.9053,6,1,1,1
68,1198,264,68,-11.5445,63.4959,5,1,1,1
69,1192,257,69,42.1358,177.2873,1,0,1,1
70,3334,710,70,-20.4225,34.3141,5,1,1,1
71,4005,1139,71,-39.0538,-65.4311,4,1,1,1
72,3965,1098,72,30.3997,-127.24,2,0,1,1
73,3909,1039,73,58.9512,88.5083,1,0,1,1
74,1087,136,74,-57.9996,-7.8974,3,NULL,1,1
75,3970,1102,75,3.348,9.5881,10,1,1,1
76,3879,1009,76,-52.2766,98.4334,10,1,1,1
77,3910,1040,77,-3.4755,-115.258,10,1,1,1
78,3878,1008,78,-46.7966,-132.27,9,NULL,1,1
79,3920,1050,79,-4.9388,-65.8151,10,1,1,1
80,3908,1038,80,-37.5625,-125.6039,8,1,1,1
81,4027,1161,81,2.5833,126.6176,9,NULL,1,1
82,3890,1019,82,-2.0147,54.393,8,NULL,1,1
83,3926,1055,83,56.7166,121.6597,9,NULL,1,1
84,3934,1063,84,50.6153,-35.0532,10,NULL,1,1
85,3905,1035,85,-23.99,174.22,9,NULL,1,1
86,3958,1094,86,59.518,-23.376,10,1,1,1
87,3907,1037,87,64.2973,163.6847,8,1,1,1
88,3902,1032,88,-45.4807,152.4102,9,NULL,1,1
89,3940,1069,89,38.2725,-48.5607,10,1,1,1
90,3333,709,90,-49.5373,-81.8963,10,NULL,1,1
91,3001,627,91,-0.8641,-38.1784,10,NULL,1,1
92,3885,1014,92,-16.1024,-5.7274,8,NULL,1,1
93,3924,1053,93,42.5076,155.6324,10,1,1,1
94,3880,1010,94,43.6624,174.2231,8,1,1,1
95,3951,1084,95,-44.9067,89.4301,8,NULL,1,1
96,3009,633,96,-44.5212,34.3159,8,1,1,1
97,3005,628,97,25.4582,-132.8993,9,1,1,1
98,3900,1027,98,-14.0603,-31.1756,8,NULL,1,1
99,3922,1052,99,47.409,80.6103,9,NULL,1,1
