id,grSite,activeObelisk
252,15,705
253,15,708
254,15,753
255,15,759
256,15,761
257,15,776
258,15,783
259,15,795
260,15,800
261,15,832
262,15,833
263,15,845
264,15,856
265,15,870
266,15,871
267,15,914
268,16,665
269,16,677
270,16,697
271,16,705
272,16,712
273,16,730
274,16,792
275,16,794
276,16,818
277,16,833
278,16,844
279,16,859
280,16,870
281,16,877
282,16,922
283,16,925
284,16,930
285,16,947
286,17,276
287,17,315
288,17,357
289,17,372
290,17,377
291,17,399
292,17,409
293,17,430
294,17,439
295,18,276
296,18,284
297,18,315
298,18,366
299,18,372
300,18,399
301,18,439
302,18,446
303,18,450
304,18,508
305,18,526
306,19,282
307,19,313
308,19,353
309,19,369
310,19,371
311,19,441
312,19,449
313,19,461
314,19,507
315,19,524
316,19,548
317,19,550
318,20,690
319,20,693
320,20,709
321,20,714
322,20,790
323,20,796
324,20,814
325,20,846
326,20,851
327,20,873
328,21,366
329,21,367
330,21,401
331,21,439
332,21,441
333,21,469
334,21,508
335,21,513
336,21,555
337,21,583
338,21,594
339,22,21
340,22,38
341,22,87
342,22,88
343,22,104
344,22,106
345,22,120
346,22,125
347,22,134
348,22,174
349,22,176
350,22,189
351,22,246
352,22,258
353,22,266
354,23,11
355,23,16
356,23,20
357,23,29
358,23,34
359,23,63
360,23,68
361,23,78
362,23,110
363,23,115
364,23,119
365,23,138
366,23,143
367,23,147
368,23,171
369,23,205
370,23,223
371,23,226
372,23,227
373,23,232
374,24,352
375,24,394
376,24,405
377,24,410
378,24,427
379,24,519
380,24,524
381,24,534
382,24,538
383,24,548
384,25,294
385,25,304
386,25,324
387,25,341
388,25,379
389,25,389
390,25,441
391,25,450
392,25,467
393,25,472
394,25,493
395,25,565
396,25,568
397,25,599
398,26,280
399,26,383
400,26,435
401,26,458
402,26,459
403,26,469
404,26,520
405,26,521
406,26,534
407,26,537
408,26,544
409,27,622
410,27,635
411,27,649
412,27,662
413,27,664
414,27,676
415,27,708
416,27,717
417,27,744
418,27,745
419,27,753
420,27,761
421,27,763
422,27,795
423,27,798
424,27,810
425,27,832
426,27,843
427,27,845
428,27,858
429,27,860
430,27,871
431,27,874
432,27,928
433,27,940
434,27,948
435,28,295
436,28,301
437,28,321
438,28,383
439,28,410
440,28,429
441,28,438
442,28,441
443,28,534
444,28,538
445,28,550
446,29,45
447,29,47
448,29,59
449,29,61
450,29,98
451,29,99
452,29,104
453,29,108
454,29,113
455,29,132
456,29,168
457,29,208
458,29,216
459,29,233
460,29,239
461,30,658
462,30,659
463,30,666
464,30,671
465,30,692
466,30,700
467,30,711
468,30,716
469,30,741
470,30,749
471,30,756
472,30,782
473,30,809
474,30,824
475,30,829
476,30,864
477,30,869
478,30,875
479,30,903
480,30,904
481,30,934
482,30,942
483,30,951
484,31,642
485,31,649
486,31,667
487,31,676
488,31,704
489,31,717
490,31,737
491,31,755
492,31,764
493,31,779
494,31,783
495,31,835
496,31,843
497,31,860
498,31,868
499,31,876
500,31,909
501,32,630
502,32,635
503,32,657
504,32,662
505,32,664
506,32,670
507,32,678
508,32,734
509,32,756
510,32,763
511,32,778
512,32,785
513,32,789
514,32,803
515,32,819
516,32,826
517,32,832
518,32,838
519,32,874
520,32,902
521,32,907
522,32,910
523,33,319
524,33,327
525,33,337
526,33,358
527,33,364
528,33,405
529,33,415
530,33,420
531,33,469
532,33,500
533,34,620
534,34,626
535,34,647
536,34,653
537,34,701
538,34,742
539,34,748
540,34,755
541,34,762
542,34,774
543,34,813
544,34,878
545,34,892
546,34,898
547,35,34
548,35,35
549,35,44
550,35,49
551,35,58
552,35,63
553,35,76
554,35,110
555,35,118
556,35,122
557,35,138
558,35,143
559,35,150
560,35,169
561,35,173
562,35,186
563,35,196
564,35,211
565,35,218
566,35,232
567,35,236
568,36,642
569,36,647
570,36,684
571,36,704
572,36,705
573,36,731
574,36,817
575,36,818
576,36,846
577,36,847
578,36,877
579,36,913
580,36,921
581,36,925
582,37,42
583,37,52
584,37,56
585,37,66
586,37,71
587,37,109
588,37,127
589,37,136
590,37,162
591,37,164
592,37,224
593,37,225
594,37,230
595,37,235
596,38,2
597,38,3
598,38,13
599,38,23
600,38,41
601,38,43
602,38,45
603,38,57
604,38,59
605,38,80
606,38,84
607,38,109
608,38,135
609,38,141
610,38,145
611,38,217
612,38,222
613,38,229
614,38,239
615,38,247
616,38,249
617,38,255
618,39,276
619,39,284
620,39,354
621,39,412
622,39,428
623,39,470
624,39,476
625,39,492
626,39,539
627,39,551
628,40,270
629,40,353
630,40,379
631,40,469
632,40,477
633,40,483
634,40,502
635,41,273
636,41,296
637,41,301
638,41,326
639,41,336
640,41,435
641,41,469
642,42,1
643,42,7
644,42,18
645,42,57
646,42,61
647,42,104
648,42,134
649,42,165
650,42,177
651,42,179
652,42,189
653,42,199
654,42,208
655,42,215
656,43,15
657,43,16
658,43,20
659,43,49
660,43,54
661,43,77
662,43,82
663,43,89
664,43,90
665,43,109
666,43,115
667,43,123
668,43,139
669,43,143
670,43,151
671,43,170
672,43,223
673,43,226
674,43,227
675,43,237
676,44,6
677,44,16
678,44,17
679,44,18
680,44,32
681,44,34
682,44,40
683,44,44
684,44,49
685,44,53
686,44,75
687,44,76
688,44,82
689,44,85
690,44,91
691,44,106
692,44,110
693,44,115
694,44,118
695,44,124
696,44,133
697,44,139
698,44,168
699,44,169
700,44,174
701,44,179
702,44,186
703,44,196
704,44,202
705,44,203
706,44,232
707,44,234
708,44,236
709,45,295
710,45,306
711,45,307
712,45,313
713,45,315
714,45,441
715,45,442
716,45,469
717,45,470
718,45,501
719,45,502
720,45,534
721,45,535
722,46,92
723,46,96
724,46,98
725,46,106
726,46,109
727,46,121
728,46,125
729,46,131
730,46,133
731,46,135
732,46,176
733,46,181
734,46,189
735,46,191
736,46,197
737,46,200
738,46,209
739,46,215
740,46,216
741,46,244
742,46,249
743,46,266
744,47,83
745,47,92
746,47,104
747,47,106
748,47,144
749,47,153
750,47,165
751,47,178
752,47,184
753,47,190
754,47,199
755,47,212
756,47,222
757,48,32
758,48,58
759,48,59
760,48,76
761,48,89
762,48,98
763,48,102
764,48,138
765,48,150
766,48,159
767,48,169
768,48,179
769,48,186
770,48,191
771,48,203
772,48,236
773,48,239
774,48,240
775,48,244
776,48,260
777,49,279
778,49,282
779,49,300
780,49,306
781,49,309
782,49,469
783,49,470
784,49,502
785,49,503
786,49,535
787,49,540
788,49,544
789,49,549
790,50,11
791,50,14
792,50,19
793,50,22
794,50,26
795,50,42
796,50,45
797,50,59
798,50,93
799,50,98
800,50,130
801,50,131
802,50,154
803,50,159
804,50,164
805,50,178
806,50,191
807,50,192
808,50,231
809,50,239
810,51,8
811,51,10
812,51,18
813,51,21
814,51,32
815,51,74
816,51,108
817,51,120
818,51,122
819,51,176
820,51,184
821,51,201
822,51,207
823,51,218
824,51,230
825,51,236
826,51,260
827,51,266
828,52,21
829,52,23
830,52,40
831,52,59
832,52,61
833,52,62
834,52,70
835,52,77
836,52,102
837,52,104
838,52,106
839,52,109
840,52,133
841,52,135
842,52,163
843,52,170
844,52,174
845,52,175
846,52,176
847,52,182
848,52,207
849,52,217
850,52,221
851,52,230
852,52,237
853,52,238
854,52,248
855,52,255
856,52,258
857,52,266
858,53,271
859,53,406
860,53,424
861,53,431
862,53,440
863,53,513
864,53,531
865,53,533
866,53,546
867,53,552
868,54,24
869,54,34
870,54,40
871,54,62
872,54,63
873,54,66
874,54,71
875,54,76
876,54,108
877,54,110
878,54,136
879,54,139
880,54,143
881,54,152
882,54,162
883,54,181
884,54,182
885,54,184
886,54,196
887,54,198
888,54,203
889,54,211
890,54,221
891,54,224
892,54,243
893,54,247
894,54,248
895,54,262
896,55,7
897,55,11
898,55,12
899,55,75
900,55,104
901,55,108
902,55,168
903,55,202
904,55,208
905,55,211
906,55,231
907,55,233
908,55,253
909,55,254
910,55,265
911,56,293
912,56,305
913,56,317
914,56,434
915,56,440
916,56,468
917,56,498
918,56,515
919,56,523
920,56,557
921,56,573
922,57,631
923,57,633
924,57,679
925,57,696
926,57,714
927,57,716
928,57,790
929,57,792
930,57,827
931,57,829
932,57,846
933,57,853
934,57,864
935,57,903
936,57,905
937,57,911
938,57,945
939,58,282
940,58,313
941,58,388
942,58,401
943,58,419
944,58,430
945,58,441
946,58,543
947,58,551
948,59,611
949,59,634
950,59,681
951,59,729
952,59,736
953,59,768
954,59,773
955,59,775
956,59,785
957,59,846
958,59,849
959,59,878
960,59,883
961,59,906
962,59,916
963,59,918
964,59,935
965,59,950
966,60,9
967,60,11
968,60,15
969,60,22
970,60,24
971,60,103
972,60,108
973,60,127
974,60,130
975,60,154
976,60,162
977,60,185
978,60,192
979,60,193
980,60,198
981,60,224
982,60,225
983,60,254
984,60,262
985,60,264
986,61,270
987,61,321
988,61,353
989,61,438
990,61,534
991,62,622
992,62,633
993,62,649
994,62,660
995,62,669
996,62,676
997,62,688
998,62,722
999,62,790
1000,62,798
1001,62,810
1002,62,825
1003,62,827
1004,62,837
1005,62,843
1006,62,846
1007,62,858
1008,62,860
1009,62,866
1010,62,894
1011,62,905
1012,62,910
1013,62,952
1014,63,3
1015,63,11
1016,63,17
1017,63,76
1018,63,102
1019,63,110
1020,63,122
1021,63,125
1022,63,138
1023,63,169
1024,63,181
1025,63,186
1026,63,192
1027,63,203
1028,63,215
1029,63,218
1030,63,228
1031,63,236
1032,63,246
1033,63,254
1034,63,260
1035,64,660
1036,64,661
1037,64,669
1038,64,676
1039,64,688
1040,64,722
1041,64,810
1042,64,826
1043,64,827
1044,64,874
1045,65,24
1046,65,40
1047,65,52
1048,65,53
1049,65,66
1050,65,67
1051,65,74
1052,65,91
1053,65,101
1054,65,103
1055,65,167
1056,65,174
1057,65,184
1058,65,189
1059,65,201
1060,65,249
1061,65,258
1062,65,262
1063,66,44
1064,66,47
1065,66,58
1066,66,61
1067,66,89
1068,66,100
1069,66,103
1070,66,108
1071,66,120
1072,66,122
1073,66,136
1074,66,176
1075,66,186
1076,66,193
1077,66,207
1078,66,218
1079,67,315
1080,67,334
1081,67,343
1082,67,350
1083,67,360
1084,67,370
1085,67,390
1086,67,439
1087,67,444
1088,67,466
1089,67,549
1090,67,539
1091,68,269
1092,68,321
1093,68,353
1094,68,405
1095,68,538
1096,68,544
1097,69,625
1098,69,635
1099,69,664
1100,69,667
1101,69,695
1102,69,709
1103,69,789
1104,69,796
1105,69,832
1106,69,835
1107,69,845
1108,69,850
1109,69,874
1110,69,910
1111,70,281
1112,70,318
1113,70,355
1114,70,384
1115,70,434
1116,70,494
1117,70,496
1118,70,516
1119,70,532
1120,70,573
1121,70,603
1122,71,610
1123,71,611
1124,71,637
1125,71,638
1126,71,691
1127,71,699
1128,71,705
1129,71,715
1130,71,746
1131,71,752
1132,71,761
1133,71,779
1134,71,787
1135,71,818
1136,71,827
1137,71,846
1138,71,856
1139,71,861
1140,71,870
1141,71,935
1142,71,941
1143,71,949
1144,72,629
1145,72,633
1146,72,688
1147,72,695
1148,72,714
1149,72,715
1150,72,722
1151,72,733
1152,72,744
1153,72,753
1154,72,757
1155,72,786
1156,72,790
1157,72,794
1158,72,810
1159,72,901
1160,72,905
1161,72,919
1162,72,926
1163,72,952
1164,73,43
1165,73,47
1166,73,84
1167,73,87
1168,73,117
1169,73,132
1170,73,134
1171,73,165
1172,73,199
1173,73,213
1174,73,222
1175,73,248
1176,73,265
1177,73,268
1178,74,294
1179,74,301
1180,74,379
1181,74,389
1182,74,469
1183,74,501
1184,75,387
1185,75,404
1186,75,470
1187,75,515
1188,75,521
1189,75,535
1190,75,536
1191,75,537
1192,75,570
1193,75,596
1194,76,690
1195,76,698
1196,76,704
1197,76,708
1198,76,738
1199,76,743
1200,76,753
1201,76,757
1202,76,760
1203,76,795
1204,76,802
1205,76,822
1206,76,826
1207,76,832
1208,76,835
1209,76,873
1210,76,896
1211,76,907
1212,76,913
1213,76,922
1214,76,928
1215,76,948
1216,77,284
1217,77,294
1218,77,309
1219,77,389
1220,77,401
1221,77,425
1222,77,429
1223,77,469
1224,78,321
1225,78,359
1226,78,367
1227,78,383
1228,78,441
1229,78,519
1230,78,520
1231,79,333
1232,79,336
1233,79,379
1234,79,441
1235,79,450
1236,79,458
1237,79,537
1238,79,545
1239,80,669
1240,80,672
1241,80,695
1242,80,707
1243,80,714
1244,80,722
1245,80,735
1246,80,747
1247,80,752
1248,80,758
1249,80,773
1250,80,810
1251,80,837
1252,80,840
1253,80,888
1254,80,905
1255,80,910
1256,80,952
1257,81,622
1258,81,624
1259,81,649
1260,81,651
1261,81,667
1262,81,676
1263,81,709
1264,81,717
1265,81,725
1266,81,799
1267,81,802
1268,81,815
1269,81,822
1270,81,830
1271,81,835
1272,81,843
1273,81,876
1274,81,894
1275,81,896
1276,81,936
1277,81,940
1278,81,945
1279,82,620
1280,82,626
1281,82,664
1282,82,665
1283,82,678
1284,82,693
1285,82,705
1286,82,709
1287,82,726
1288,82,755
1289,82,768
1290,82,778
1291,82,782
1292,82,783
1293,82,810
1294,82,818
1295,82,821
1296,82,832
1297,82,833
1298,82,870
1299,82,871
1300,82,873
1301,82,928
1302,82,941
1303,82,948
1304,83,630
1305,83,631
1306,83,670
1307,83,671
1308,83,685
1309,83,706
1310,83,716
1311,83,739
1312,83,745
1313,83,774
1314,83,785
1315,83,792
1316,83,803
1317,83,809
1318,83,838
1319,83,839
1320,83,852
1321,83,853
1322,83,879
1323,83,902
1324,83,903
1325,83,915
1326,84,691
1327,84,710
1328,84,711
1329,84,720
1330,84,797
1331,84,800
1332,84,823
1333,84,824
1334,84,833
1335,84,834
1336,84,879
1337,85,640
1338,85,656
1339,85,681
1340,85,701
1341,85,715
1342,85,717
1343,85,729
1344,85,749
1345,85,760
1346,85,780
1347,85,782
1348,85,785
1349,85,794
1350,85,798
1351,85,842
1352,85,843
1353,85,849
1354,85,858
1355,85,860
1356,85,861
1357,85,878
1358,85,885
1359,85,901
1360,85,916
1361,86,5
1362,86,7
1363,86,8
1364,86,75
1365,86,120
1366,86,128
1367,86,133
1368,86,156
1369,86,160
1370,86,168
1371,86,173
1372,86,176
1373,86,177
1374,86,202
1375,86,233
1376,86,234
1377,87,611
1378,87,624
1379,87,638
1380,87,651
1381,87,667
1382,87,675
1383,87,690
1384,87,698
1385,87,731
1386,87,738
1387,87,742
1388,87,751
1389,87,768
1390,87,784
1391,87,794
1392,87,802
1393,87,835
1394,87,842
1395,87,873
1396,87,883
1397,87,896
1398,87,913
1399,87,922
1400,87,935
1401,88,4
1402,88,5
1403,88,11
1404,88,62
1405,88,67
1406,88,104
1407,88,156
1408,88,157
1409,88,173
1410,88,182
1411,88,192
1412,88,209
1413,88,214
1414,88,234
1415,88,238
1416,88,248
1417,88,254
1418,88,257
1419,89,277
1420,89,369
1421,89,374
1422,89,427
1423,89,432
1424,89,470
1425,89,548
1426,89,553
1427,89,557
1428,89,574
1429,89,589
1430,90,37
1431,90,40
1432,90,88
1433,90,91
1434,90,104
1435,90,121
1436,90,124
1437,90,163
1438,90,174
1439,90,181
1440,90,196
1441,90,197
1442,90,243
1443,90,247
1444,90,258
1445,91,284
1446,91,390
1447,91,412
1448,91,420
1449,91,470
1450,91,535
1451,92,669
1452,92,677
1453,92,697
1454,92,712
1455,92,714
1456,92,730
1457,92,732
1458,92,742
1459,92,758
1460,92,767
1461,92,784
1462,92,790
1463,92,804
1464,92,884
1465,92,905
1466,92,912
1467,92,919
1468,92,930
1469,92,947
1470,93,624
1471,93,631
1472,93,667
1473,93,671
1474,93,690
1475,93,704
1476,93,716
1477,93,722
1478,93,731
1479,93,792
1480,93,802
1481,93,814
1482,93,822
1483,93,829
1484,93,839
1485,93,873
1486,93,896
1487,93,903
1488,93,913
1489,94,313
1490,94,469
1491,94,502
1492,94,534
1493,94,543
1494,94,551
1495,94,599
1496,94,602
1497,94,604
1498,95,302
1499,95,307
1500,95,356
1501,95,403
1502,95,412
1503,95,422
1504,95,435
1505,95,440
1506,95,516
1507,95,528
1508,96,320
1509,96,334
1510,96,345
1511,96,403
1512,96,413
1513,96,428
1514,96,518
1515,96,529
1516,96,559
1517,96,565
1518,96,605
1519,97,43
1520,97,57
1521,97,66
1522,97,71
1523,97,84
1524,97,94
1525,97,103
1526,97,136
1527,97,145
1528,97,155
1529,97,164
1530,97,222
1531,97,224
1532,98,15
1533,98,17
1534,98,18
1535,98,32
1536,98,35
1537,98,58
1538,98,63
1539,98,85
1540,98,89
1541,98,110
1542,98,118
1543,98,122
1544,98,139
1545,98,146
1546,98,150
1547,98,169
1548,98,211
1549,98,218
1550,98,232
1551,98,236
1552,98,240
1553,98,252
1554,98,264
1555,99,289
1556,99,300
1557,99,326
1558,99,329
1559,99,384
1560,99,434
1561,99,440
1562,99,544
1563,99,547
1564,100,299
1565,100,301
1566,100,314
1567,100,379
1568,100,439
1569,100,475
1570,100,485
1571,100,554
1572,100,580
1573,100,584
1574,101,10
1575,101,11
1576,101,18
1577,101,44
1578,101,52
1579,101,58
1580,101,66
1581,101,74
1582,101,103
1583,101,108
1584,101,137
1585,101,179
1586,101,184
1587,101,192
1588,101,230
1589,101,232
1590,101,240
1591,101,254
1592,101,267
1593,102,294
1594,102,303
1595,102,439
1596,102,441
1597,102,501
1598,102,519
1599,102,508
1600,102,548
1601,102,550
1602,102,565
1603,102,583
1604,102,589
1605,103,47
1606,103,53
1607,103,61
1608,103,67
1609,103,75
1610,103,104
1611,103,121
1612,103,128
1613,103,156
1614,103,160
1615,103,168
1616,103,173
1617,103,177
1618,103,182
1619,103,247
1620,103,256
1621,103,257
1622,104,29
1623,104,36
1624,104,53
1625,104,54
1626,104,67
1627,104,68
1628,104,75
1629,104,108
1630,104,119
1631,104,124
1632,104,133
1633,104,202
1634,104,227
1635,104,234
1636,105,656
1637,105,657
1638,105,685
1639,105,706
1640,105,715
1641,105,724
1642,105,794
1643,105,803
1644,105,809
1645,105,838
1646,105,842
1647,105,849
1648,105,852
1649,105,861
1650,105,865
1651,105,901
1652,105,902
1653,105,949
1654,106,47
1655,106,54
1656,106,61
1657,106,68
1658,106,103
1659,106,108
1660,106,119
1661,106,120
1662,106,137
1663,106,207
1664,106,226
1665,106,227
1666,106,230
1667,106,242
1668,106,265
1669,106,266
1670,107,665
1671,107,676
1672,107,691
1673,107,701
1674,107,705
1675,107,717
1676,107,735
1677,107,748
1678,107,757
1679,107,760
1680,107,786
1681,107,818
1682,107,825
1683,107,878
1684,107,892
1685,107,894
1686,107,916
1687,108,3
1688,108,14
1689,108,20
1690,108,53
1691,108,54
1692,108,59
1693,108,68
1694,108,78
1695,108,86
1696,108,98
1697,108,110
1698,108,113
1699,108,119
1700,108,138
1701,108,147
1702,108,159
1703,108,181
1704,108,191
1705,108,194
1706,108,205
1707,108,227
1708,108,239
1709,109,1
1710,109,9
1711,109,13
1712,109,57
1713,109,59
1714,109,72
1715,109,123
1716,109,125
1717,109,134
1718,109,141
1719,109,153
1720,109,175
1721,109,185
1722,109,189
1723,109,215
1724,109,217
1725,110,639
1726,110,653
1727,110,664
1728,110,677
1729,110,693
1730,110,726
1731,110,742
1732,110,751
1733,110,754
1734,110,757
1735,110,773
1736,110,795
1737,110,804
1738,110,810
1739,110,820
1740,110,821
1741,110,859
1742,110,871
1743,110,884
1744,110,898
1745,110,908
1746,110,948
1747,111,12
1748,111,13
1749,111,20
1750,111,42
1751,111,54
1752,111,73
1753,111,86
1754,111,93
1755,111,103
1756,111,109
1757,111,119
1758,111,130
1759,111,200
1760,111,227
1761,111,231
1762,111,245
1763,111,253
1764,111,261
1765,112,3
1766,112,13
1767,112,16
1768,112,45
1769,112,49
1770,112,63
1771,112,80
1772,112,82
1773,112,102
1774,112,110
1775,112,115
1776,112,123
1777,112,141
1778,112,143
1779,112,169
1780,112,203
1781,112,232
1782,112,239
1783,113,387
1784,113,408
1785,113,418
1786,113,436
1787,113,462
1788,113,467
1789,113,535
1790,114,649
1791,114,654
1792,114,662
1793,114,664
1794,114,670
1795,114,676
1796,114,694
1797,114,699
1798,114,708
1799,114,710
1800,114,717
1801,114,720
1802,114,725
1803,114,845
1804,114,847
1805,114,857
1806,114,860
1807,114,865
1808,114,871
1809,115,282
1810,115,284
1811,115,359
1812,115,364
1813,115,365
1814,115,379
1815,115,383
1816,115,441
1817,115,442
1818,115,452
1819,115,453
1820,115,457
1821,115,474
1822,115,475
1823,115,484
1824,115,510
1825,115,511
1826,115,519
1827,115,534
1828,115,535
1829,116,637
1830,116,644
1831,116,665
1832,116,677
1833,116,699
1834,116,707
1835,116,710
1836,116,809
1837,116,820
1838,116,823
1839,116,847
1840,116,854
1841,116,859
1842,116,870
1843,116,882
1844,116,889
1845,116,949
1846,117,316
1847,117,366
1848,117,367
1849,117,391
1850,117,468
1851,117,513
1852,117,517
1853,117,585
1854,117,588
1855,117,594
1856,118,272
1857,118,282
1858,118,313
1859,118,412
1860,118,419
1861,118,438
1862,118,446
1863,118,449
1864,118,534
1865,119,688
1866,119,695
1867,119,714
1868,119,717
1869,119,722
1870,119,733
1871,119,737
1872,119,773
1873,119,779
1874,119,786
1875,119,790
1876,119,799
1877,119,810
1878,119,837
1879,119,843
1880,119,874
1881,119,893
1882,119,905
1883,119,919
1884,119,939
1885,120,282
1886,120,323
1887,120,331
1888,120,401
1889,120,469
1890,120,507
1891,120,515
1892,121,624
1893,121,631
1894,121,651
1895,121,658
1896,121,667
1897,121,671
1898,121,684
1899,121,698
1900,121,704
1901,121,716
1902,121,835
1903,121,839
1904,121,873
1905,121,913
1906,121,922
1907,121,938
1908,121,946
1909,122,5
1910,122,14
1911,122,18
1912,122,26
1913,122,32
1914,122,58
1915,122,59
1916,122,76
1917,122,85
1918,122,98
1919,122,113
1920,122,122
1921,122,139
1922,122,146
1923,122,159
1924,122,169
1925,122,173
1926,122,179
1927,122,191
1928,122,216
1929,122,218
1930,122,232
1931,122,236
1932,123,651
1933,123,659
1934,123,666
1935,123,667
1936,123,689
1937,123,696
1938,123,709
1939,123,711
1940,123,721
1941,123,735
1942,123,736
1943,123,739
1944,123,740
1945,123,763
1946,123,797
1947,123,802
1948,123,822
1949,123,824
1950,123,834
1951,123,835
1952,123,868
1953,123,869
1954,123,875
1955,123,911
1956,123,933
1957,123,936
1958,124,610
1959,124,630
1960,124,637
1961,124,657
1962,124,685
1963,124,700
1964,124,724
1965,124,819
1966,124,823
1967,124,882
1968,124,902
1969,124,915
1970,124,949
1971,125,6
1972,125,10
1973,125,19
1974,125,24
1975,125,35
1976,125,52
1977,125,54
1978,125,66
1979,125,68
1980,125,116
1981,125,127
1982,125,136
1983,125,144
1984,125,162
1985,125,167
1986,125,207
1987,125,212
1988,125,257
1989,125,261
1990,125,262
1991,126,14
1992,126,18
1993,126,19
1994,126,45
1995,126,54
1996,126,73
1997,126,109
1998,126,116
1999,126,131
2000,126,135
2001,126,144
2002,126,158
2003,126,166
2004,126,178
2005,126,179
2006,126,191
2007,126,210
2008,126,212
2009,126,227
2010,126,231
2011,127,640
2012,127,660
2013,127,669
2014,127,677
2015,127,688
2016,127,712
2017,127,714
2018,127,810
2019,127,825
2020,127,827
2021,127,859
2022,127,866
2023,127,952
2024,128,667
2025,128,677
2026,128,683
2027,128,704
2028,128,712
2029,128,811
2030,128,822
2031,128,825
2032,128,835
2033,128,844
2034,128,876
2035,128,885
2036,128,896
2037,128,947
2038,129,277
2039,129,404
2040,129,470
2041,129,536
2042,129,541
2043,129,558
2044,129,589
2045,129,598
2046,130,356
2047,130,381
2048,130,435
2049,130,440
2050,130,477
2051,130,483
2052,130,541
2053,130,550
2054,131,617
2055,131,635
2056,131,644
2057,131,662
2058,131,664
2059,131,677
2060,131,678
2061,131,708
2062,131,712
2063,131,726
2064,131,743
2065,131,745
2066,131,753
2067,131,755
2068,131,774
2069,131,795
2070,131,804
2071,131,832
2072,131,844
2073,131,928
2074,131,929
2075,132,273
2076,132,282
2077,132,335
2078,132,339
2079,132,352
2080,132,383
2081,132,469
2082,132,519
2083,132,523
2084,133,1
2085,133,8
2086,133,13
2087,133,80
2088,133,100
2089,133,103
2090,133,108
2091,133,120
2092,133,123
2093,133,167
2094,133,175
2095,133,176
2096,133,189
2097,133,201
2098,133,207
2099,133,217
2100,134,334
2101,134,338
2102,134,386
2103,134,442
2104,134,443
2105,134,465
2106,134,470
2107,134,535
2108,134,539
2109,134,547
2110,135,617
2111,135,623
2112,135,644
2113,135,650
2114,135,666
2115,135,672
2116,135,697
2117,135,797
2118,135,805
2119,135,811
2120,135,817
2121,135,824
2122,135,848
2123,135,855
2124,135,863
2125,135,869
2126,135,912
2127,135,946
2128,136,271
2129,136,355
2130,136,415
2131,136,431
2132,136,468
2133,136,479
2134,136,495
2135,136,520
2136,136,531
2137,136,537
2138,136,552
2139,136,555
