"id","system","bodyName","id64","edsmID","bodyID","type","subType","offset","distanceToArrival","isMainStar","isScoopable","isLandable","age","luminosity","absoluteMagnitude","solarMasses","solarRadius","gravity","earthMasses","radius","surfaceTemperature","surfacePressure","volcanismType","atmosphereType","terraformingState","orbitalPeriod","semiMajorAxis","orbitalEccentricity","orbitalInclination","argOfPeriapsis","rotationalPeriod","rotationalPeriodTidallyLocked","axialTilt","solidComposition","atmosphere","material","missingSkipCount","created_at","updated_at"
17,25,ARIES DARK REGION DB-X C1-2 B 1,900720558813876860,5853953,25,Planet,High metal content world,2,34632.75,,,1,,,,,,0.3282628150407294,0.049462,2475.7655,131,0.0000958814705156674,No volcanism,No atmosphere,Not terraformable,204.01546296296297,0.46968126051008025,0.000225,-0.41709,59.403568,3.117953197337963,,-0.468781,"{""Rock"":60.9232,""Metal"":29.2067,""Ice"":9.870099999999999}",,"{""Iron"":21.5191,""Sulphur"":17.9401,""Nickel"":16.2762,""Carbon"":15.0857,""Phosphorus"":9.65814,""Manganese"":8.88719,""Germanium"":4.55218,""Arsenic"":2.03579,""Niobium"":1.47072,""Tin"":1.39585,""Tellurium"":1.17902}",,2018-11-30 02:06:20,2018-11-30 14:01:40
18,26,ARIES DARK REGION DB-X C1-7 A 9 A,756606745127555710,5864549,21,Planet,Rocky body,3,1621.109131,,,1,,,,,,0.05115009562665571,0.000244,440.5104375,130,,No volcanism,No atmosphere,Not terraformable,17.380574363425925,0.011368339776777318,0.000113,-0.091329,295.598206,17.380619212962962,1,-0.106882,"{""Rock"":91.0254,""Metal"":8.9746,""Ice"":0}",,"{""Iron"":18.8839,""Sulphur"":18.4689,""Carbon"":15.5304,""Nickel"":14.283,""Phosphorus"":9.94285,""Chromium"":8.49269,""Manganese"":7.79884,""Arsenic"":2.43325,""Cadmium"":1.46642,""Tellurium"":1.40921,""Niobium"":1.29061}",,2018-11-30 02:06:20,2018-11-30 14:05:05
19,27,ARIES DARK REGION DB-X D1-63 A 7 A,756606912522340740,2983429,21,Planet,Rocky body,3,1664.50647,,,1,,,,,,0.13116089900672315,0.003976,1110.466625,124,,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.3929100658333333,0.003170278278566434,0.000063,0.209313,172.395157,1.392952293113426,1,-0.402794,"{""Rock"":91.11930000000001,""Metal"":8.8807,""Ice"":0}",,"{""Iron"":18.9798,""Sulphur"":18.613,""Carbon"":15.6516,""Nickel"":14.3556,""Phosphorus"":10.0204,""Chromium"":8.53586,""Manganese"":7.83848,""Selenium"":2.91309,""Yttrium"":1.13364,""Tin"":1.12981,""Mercury"":0.828818}",,2018-11-30 02:06:20,2018-11-30 14:05:13
20,28,ARIES DARK REGION DB-X D1-64 4 A,1008808526014826880,5830742,28,Planet,Rocky body,2,4550.389648,,,1,,,,,,0.23055662961631676,0.020482,1900.999,185,,Minor Metallic Magma,No atmosphere,Not terraformable,1.240712890625,0.006666214240441057,0.000025,-0.023854,122.960136,1.242288230613426,1,-0.395327,"{""Rock"":91.10810000000001,""Metal"":8.8919,""Ice"":0}",,"{""Iron"":19.1633,""Sulphur"":18.7907,""Carbon"":15.801,""Nickel"":14.4943,""Phosphorus"":10.1161,""Manganese"":7.91423,""Zinc"":5.20786,""Vanadium"":4.70583,""Cadmium"":1.48811,""Antimony"":1.16862,""Tin"":1.15001}",,2018-11-30 02:06:20,2018-11-30 14:05:17
21,32,ARIES DARK REGION FW-W D1-59 A 5 A,648520384026478980,5772350,18,Planet,Rocky body,3,1103.5625,,,1,,,,,,0.2733432751319067,0.031125,2152.21175,201,,No volcanism,No atmosphere,Not terraformable,28.06543113425926,0.0022780749913441116,,28.612793,227.727722,28.744377893518518,1,0.053364,"{""Rock"":86.3552,""Metal"":13.644800000000002,""Ice"":0}",,"{""Iron"":20.2222,""Sulphur"":18.336,""Carbon"":15.4186,""Nickel"":15.2953,""Phosphorus"":9.87128,""Manganese"":8.35158,""Zinc"":5.49565,""Selenium"":2.86973,""Cadmium"":1.57035,""Molybdenum"":1.3205,""Ruthenium"":1.24885}",,2018-11-30 02:06:20,2018-11-30 14:05:21
22,33,ARIES DARK REGION FW-W D1-76 4 A,,6064186,,Planet,Rocky body,2,1989.747681,,,1,,,,,,0.06871794227148365,0.00059,590.983625,152,,No volcanism,No atmosphere,Not terraformable,4.005482855902778,0.006559720746078774,0.000068,-0.021816,352.379333,4.005530598958333,1,-0.00209,,,"{""Iron"":19.026,""Sulphur"":18.8026,""Carbon"":15.8111,""Nickel"":14.3904,""Phosphorus"":10.1225,""Manganese"":7.85753,""Germanium"":5.53321,""Vanadium"":4.67212,""Cadmium"":1.47745,""Antimony"":1.17013,""Tin"":1.13695}",,2018-11-30 02:06:20,2018-11-30 14:05:25
23,37,ARIES DARK REGION GW-W D1-48 6 A,936750382237845890,301197,26,Planet,Rocky body,2,1466.027832,,,1,,,,,,0.055701893725753536,0.000315,479.6283125,151,,No volcanism,No atmosphere,Not terraformable,3.4265104166666664,0.0048890073406639735,0.000027,0.073169,275.194061,3.4265538194444445,1,-0.166735,"{""Rock"":91.049,""Metal"":8.951,""Ice"":0}",,"{""Iron"":19.6372,""Sulphur"":19.1457,""Carbon"":16.0996,""Nickel"":14.8528,""Phosphorus"":10.3072,""Chromium"":8.83151,""Vanadium"":4.82222,""Arsenic"":2.52771,""Cadmium"":1.52492,""Yttrium"":1.17291,""Tungsten"":1.07828}",,2018-11-30 02:06:20,2018-11-30 14:05:29
24,40,ARIES DARK REGION GW-W D1-86 1 B,792636499832048000,241016,22,Planet,Rocky body,2,1355.152222,,,1,,,,,,0.1848300453349514,0.010823,1543.377125,198,,No volcanism,No atmosphere,Not terraformable,3.6777264178240743,0.00850989566925701,0.017826,0.110152,138.10997,3.6777513744212964,1,-0.486528,"{""Rock"":91.1503,""Metal"":8.8497,""Ice"":0}",,"{""Iron"":19.6839,""Sulphur"":19.3112,""Carbon"":16.2387,""Nickel"":14.8881,""Phosphorus"":10.3963,""Chromium"":8.85252,""Vanadium"":4.83369,""Selenium"":3.02237,""Tin"":1.18126,""Tungsten"":1.08085,""Polonium"":0.510932}",,2018-11-30 02:06:20,2018-11-30 14:05:33
25,42,ARIES DARK REGION HR-W C1-1 8 C,1188950660087616260,6036164,33,Planet,Rocky body,2,1580.749023,,,1,,,,,,0.1401444549495995,0.004833,1184.417875,133,,No volcanism,No atmosphere,Not terraformable,4.050055338541667,0.006998561644634424,0.002127,0.049571,143.825027,3.9848216869212965,1,-0.039612,"{""Rock"":91.1923,""Metal"":8.8077,""Ice"":0}",,"{""Iron"":19.5997,""Sulphur"":19.3406,""Carbon"":16.2635,""Nickel"":14.8244,""Phosphorus"":10.4121,""Chromium"":8.81466,""Zinc"":5.32648,""Zirconium"":2.27593,""Ruthenium"":1.21041,""Tungsten"":1.07622,""Mercury"":0.855889}",,2018-11-30 02:06:20,2018-11-30 14:05:37
26,43,ARIES DARK REGION HR-W D1-34 2 A,180145163786471776,5800478,5,Planet,Rocky body,2,3753.294678,,,1,,,,,,0.12767834089908728,0.003666,1080.74225,110,,No volcanism,No atmosphere,Not terraformable,14.663637152777778,0.01339011914158214,0.000648,0.022065,241.260345,14.66394675925926,1,-1.279838,"{""Rock"":90.9864,""Metal"":9.0136,""Ice"":0}",,"{""Iron"":20.3765,""Sulphur"":20.0125,""Carbon"":16.8285,""Nickel"":15.4119,""Phosphorus"":10.7739,""Zinc"":5.53757,""Vanadium"":5.00376,""Zirconium"":2.36613,""Cadmium"":1.58233,""Yttrium"":1.21706,""Mercury"":0.889809}",,2018-11-30 02:06:20,2018-11-30 14:05:41
27,44,ARIES DARK REGION HR-W D1-44 B 2 A,,5886070,,Planet,Rocky body,3,70667.15625,,,1,,,,,,0.2289748674013891,0.018624,1818.9765,180,,No volcanism,No atmosphere,Not terraformable,22.093608217592593,0.0015306533370330918,,41.891121,54.543163,22.752355324074074,1,-0.241468,,,"{""Iron"":19.7294,""Sulphur"":17.562,""Nickel"":14.9225,""Carbon"":14.7679,""Phosphorus"":9.45464,""Chromium"":8.87298,""Manganese"":8.14805,""Selenium"":2.74861,""Niobium"":1.3484,""Tin"":1.22709,""Ruthenium"":1.21842}",,2018-11-30 02:06:20,2018-11-30 14:05:45
28,45,ARIES DARK REGION HR-W D1-53 7 A,,5851864,,Planet,Rocky body,2,4246.912598,,,1,,,,,,0.04805721175870161,0.000203,414.52740625,115,,No volcanism,No atmosphere,Not terraformable,5.811963975694445,0.0014994185609087014,0.000037,0.033124,33.755497,5.812778501157408,1,-0.332823,,,"{""Iron"":20.4644,""Sulphur"":19.8852,""Carbon"":16.7214,""Nickel"":15.4784,""Phosphorus"":10.7053,""Germanium"":5.82816,""Zinc"":5.56145,""Arsenic"":2.60643,""Tungsten"":1.1237,""Mercury"":0.893646,""Technetium"":0.731929}",,2018-11-30 02:06:20,2018-11-30 14:05:49
29,46,ARIES DARK REGION HR-W D1-54 2 C A,828664197322590590,5851422,23,Planet,Rocky body,3,1998.802734,,,1,,,,,,0.047616951871541704,0.000216,429.5666875,169,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.5980652307638888,0.00003515251571023865,,11.071501,103.172279,0.6104314507407408,1,0.142697,"{""Rock"":96.8246,""Metal"":3.1754,""Ice"":0}",,"{""Sulphur"":20.0565,""Iron"":17.9182,""Carbon"":16.8654,""Nickel"":13.5525,""Phosphorus"":10.7975,""Chromium"":8.05839,""Zinc"":4.86948,""Vanadium"":4.40008,""Cadmium"":1.39143,""Ruthenium"":1.10656,""Tungsten"":0.983887}",,2018-11-30 02:06:20,2018-11-30 14:05:53
30,47,ARIES DARK REGION IH-V C2-9 6 B,,1365762,,Planet,Rocky body,2,1059.724121,,,1,,,,,,0.17428537747732936,0.009115,1458.587125,196,,No volcanism,No atmosphere,Not terraformable,5.110153356481481,0.012070976515576835,0.010083,-0.286993,206.163055,5.110179036458334,1,-0.466611,,,"{""Iron"":19.1962,""Sulphur"":18.777,""Carbon"":15.7895,""Nickel"":14.5192,""Phosphorus"":10.1087,""Manganese"":7.92782,""Zinc"":5.2168,""Vanadium"":4.71391,""Niobium"":1.31196,""Molybdenum"":1.2535,""Ruthenium"":1.18549}",,2018-11-30 02:06:20,2018-11-30 14:05:57
31,50,ARIES DARK REGION IM-V C2-5 12 A,828663789611029120,745935,23,Planet,Rocky body,2,790.555481,,,1,,,,,,0.06840924986615754,0.00058,587.2744375,129,,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.3877272316319444,0.00330566630183995,0.000179,0.00296,343.006226,1.387749656400463,1,0.29165,"{""Rock"":90.9198,""Metal"":9.0802,""Ice"":0}",,"{""Iron"":19.0173,""Sulphur"":18.4147,""Carbon"":15.4848,""Nickel"":14.3839,""Phosphorus"":9.91365,""Chromium"":8.55272,""Manganese"":7.85396,""Arsenic"":2.44305,""Cadmium"":1.47678,""Tellurium"":1.41488,""Tungsten"":1.04424}",,2018-11-30 02:06:20,2018-11-30 14:06:01
32,53,ARIES DARK REGION JC-V C2-6 A 4 A,,5851919,,Planet,Rocky body,3,1945.249146,,,1,,,,,,0.05276356244302423,0.000268,454.55334375,128,,No volcanism,No atmosphere,Not terraformable,14.91431568287037,0.00837310912340412,0.001268,0.005136,7.372643,14.914392361111112,1,-0.348502,,,"{""Iron"":18.9749,""Sulphur"":18.5038,""Carbon"":15.5598,""Nickel"":14.3518,""Phosphorus"":9.96163,""Chromium"":8.53365,""Manganese"":7.83644,""Selenium"":2.896,""Tellurium"":1.4203,""Tin"":1.13309,""Mercury"":0.828603}",,2018-11-30 02:06:20,2018-11-30 14:06:05
33,54,ARIES DARK REGION JS-T C3-1 1 A,288230734613615300,5826588,8,Planet,Rocky body,2,417.174774,,,1,,,,,,0.1720326540101622,0.008781,1440.957125,197,,Minor Metallic Magma,No atmosphere,Not terraformable,1.3417406322337964,0.003133708132384534,0.000474,0.000344,53.774063,-1.3417678493981482,,2.852527,"{""Rock"":91.10510000000001,""Metal"":8.8949,""Ice"":0}",,"{""Iron"":18.4943,""Sulphur"":18.2014,""Carbon"":15.3055,""Nickel"":13.9883,""Phosphorus"":9.79882,""Chromium"":8.3175,""Manganese"":7.63796,""Vanadium"":4.54156,""Tellurium"":1.39737,""Molybdenum"":1.20767,""Tin"":1.10966}",,2018-11-30 02:06:20,2018-11-30 14:06:10
34,55,ARIES DARK REGION JW-W C1-4 7 A,648519529705345660,5761419,18,Planet,Rocky body,2,1351.348999,,,1,,,,,,0.046113267547187906,0.000179,397.37275,152,,No volcanism,No atmosphere,Not terraformable,3.511125578703704,0.006155184934727818,0.000214,-0.119219,299.105255,3.3919032118055554,1,-0.394011,,,"{""Iron"":18.5704,""Sulphur"":18.0891,""Carbon"":15.2111,""Nickel"":14.0459,""Phosphorus"":9.73839,""Chromium"":8.35171,""Manganese"":7.66937,""Vanadium"":4.56024,""Cadmium"":1.44207,""Molybdenum"":1.21263,""Yttrium"":1.10919}",,2018-11-30 02:06:20,2018-11-30 14:06:13
35,56,ARIES DARK REGION KH-V C2-4 7 A,1116893890884801150,5339113,31,Planet,Rocky body,2,1642.312622,,,1,,,,,,0.05500107102759908,0.000304,474.1718125,158,,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.4012525318287037,0.004176941162839693,0.002982,0.033927,261.781677,1.4012571433796297,1,-0.190037,"{""Rock"":91.1881,""Metal"":8.8119,""Ice"":0}",,"{""Iron"":19.6849,""Sulphur"":19.3056,""Carbon"":16.234,""Nickel"":14.8889,""Phosphorus"":10.3933,""Manganese"":8.12967,""Vanadium"":4.83393,""Selenium"":3.02149,""Tellurium"":1.47984,""Tin"":1.16875,""Mercury"":0.859609}",,2018-11-30 02:06:20,2018-11-30 14:06:17
36,61,ARIES DARK REGION MS-T C3-15 1 A,324263380124603070,690081,9,Planet,Rocky body,2,813.148743,,,1,,,,,,0.06232674585349972,0.00044,535.8875,166,,Minor Metallic Magma,No atmosphere,Not terraformable,1.2803851996527778,0.002762831837552351,0.000188,0.062858,35.168705,1.2059321650810186,1,-0.23613,"{""Rock"":90.9434,""Metal"":9.0566,""Ice"":0}",,"{""Iron"":19.0278,""Sulphur"":18.4542,""Carbon"":15.5181,""Nickel"":14.3918,""Phosphorus"":9.93492,""Chromium"":8.55742,""Germanium"":5.46126,""Zinc"":5.17103,""Cadmium"":1.47759,""Ruthenium"":1.17509,""Mercury"":0.830911}",,2018-11-30 02:06:20,2018-11-30 14:06:21
37,62,ARIES DARK REGION MS-T C3-2 A 1 A,720576573920416380,1799986,20,Planet,Rocky body,3,1228.442627,,,1,,,,,,0.1493478717502582,0.005799,1256.786625,171,,Metallic Magma,No atmosphere,Not terraformable,0.9084766529282408,0.0021173171952105865,0.000024,-0.030552,62.53651,0.9084957320601852,1,-0.412756,"{""Rock"":90.9409,""Metal"":9.0591,""Ice"":0}",,"{""Iron"":19.8345,""Sulphur"":19.2951,""Carbon"":16.2252,""Nickel"":15.002,""Phosphorus"":10.3877,""Chromium"":8.92022,""Vanadium"":4.87066,""Arsenic"":2.53356,""Niobium"":1.35558,""Mercury"":0.866138,""Technetium"":0.709399}",,2018-11-30 02:06:20,2018-11-30 14:06:25
38,64,ARIES DARK REGION MX-U C2-10 1 C,576463584733500030,5855621,16,Planet,Rocky body,2,1016.05072,,,1,,,,,,0.2076566712928952,0.01516,1723.301125,197,,No volcanism,No atmosphere,Not terraformable,4.887282262731482,0.011534129516189697,0.001259,-0.001777,202.622421,4.844187644675926,1,0.491018,"{""Rock"":91.1495,""Metal"":8.8505,""Ice"":0}",,"{""Iron"":20.4695,""Sulphur"":20.0994,""Carbon"":16.9015,""Nickel"":15.4823,""Phosphorus"":10.8207,""Germanium"":5.95158,""Selenium"":3.14573,""Arsenic"":2.66163,""Cadmium"":1.58955,""Tellurium"":1.54147,""Molybdenum"":1.33665}",,2018-11-30 02:06:20,2018-11-30 14:06:29
39,65,ARIES DARK REGION MX-U C2-8 A 7 A,540434237958722240,5855454,15,Planet,Rocky body,3,1954.144043,,,1,,,,,,0.05111829481195742,0.000244,440.6474375,132,,No volcanism,No atmosphere,Not terraformable,3.7139001012731483,0.004144349896819755,0.001131,0.006834,351.609222,3.7139366319444442,1,-0.50442,,,,,2018-11-30 02:06:20,2018-11-30 14:06:33
