id,gsType,gsObeliskGroup,obeliskNumber,broken,gsCodexData,verified
246,7,25,12,0,,0
247,7,25,13,0,,0
248,7,25,14,1,,0
249,7,26,1,0,2,0
250,7,26,2,0,9,0
251,7,26,3,1,,0
252,7,26,4,1,,0
253,7,26,5,0,15,0
254,7,26,6,0,17,0
255,7,26,7,0,,0
256,7,26,8,0,14,0
257,7,26,9,0,,0
258,7,26,10,1,,0
259,7,27,1,1,,0
260,7,27,2,1,,0
261,7,27,3,1,,0
262,7,27,4,1,,0
263,7,27,5,1,,0
264,7,27,6,0,24,0
265,7,27,7,0,27,0
266,8,28,1,0,1,0
267,8,28,2,0,28,0
268,8,28,3,1,,0
269,8,28,4,0,21,0
270,8,28,5,1,,0
271,8,28,6,1,,0
272,8,28,7,0,13,0
273,8,28,8,0,,0
274,8,28,9,1,,0
275,8,28,10,1,,0
276,8,28,11,1,,0
277,8,28,12,1,,0
278,8,28,13,1,,0
279,8,28,14,1,,0
280,8,28,15,1,,0
281,8,28,16,0,,0
282,8,28,17,1,,0
283,8,28,18,0,,0
284,8,29,1,0,26,0
285,8,29,2,0,21,0
286,8,29,3,0,20,0
287,8,29,4,0,19,0
288,8,29,5,1,,0
289,8,29,6,1,,0
290,8,29,7,0,,0
291,8,29,8,0,12,0
292,8,29,9,0,6,0
293,8,29,10,0,15,0
294,8,29,11,0,,0
295,8,29,12,0,,0
296,8,29,13,0,,0
297,8,30,1,0,1,0
298,8,30,2,1,,0
299,8,30,3,0,,0
300,8,30,4,1,,0
301,8,30,5,0,,0
302,8,30,6,0,16,0
303,8,30,7,0,14,0
304,8,30,8,1,,0
305,8,30,9,1,,0
306,8,30,10,1,,0
307,8,30,11,0,,0
308,8,30,12,1,,0
309,8,30,13,1,,0
310,8,30,14,0,,0
311,8,30,15,1,,0
312,8,31,1,1,,0
313,8,31,2,1,,0
314,8,31,3,1,,0
315,8,31,4,1,,0
316,8,31,5,1,,0
317,8,31,6,1,,0
318,8,31,7,1,,0
319,8,31,8,1,,0
320,8,31,9,1,,0
321,8,31,10,1,,0
322,8,31,11,1,,0
323,8,31,12,1,,0
324,9,32,1,1,,0
325,9,32,2,1,,0
326,9,32,3,0,,0
327,9,32,4,0,,0
328,9,32,5,0,,0
329,9,32,6,1,,0
330,9,32,7,1,,0
331,9,32,8,1,,0
332,9,32,9,1,,0
333,9,32,10,0,17,0
334,9,32,11,0,26,0
335,9,32,12,1,,0
336,9,32,13,1,,0
337,9,32,14,1,,0
338,9,32,15,0,20,0
339,9,32,16,1,,0
340,9,32,17,1,,0
341,9,32,18,0,19,0
342,9,33,1,1,,0
343,9,33,2,1,,0
344,9,33,3,0,17,0
345,9,33,4,0,,0
346,9,33,5,0,14,0
347,9,33,6,1,,0
348,9,33,7,1,,0
349,9,33,8,1,,0
350,9,33,9,0,,0
351,9,33,10,0,,0
352,9,33,11,0,,0
353,9,33,12,1,,0
354,9,33,13,0,19,0
355,9,33,14,1,,0
356,9,33,15,1,,0
357,9,33,16,0,1,0
358,9,33,17,0,12,0
359,9,33,18,1,,0
360,9,33,19,0,,0
361,9,33,20,0,15,0
362,9,34,1,0,19,0
363,9,34,2,1,,0
364,9,34,3,0,,0
365,9,34,4,0,,0
366,9,34,5,1,,0
367,9,34,6,0,,0
368,9,34,7,0,,0
369,9,34,8,0,15,0
370,9,34,9,1,,0
371,9,34,10,0,1,0
372,9,34,11,0,12,0
373,9,34,12,0,17,0
374,9,34,13,1,,0
375,9,34,14,0,,0
376,9,34,15,0,,0
377,9,34,16,1,,0
378,9,34,17,0,,0
379,9,34,18,1,,0
380,9,34,19,1,,0
381,9,34,20,1,,0
382,9,34,21,1,,0
383,9,34,22,0,,0
384,9,34,23,0,,0
385,9,34,24,0,14,0
386,9,34,25,1,,0
387,9,34,26,1,,0
388,9,35,1,1,,0
389,9,35,2,0,15,0
390,9,35,3,0,,0
391,9,35,4,0,,0
392,9,35,5,1,,0
393,9,35,6,0,6,0
394,9,35,7,0,28,0
395,9,35,8,0,1,0
396,9,35,9,0,1,0
397,9,35,10,1,,0
398,9,36,1,1,,0
399,9,36,2,1,,0
400,9,36,3,1,,0
401,9,36,4,1,,0
402,9,36,5,1,,0
403,9,36,6,1,,0
404,9,36,7,1,,0
405,9,36,8,1,,0
406,9,36,9,1,,0
407,9,36,10,1,,0
408,9,36,11,1,,0
409,9,37,1,1,,0
410,9,37,2,1,,0
411,9,37,3,1,,0
412,9,37,4,1,,0
413,9,37,5,1,,0
414,9,37,6,1,,0
415,9,37,7,1,,0
416,9,37,8,1,,0
417,9,37,9,1,,0
418,10,38,1,0,,0
419,10,38,2,0,26,0
420,10,38,3,0,,0
421,10,38,4,0,,0
422,10,38,5,0,21,0
423,10,38,6,0,,0
424,10,38,7,0,,0
425,10,38,8,0,,0
426,10,38,9,1,,0
427,10,38,10,0,,0
428,10,38,11,0,12,0
429,10,38,12,0,17,0
430,10,39,1,0,16,0
431,10,39,2,1,,0
432,10,39,3,0,6,0
433,10,39,4,1,,0
434,10,39,5,1,,0
435,10,39,6,0,15,0
436,10,39,7,0,,0
437,10,39,8,0,1,0
438,10,39,9,1,,0
439,10,39,10,1,,0
440,10,39,11,0,14,0
441,10,39,12,0,,0
442,10,40,1,1,,0
443,10,40,2,1,,0
444,10,40,3,1,,0
445,10,40,4,1,,0
446,10,40,5,1,,0
447,10,40,6,1,,0
448,10,40,7,1,,0
449,10,40,8,1,,0
450,10,40,9,1,,0
451,10,40,10,1,,0
452,10,40,11,1,,0
453,10,40,12,1,,0
454,10,41,1,1,,0
455,10,41,2,0,19,0
456,10,41,3,0,28,0
457,10,41,4,1,,0
458,10,41,5,1,,0
459,10,41,6,0,20,0
460,10,41,7,0,,0
461,10,42,1,1,,0
462,10,42,2,1,,0
463,10,42,3,1,,0
464,10,42,4,1,,0
465,10,42,5,0,1,0
466,10,42,6,0,1,0
467,10,42,7,0,26,0
468,10,43,1,1,,0
469,10,43,2,1,,0
470,10,43,3,1,,0
471,10,43,4,1,,0
472,10,43,5,1,,0
473,10,43,6,1,,0
474,10,43,7,1,,0
475,10,44,1,0,15,0
476,10,44,2,1,,0
477,10,44,3,1,,0
478,10,44,4,0,,0
479,10,44,5,1,,0
480,10,44,6,0,12,0
481,10,44,7,0,,0
482,10,45,1,0,,0
483,10,45,2,0,21,0
484,10,45,3,0,,0
485,10,45,4,0,26,0
486,10,45,5,0,17,0
487,10,45,6,0,,0
488,10,45,7,0,,0
