id,gsType,gsObeliskGroup,obeliskNumber,broken,gsCodexData,verified
95,3,10,05,1,NULL,1
96,3,10,06,0,17,0
97,3,10,07,0,16,0
98,3,10,08,0,23,0
99,3,10,09,0,14,0
100,3,10,10,0,NULL,
101,3,11,01,1,NULL,1
102,3,11,02,0,28,0
103,3,11,03,0,16,0
104,3,11,04,0,20,0
105,3,11,05,0,17,0
106,3,11,06,0,25,0
107,3,11,07,0,23,0
108,3,11,08,1,NULL,1
109,3,11,09,0,14,0
110,3,11,10,1,NULL,1
111,4,12,01,0,17,0
112,4,12,02,1,NULL,1
113,4,12,03,0,1,0
114,4,12,04,0,28,0
115,4,12,05,0,26,0
116,4,12,06,1,NULL,1
117,4,12,07,1,NULL,1
118,4,12,08,0,21,0
119,4,12,09,0,20,0
120,4,12,10,0,19,0
121,4,13,01,0,26,0
122,4,13,02,0,21,0
123,4,13,03,0,20,0
124,4,13,04,0,19,0
125,4,13,05,0,19,0
126,4,13,06,0,NULL,
127,4,13,07,0,NULL,
128,4,13,08,0,14,0
129,4,13,09,0,12,0
130,4,13,10,0,NULL,
131,4,13,11,0,1,0
132,4,13,12,1,NULL,1
133,4,14,01,0,28,0
134,4,14,02,1,NULL,1
135,4,14,03,1,NULL,1
136,4,14,04,0,NULL,
137,4,14,05,1,NULL,1
138,4,14,06,0,6,0
139,4,14,07,1,NULL,1
140,4,14,08,1,NULL,1
141,4,14,09,1,NULL,1
142,4,14,10,0,NULL,
143,4,14,11,0,NULL,
144,4,14,12,1,NULL,1
145,4,14,13,0,16,0
146,4,14,14,0,15,0
147,5,15,01,1,NULL,1
148,5,15,02,1,NULL,1
149,5,15,03,1,NULL,1
150,5,15,04,1,NULL,1
151,5,15,05,1,NULL,1
152,5,15,06,1,NULL,1
153,5,16,01,0,22,0
154,5,16,02,0,25,0
155,5,16,03,1,NULL,1
156,5,16,04,0,18,0
157,5,17,01,0,17,0
158,5,17,02,0,20,0
159,5,17,03,1,NULL,1
160,5,17,04,0,NULL,
161,5,17,05,0,11,0
162,5,17,06,0,16,0
163,5,17,07,0,NULL,
164,5,17,08,1,NULL,1
165,5,17,09,0,14,0
166,5,17,10,1,NULL,1
167,5,18,01,0,14,0
168,5,18,02,1,NULL,1
169,5,18,03,0,NULL,
170,5,18,04,0,NULL,
171,5,18,05,0,17,0
172,5,18,06,0,16,0
173,5,18,07,0,20,0
174,5,18,08,0,20,0
175,5,18,09,1,NULL,1
176,5,18,10,1,NULL,1
177,5,19,01,1,NULL,1
178,5,19,02,1,NULL,1
179,5,19,03,0,7,0
180,5,19,04,1,NULL,1
181,5,19,05,0,18,0
182,5,19,06,1,NULL,1
183,5,19,07,0,25,0
184,5,19,08,0,4,0
185,5,19,09,1,NULL,1
186,5,19,10,1,NULL,1
187,5,19,11,0,11,0
188,5,19,12,1,NULL,1
189,5,19,13,1,NULL,1
190,5,19,14,0,12,0
191,5,19,15,1,NULL,1
192,5,19,16,0,22,0
193,6,20,01,0,14,0
194,6,20,02,1,NULL,1
195,6,20,03,1,NULL,1
196,6,20,04,1,NULL,1
197,6,20,05,0,15,0
198,6,20,06,1,NULL,1
199,6,20,07,0,16,0
200,6,20,08,1,NULL,1
201,6,21,01,0,13,0
202,6,21,02,0,20,0
203,6,21,03,1,NULL,1
204,6,21,04,1,NULL,1
205,6,21,05,1,NULL,1
206,6,21,06,1,NULL,1
207,6,21,07,0,11,0
208,6,21,08,0,11,0
209,6,22,01,1,NULL,1
210,6,22,02,0,17,0
211,6,22,03,1,NULL,1
212,6,22,04,1,NULL,1
213,6,22,05,1,NULL,1
214,6,22,06,1,NULL,1
215,6,22,07,0,18,0
216,6,22,08,1,NULL,1
217,6,23,01,0,5,0
218,6,23,02,1,NULL,1
219,6,23,03,1,NULL,1
220,6,23,04,0,22,0
221,6,23,05,0,8,0
222,7,24,01,1,NULL,1
223,7,24,02,1,NULL,1
224,7,24,03,1,NULL,1
225,7,24,04,0,13,0
226,7,24,05,1,NULL,1
227,7,24,06,1,NULL,1
228,7,24,07,0,21,0
229,7,24,08,1,NULL,1
230,7,24,09,0,21,0
231,7,24,10,0,NULL,
232,7,24,11,0,NULL,
233,7,24,12,0,24,0
234,7,24,13,0,NULL,
235,7,25,01,1,NULL,1
236,7,25,02,1,NULL,1
237,7,25,03,1,NULL,1
238,7,25,04,0,16,0
239,7,25,05,1,NULL,1
240,7,25,06,0,17,0
241,7,25,07,0,NULL,
242,7,25,08,0,14,0
243,7,25,09,0,13,0
244,7,25,10,1,NULL,1
245,7,25,11,1,NULL,1
246,7,25,12,0,NULL,
247,7,25,13,0,NULL,
248,7,25,14,1,NULL,1
249,7,26,01,0,2,0
250,7,26,02,0,9,0
251,7,26,03,1,NULL,1
252,7,26,04,1,NULL,1
253,7,26,05,0,15,0
254,7,26,06,0,17,0
255,7,26,07,0,NULL,
256,7,26,08,0,14,0
257,7,26,09,0,NULL,
258,7,26,10,1,NULL,1
259,7,27,01,1,NULL,1
260,7,27,02,1,NULL,1
261,7,27,03,1,NULL,1
262,7,27,04,1,NULL,1
263,7,27,05,1,NULL,1
264,7,27,06,0,24,0
265,7,27,07,0,27,0
266,8,28,01,0,1,0
267,8,28,02,0,28,0
268,8,28,03,1,NULL,1
269,8,28,04,0,21,0
270,8,28,05,1,NULL,1
271,8,28,06,1,NULL,1
272,8,28,07,0,13,0
273,8,28,08,0,NULL,
274,8,28,09,1,NULL,1
275,8,28,10,1,NULL,1
276,8,28,11,1,NULL,1
277,8,28,12,1,NULL,1
278,8,28,13,1,NULL,1
279,8,28,14,1,NULL,1
280,8,28,15,1,NULL,1
281,8,28,16,0,NULL,
282,8,28,17,1,NULL,1
283,8,28,18,0,NULL,
284,8,29,01,0,26,0
285,8,29,02,0,21,0
286,8,29,03,0,20,0
287,8,29,04,0,19,0
288,8,29,05,1,NULL,1
289,8,29,06,1,NULL,1
290,8,29,07,0,NULL,
291,8,29,08,0,12,0
292,8,29,09,0,6,0
293,8,29,10,0,15,0
294,8,29,11,0,NULL,
295,8,29,12,0,17,0
296,8,29,13,0,NULL,
297,8,30,01,0,1,0
298,8,30,02,1,NULL,1
299,8,30,03,0,NULL,
300,8,30,04,1,NULL,1
301,8,30,05,0,NULL,
302,8,30,06,0,16,0
303,8,30,07,0,14,0
304,8,30,08,1,NULL,1
305,8,30,09,1,NULL,1
306,8,30,10,1,NULL,1
307,8,30,11,0,NULL,
308,8,30,12,1,NULL,1
309,8,30,13,1,NULL,1
310,8,30,14,0,NULL,
311,8,30,15,1,NULL,1
312,8,31,01,1,NULL,1
313,8,31,02,1,NULL,1
314,8,31,03,1,NULL,1
315,8,31,04,1,NULL,1
316,8,31,05,1,NULL,1
317,8,31,06,1,NULL,1
318,8,31,07,1,NULL,1
319,8,31,08,1,NULL,1
320,8,31,09,1,NULL,1
321,8,31,10,1,NULL,1
322,8,31,11,1,NULL,1
323,8,31,12,1,NULL,1
324,9,32,01,1,NULL,1
325,9,32,02,1,NULL,1
326,9,32,03,0,NULL,
327,9,32,04,0,NULL,
328,9,32,05,0,NULL,
329,9,32,06,1,NULL,1
330,9,32,07,1,NULL,1
331,9,32,08,1,NULL,1
332,9,32,09,1,NULL,1
333,9,32,10,0,17,0
334,9,32,11,0,26,0
335,9,32,12,1,NULL,1
336,9,32,13,1,NULL,1
337,9,32,14,1,NULL,1
338,9,32,15,0,20,0
339,9,32,16,1,NULL,1
340,9,32,17,1,NULL,1
341,9,32,18,0,19,0
342,9,33,01,1,NULL,1
343,9,33,02,1,NULL,1
344,9,33,03,0,17,0
345,9,33,04,0,NULL,
346,9,33,05,0,14,0
347,9,33,06,1,NULL,1
348,9,33,07,1,NULL,1
349,9,33,08,1,NULL,1
350,9,33,09,0,NULL,
351,9,33,10,0,NULL,
352,9,33,11,0,NULL,
353,9,33,12,1,NULL,1
354,9,33,13,0,19,0
355,9,33,14,1,NULL,1
356,9,33,15,1,NULL,1
357,9,33,16,0,1,0
358,9,33,17,0,12,0
359,9,33,18,1,NULL,1
360,9,33,19,0,NULL,
361,9,33,20,0,15,0
362,9,34,01,0,19,0
363,9,34,02,1,NULL,1
364,9,34,03,0,NULL,
365,9,34,04,0,NULL,
366,9,34,05,1,NULL,1
367,9,34,06,0,NULL,
368,9,34,07,0,NULL,
369,9,34,08,0,15,0
370,9,34,09,1,NULL,1
371,9,34,10,0,1,0
372,9,34,11,0,12,0
373,9,34,12,0,17,0
374,9,34,13,1,NULL,1
375,9,34,14,0,NULL,
376,9,34,15,0,NULL,
377,9,34,16,1,NULL,1
378,9,34,17,0,NULL,
379,9,34,18,1,NULL,1
380,9,34,19,1,NULL,1
381,9,34,20,1,NULL,1
382,9,34,21,1,NULL,1
383,9,34,22,0,NULL,
384,9,34,23,0,NULL,
385,9,34,24,0,14,0
386,9,34,25,1,NULL,1
387,9,34,26,1,NULL,1
388,9,35,01,1,NULL,1
389,9,35,02,0,15,0
390,9,35,03,0,NULL,
391,9,35,04,0,NULL,
392,9,35,05,1,NULL,1
393,9,35,06,0,6,0
394,9,35,07,0,28,0
395,9,35,08,0,1,0
396,9,35,09,0,1,0
397,9,35,10,1,NULL,1
398,9,36,01,1,NULL,1
399,9,36,02,1,NULL,1
400,9,36,03,1,NULL,1
401,9,36,04,1,NULL,1
402,9,36,05,1,NULL,1
403,9,36,06,1,NULL,1
404,9,36,07,1,NULL,1
405,9,36,08,1,NULL,1
406,9,36,09,1,NULL,1
407,9,36,10,1,NULL,1
408,9,36,11,1,NULL,1
409,9,37,01,1,NULL,1
410,9,37,02,1,NULL,1
411,9,37,03,1,NULL,1
412,9,37,04,1,NULL,1
413,9,37,05,1,NULL,1
414,9,37,06,1,NULL,1
415,9,37,07,1,NULL,1
416,9,37,08,1,NULL,1
417,9,37,09,1,NULL,1
418,10,38,01,0,NULL,
419,10,38,02,0,26,0
420,10,38,03,0,NULL,
421,10,38,04,0,NULL,
422,10,38,05,0,21,0
423,10,38,06,0,NULL,
424,10,38,07,0,NULL,
425,10,38,08,0,NULL,
426,10,38,09,1,NULL,1
427,10,38,10,0,NULL,
428,10,38,11,0,12,0
429,10,38,12,0,17,0
430,10,39,01,0,16,0
431,10,39,02,1,NULL,1
432,10,39,03,0,6,0
433,10,39,04,1,NULL,1
434,10,39,05,1,NULL,1
435,10,39,06,0,15,0
436,10,39,07,0,NULL,
437,10,39,08,0,1,0
438,10,39,09,1,NULL,1
439,10,39,10,1,NULL,1
440,10,39,11,0,14,0
441,10,39,12,0,NULL,
442,10,40,01,1,NULL,1
443,10,40,02,1,NULL,1
444,10,40,03,1,NULL,1
445,10,40,04,1,NULL,1
446,10,40,05,1,NULL,1
447,10,40,06,1,NULL,1
448,10,40,07,1,NULL,1
449,10,40,08,1,NULL,1
450,10,40,09,1,NULL,1
451,10,40,10,1,NULL,1
452,10,40,11,1,NULL,1
453,10,40,12,1,NULL,1
454,10,41,01,1,NULL,1
455,10,41,02,0,19,0
456,10,41,03,0,28,0
457,10,41,04,1,NULL,1
458,10,41,05,1,NULL,1
459,10,41,06,0,20,0
460,10,41,07,0,NULL,
461,10,42,01,1,NULL,1
462,10,42,02,1,NULL,1
463,10,42,03,1,NULL,1
464,10,42,04,1,NULL,1
465,10,42,05,0,1,0
466,10,42,06,0,1,0
467,10,42,07,0,26,0
468,10,43,01,1,NULL,1
469,10,43,02,1,NULL,1
470,10,43,03,1,NULL,1
471,10,43,04,1,NULL,1
472,10,43,05,1,NULL,1
473,10,43,06,1,NULL,1
474,10,43,07,1,NULL,1
475,10,44,01,0,15,0
476,10,44,02,1,NULL,1
477,10,44,03,1,NULL,1
478,10,44,04,0,NULL,
479,10,44,05,1,NULL,1
480,10,44,06,0,12,0
481,10,44,07,0,NULL,
482,10,45,01,0,NULL,
483,10,45,02,0,21,0
484,10,45,03,0,NULL,
485,10,45,04,0,26,0
486,10,45,05,0,17,0
487,10,45,06,0,NULL,
488,10,45,07,0,NULL,
