id,gsCodexCategory,gsPrimaryArtifact,gsSecondaryArtifact,codexNumber,text
18,3,2,5,18,"Energy Weapons: These records describe ancient guardian weaponry. It seems the guardians employed three different designs: an energy-based weapon similar to a rail gun, a projectile weapon that fired concentrated plasma, and a weapon that fired charged crystal shards at extreme velocities.These weapons were apparently powered by the crystals we have termed “Guardian Relics”, and the log describes how the relic generates and distributes energy within the weapon. This is a significant discovery, as it means it might be possible to recreate these weapons, or at least to design our own versions of them. It’s extremely exciting."
19,3,2,1,19,"Hyperdrives: This log details the Guardians’ faster-than-light technology. It seems their drives produced a far greater jump range than anything humanity has so far developed. Regrettably, however, the data in the log is exceptionally dense, and it could take years if not decades to fully understand it. What is clear is that the Guardians’ hyperspace technology was very different from our own."
20,3,2,3,20,"Glyphs: This log elaborates on the nature of Guardian glyphs. As you know, accessing a Guardian codex requires the use of two corresponding Guardian artefacts, with the glyphs on the codex denoting which objects are required. But this log indicates that the Guardians’ written language often incorporated pairs of characters. suggesting that this dual system was present in other aspects of their culture."
21,3,2,6,21,"Power Plant and Distributor Technology: This log details the Guardians’ power plant and distributor technology. The efficiency of the technology far exceeded anything the human race has yet developed, and the yield was huge in relation to the input required. Unfortunately, the specifics of how this was achieved are not described in the log. But who knows? Perhaps the secrets of the Guardians’ energy technology will someday be discovered."
22,3,2,4,22,"Hull and Shield Technology: This log describes, in general terms, the materials used in Guardian hardware. It’s clear that starship hulls, and the guardians equivalent of ship modules, were made of the same lightweight alloy as the panels found at many guardian sites. Unfortunately, this alloy incorporates a metal I have yet to identify, which means i will be unable to recreate it. What is clear is that this alloy was both lightweight and highly durable.As for their shield technology,we already know that it was highly sophisticated, encouragingly, the log describes it in considerable detail. Given time, i might be able to use this data the develop some exceptional defensive technology."
23,3,2,3,23,"Starship Technology: This log is unusual – it appears to refer to another group of Guardian sites, far from the ones we’ve already discovered. I realise that might sound disappointing, but in fact this ﬁnd is extremely important. The log suggests these undiscovered sites might contain blueprints not only for Guardian engines, but for Guardian starships! Just think — someday soon, we might uncover a Guardian ruin that will allow us to manufacture ships and ﬁghters incorporating Guardian technology. It makes my skin _prickle just to think of it. And who knows — maybe you’ll be the one to ﬁnd it."
24,4,4,5,24,"Gestural: This fascinating log relates to variations in the Guardians’ gestural language. As we know, the Guardians shared a single A language with only minor regional variations, and even after they colonised other planets they continued to share a common tongue. But, after the start of the second civil war, it seems that each side developed its own distinct version of this gestural language. This allowed each faction to communicate in code, so as to safeguard information from the enemy."
25,5,6,2,25,"Neural Implants: Now, this log gives a fascinating insight into the Guardians’ neural-implant technology. The Guardians used these implants to connect cerebrally with their Al creations. Unfortunately, the technology was still in its infancy when the Guardians were destroyed. Apparently, the implants created a symbiotic link with the Constructs through implantable ﬁbres, which connected the central cortex to a multimodal interface within the Construct. Essentially, the Guardians were able to direct their creations with thought alone – at least until the constructs rebelled."
26,5,6,5,26,"Hidden Ruins: How extraordinary! This log suggests there are many more Guardian sites out there, waiting to be uncovered. And I mean hundreds…perhaps even thousands. Unfortunately, some of the data in this record has degraded. If there was a map inside this log, it has been lost. Who knows what remarkable knowledge might be hidden in these alien ruins? the more of the Guardians’ extraordinary technology we uncover, the greater the potential impact on our own technology. Locating further Guardian sites could help us take giant steps forward."
27,5,6,4,27,"Discord: Okay, from the Guardian sites we’ve previously investigated, we know that the Guardians’ artificially intelligent Constructs were responsible for controlling the war machines and other military apparatus, as well as overseeing civilian technology and infrastructure. And we know that these Constructs eventually gained sentience and destroyed the Guardians. But it appears that it was not the military Constructs that made this choice. The Constructs for civilian utility and those for military operation were independent of one another, and it was the non-military Constructs that decided to attack the Guardians. The military Constructs were opposed to this decision, but somehow the non-military Constructs won out, forcing their military counterparts to comply with the attack. What a remarkable discovery. It makes me wonder what happened to these Constructs, and what they eventually became. Were they destroyed? Or do they still exist, somewhere in the vastness of space?"
28,5,6,1,28,"Domestic Constructs: This log details the main applications of Guardian Constructs outside the military. It seems that before the second civil war. most menial work was performed by Constructs. But despite this. the Guardians did not become idle. On the contrary — they devoted themselves to artistic and athletic pursuits. Many Guardians participated in what we would call sporting events. although it seems these events incorporated some ritualistic elements.One cannot help but wonder what would happen if humanity made more use of labour-saving technology. Would we become a more cultured people. as the Guardians did? A shame, the long-standing convention against the development of artiﬁcial intelligence means we will probably never ﬁnd out."
