id,system,body,siteID,extoolID,latitude,longitude,type,hasDatabank,verified,visible,discoveredBy
112,1321,1682,112,\N,33.2173,-53.9565,3,0,1,1,52
113,1347,1711,113,\N,-3.0135,-37.8314,8,1,1,1,52
114,1373,1746,114,\N,-18.3636,56.0348,6,1,1,1,52
115,181,231,115,\N,-43.3221,163.7282,2,0,1,1,175
116,1313,1674,116,\N,-47.7719,-54.599,6,1,1,1,47
117,1510,1936,117,\N,-17.459,-102.9318,4,0,1,1,43
118,731,929,118,\N,6.2901,11.8959,3,0,1,1,52
119,1374,1747,119,\N,45.6477,102.8309,8,1,1,1,52
120,224,296,120,\N,-50.8065,54.6819,3,0,1,1,282
121,721,909,121,\N,19.5553,-132.6691,11,1,1,1,52
122,1515,1941,122,\N,-74.6051,-117.9979,8,1,1,1,52
