id,system,body,siteID,extoolID,latitude,longitude,type,hasDatabank,verified,visible,discoveredBy
58,845,1179,58,\N,11.2991,-113.3043,2,0,1,1,342
59,635,924,59,\N,-40.0571,-20.0045,3,0,1,1,117
60,2305,3114,60,\N,70.0007,-38.5384,8,1,1,1,44
61,2313,3125,61,\N,52.0385,110.8552,7,1,1,1,44
62,2319,3131,62,\N,-23.7554,36.7087,4,0,1,1,44
63,2310,3119,63,\N,54.0972,-52.0658,2,0,1,1,203
64,710,1012,64,\N,-43.1448,163.005,3,0,1,1,568
65,601,876,65,\N,-11.389,-149.2682,3,0,1,1,342
66,737,1048,66,\N,-33.9519,-12.5171,7,1,1,1,168
67,767,1084,67,\N,-59.2133,-132.9053,7,1,1,1,247
68,829,1160,68,\N,-11.5445,63.4959,6,1,1,1,168
69,823,1151,69,\N,42.1358,177.2873,2,0,1,1,168
70,2322,3134,70,\N,-20.4225,34.3141,6,1,1,1,44
71,3745,5099,71,\N,-39.0538,-65.4311,5,1,1,1,320
72,3696,5034,72,\N,30.3997,-127.24,3,0,1,1,320
73,3610,4926,73,\N,58.9512,88.5083,2,0,1,1,460
74,606,881,74,\N,-57.9996,-7.8974,4,0,0,1,460
75,3702,5042,75,\N,3.348,9.5881,11,1,1,1,35
76,3568,4868,76,\N,-52.2766,98.4334,11,1,1,1,545
77,3611,4929,77,\N,-3.4755,-115.258,11,1,1,1,96
78,3567,4867,78,\N,-46.7966,-132.27,10,1,0,1,96
79,3628,4947,79,\N,-4.8314,-65.7558,11,1,1,1,168
80,3609,4925,80,\N,-37.5625,-125.6039,9,1,1,1,21
81,3780,5143,81,\N,2.5833,126.6176,10,1,0,1,209
82,3583,4892,82,\N,-2.0147,54.393,9,1,0,1,209
83,3641,4964,83,\N,56.7166,121.6597,9,1,0,1,209
84,3654,4978,84,\N,50.6153,-35.0532,11,1,0,1,209
85,3604,4918,85,\N,-23.99,174.22,10,1,0,1,209
86,3690,5026,86,\N,59.518,-23.376,11,1,1,1,96
87,3608,4924,87,\N,64.2973,163.6847,9,1,1,1,21
88,3600,4914,88,\N,-45.4807,152.4102,10,1,0,1,209
89,3664,4990,89,\N,38.2725,-48.5607,11,1,1,1,96
90,2320,3132,90,\N,-49.5373,-81.8963,4,0,0,1,209
91,2040,2788,91,\N,-0.8641,-38.1784,11,1,0,1,21
92,3575,4883,92,\N,-16.1024,-5.7274,9,1,0,1,209
93,3638,4961,93,\N,-42.5076,-155.6324,11,1,1,1,292
94,3569,4869,94,\N,43.6624,174.2231,9,1,1,1,460
95,3683,5015,95,\N,-44.9067,89.4301,9,1,0,1,209
96,2046,2795,96,\N,-44.5212,34.3159,9,1,1,1,85
97,2043,2792,97,\N,25.4582,-132.8993,10,1,1,1,66
98,3595,4907,98,\N,-14.0603,-31.1756,9,1,0,1,209
99,3633,4956,99,\N,47.409,80.6103,10,1,0,1,168
100,2321,3133,100,\N,-1.1806,25.3779,11,1,1,1,460
101,3613,4931,101,\N,37.809,-111.6051,10,1,1,1,460
102,3645,4968,102,\N,12.1763,44.3155,10,1,1,1,209
103,3635,4958,103,\N,-40.9175,-156.144,6,1,1,1,209
104,3607,4921,104,\N,-25.6606,169.9389,6,1,1,1,460
105,2317,3129,105,\N,80.2978,113.4324,9,1,1,1,209
106,3597,4909,106,\N,-49.1889,-23.327,10,1,1,1,209
107,752,1067,107,\N,-7.4777,-28.521,5,1,1,1,297
108,652,943,108,\N,57.5534,41.955,4,0,1,1,209
109,3981,5423,109,\N,-30.6587,-66.4213,7,1,1,1,209
110,670,961,110,\N,43.3372,-18.6274,5,1,1,1,209
111,3602,4916,111,\N,25.3202,-59.4835,4,0,0,1,85
112,3639,4962,112,\N,33.2173,-53.9565,3,0,1,1,85
113,3669,4995,113,\N,-3.0135,-37.8314,8,1,1,1,85
114,3704,5044,114,\N,-18.3636,56.0348,6,1,1,1,85
115,612,888,115,\N,-43.3221,163.7282,2,0,1,1,297
116,3631,4954,116,\N,-47.7719,-54.599,6,1,1,1,76
117,3979,5421,117,\N,-17.459,-102.9318,4,0,1,1,71
118,1868,2551,118,\N,6.2901,11.8959,3,0,1,1,85
119,3706,5047,119,\N,45.6477,102.8309,8,1,1,1,85
120,712,1015,120,\N,-50.8065,54.6819,3,0,1,1,460
121,1853,2525,121,\N,19.5553,-132.6691,11,1,1,1,85
122,3984,5427,122,\N,-74.6051,-117.9979,8,1,1,1,85
123,4070,5553,123,\N,65.7455,129.0776,7,1,1,1,91
124,2591,3509,124,\N,-21.7862,-136.3477,8,1,1,1,501
125,1872,2555,125,\N,18.7425,-139.9914,7,1,1,1,37
126,4057,5531,126,\N,-1.4987,136.6075,3,0,1,1,91
127,4074,5557,127,\N,-50.2851,77.5752,4,0,1,1,91
128,2593,3511,128,\N,-1.8164,96.5731,8,1,1,1,91
129,4055,5529,129,\N,-22.3349,6.0006,2,0,1,1,91
