id,grType,grObeliskGroup,obeliskNumber,broken,grCodexData,verified
235,2,16,09,0,85,1
236,2,16,10,0,83,1
237,2,16,11,0,83,0
238,2,16,12,0,82,0
239,2,16,13,0,82,0
240,2,17,01,0,62,0
241,2,17,02,1,\N,1
242,2,17,03,0,63,0
243,2,17,04,0,63,0
244,2,17,05,0,64,0
245,2,17,06,0,65,0
246,2,17,07,0,66,0
247,2,17,08,0,67,0
248,2,17,09,0,67,1
249,2,17,10,0,65,0
250,2,17,11,1,\N,1
251,2,17,12,1,\N,1
252,2,17,13,0,62,0
253,2,17,14,0,63,0
254,2,17,15,0,64,0
255,2,17,16,0,65,0
256,2,17,17,0,66,0
257,2,17,18,0,67,0
258,2,17,19,0,67,0
259,2,17,20,1,\N,1
260,2,17,21,0,62,0
261,2,17,22,0,62,0
262,2,17,23,0,63,0
263,2,17,24,0,64,0
264,2,17,25,0,65,0
265,2,17,26,0,66,0
266,2,17,27,0,67,0
267,2,17,28,0,66,0
268,2,17,29,0,64,0
269,3,18,01,0,55,0
270,3,18,02,0,54,0
271,3,18,03,0,53,0
272,3,18,04,0,47,0
273,3,18,05,0,52,0
274,3,18,06,0,47,0
275,3,18,07,0,51,0
276,3,18,08,0,48,0
277,3,18,09,0,49,1
278,3,18,10,1,\N,1
279,3,19,01,0,88,0
280,3,19,02,0,89,0
281,3,19,03,0,91,1
282,3,19,04,0,90,0
283,3,19,05,1,\N,1
284,3,19,06,0,92,0
285,3,20,01,0,72,0
286,3,20,02,1,\N,1
287,3,20,03,1,\N,1
288,3,20,04,1,\N,1
289,3,20,05,0,72,0
290,3,20,06,1,\N,1
291,3,20,07,1,\N,1
292,3,20,08,1,\N,1
293,3,20,09,0,72,1
294,3,20,10,0,70,1
295,3,20,11,0,69,1
296,3,20,12,0,68,0
297,3,20,13,0,68,0
298,3,20,14,0,71,0
299,3,20,15,0,70,1
300,3,20,16,0,69,0
301,3,20,17,0,68,1
302,3,20,18,0,71,0
303,3,20,19,0,70,0
304,3,20,20,0,69,1
305,3,20,21,0,68,0
306,3,20,22,0,71,1
307,3,20,23,0,70,0
308,3,20,24,0,68,0
309,3,20,25,0,68,0
310,3,21,01,0,51,0
311,3,21,02,0,49,0
312,3,21,03,0,47,0
313,3,21,04,0,52,0
314,3,21,05,0,50,0
315,3,21,06,0,48,1
316,3,21,07,0,52,0
317,3,21,08,0,50,0
318,3,21,09,0,48,0
319,3,21,10,0,51,0
320,3,21,11,0,49,0
321,3,21,12,0,47,1
322,3,22,01,0,88,0
323,3,22,02,0,89,0
324,3,22,03,0,90,1
325,3,22,04,0,91,0
326,3,22,05,0,92,0
327,3,22,06,0,93,0
328,3,22,07,0,94,0
329,3,22,08,0,12,0
330,3,22,09,0,11,0
331,3,22,10,0,26,0
332,3,22,11,0,27,0
333,3,22,12,0,28,0
334,3,22,13,0,29,0
335,3,22,14,0,30,0
336,3,22,15,0,31,1
337,3,22,16,0,32,0
338,3,22,17,0,10,0
339,3,22,18,0,9,0
340,3,22,19,0,68,0
341,3,22,20,0,69,0
342,3,22,21,0,70,0
343,3,22,22,0,71,1
344,3,22,23,0,72,0
345,3,22,24,0,73,0
346,3,22,25,0,74,0
347,3,22,26,0,7,0
348,3,22,27,0,8,0
349,3,23,01,1,\N,1
350,3,23,02,0,50,0
351,3,23,03,0,48,0
352,3,23,04,0,51,0
353,3,23,05,0,53,0
354,3,23,06,0,52,0
355,3,23,07,0,54,0
356,3,23,08,0,55,0
357,3,24,01,0,53,0
358,3,24,02,0,54,0
359,3,24,03,0,54,0
360,3,24,04,0,53,1
361,3,24,05,0,48,0
362,3,24,06,0,48,0
363,3,24,07,0,52,0
364,3,24,08,0,55,0
365,3,24,09,0,54,0
366,3,24,10,0,53,0
367,3,24,11,0,49,0
368,3,24,12,0,\N,
369,3,24,13,0,51,1
370,3,24,14,0,55,0
371,3,24,15,0,55,0
372,3,24,16,0,49,1
373,3,24,17,0,49,0
374,3,24,18,0,47,1
375,3,25,01,1,\N,1
376,3,25,02,1,\N,1
377,3,25,03,0,93,0
378,3,25,04,1,\N,1
379,3,25,05,0,92,1
380,3,25,06,1,\N,1
381,3,25,07,0,91,0
382,3,25,08,0,90,0
383,3,25,09,0,89,1
384,3,25,10,0,88,1
385,3,26,01,0,50,0
386,3,26,02,0,29,0
387,3,26,03,0,71,0
388,3,26,04,0,49,0
389,3,26,05,0,28,1
390,3,26,06,0,70,0
391,3,26,07,0,48,0
392,3,26,08,0,27,1
393,3,26,09,0,69,0
394,3,26,10,0,47,0
395,3,26,11,0,26,0
396,3,26,12,0,68,1
397,3,27,01,1,\N,1
398,3,27,02,1,\N,1
399,3,27,03,0,89,1
400,3,27,04,1,\N,1
401,3,27,05,0,90,0
402,3,27,06,1,\N,1
403,3,27,07,0,91,0
404,3,27,08,0,92,0
405,3,27,09,0,93,1
406,3,27,10,0,94,0
407,3,28,01,1,\N,1
408,3,28,02,0,32,0
409,3,28,03,0,31,0
410,3,28,04,0,30,1
411,3,28,05,0,29,1
412,3,28,06,0,28,0
413,3,28,07,0,27,0
414,3,28,08,0,26,0
415,3,28,09,0,32,0
416,3,28,10,1,\N,1
417,3,28,11,1,\N,1
418,3,28,12,0,31,0
419,3,28,13,0,30,0
420,3,28,14,0,29,0
421,3,28,15,0,28,0
422,3,28,16,0,27,0
423,3,28,17,0,26,0
424,3,28,18,0,31,0
425,3,28,19,0,32,0
426,3,28,20,1,\N,1
427,3,28,21,0,31,1
428,3,28,22,0,30,0
429,3,28,23,0,29,0
430,3,28,24,0,28,1
431,3,28,25,0,27,1
432,3,28,26,0,26,1
433,3,28,27,0,28,0
434,3,29,01,0,90,1
435,3,29,02,0,91,0
436,3,29,03,0,92,0
437,3,29,04,1,\N,1
438,3,29,05,0,93,0
439,3,29,06,0,94,1
440,3,30,01,0,88,0
441,3,30,02,0,88,1
442,3,30,03,0,89,0
443,3,31,01,0,73,0
444,3,31,02,0,74,1
445,3,31,03,0,73,1
446,3,31,04,0,72,0
447,3,31,05,0,74,1
448,3,31,06,0,74,0
449,3,31,07,0,73,0
450,3,31,08,0,72,1
451,3,31,09,0,74,0
452,3,31,10,0,74,0
453,3,31,11,0,73,0
454,3,31,12,0,72,0
455,3,31,13,0,68,0
456,3,31,14,0,\N,
457,3,31,15,0,74,0
458,3,31,16,0,73,0
459,3,31,17,0,72,0
460,3,31,18,0,\N,
461,3,31,19,0,73,0
462,3,31,20,0,73,0
463,3,31,21,0,72,0
464,3,31,22,0,\N,
465,3,31,23,0,74,0
466,3,31,24,0,73,1
467,3,31,25,0,72,0
468,3,32,01,0,94,1
469,3,32,02,0,94,1
470,3,32,03,0,93,1
471,3,33,01,1,\N,1
472,3,33,02,0,32,1
473,3,33,03,0,27,0
474,3,33,04,0,28,0
475,3,33,05,0,29,0
476,3,33,06,0,30,0
477,3,33,07,0,31,0
478,3,33,08,0,32,0
479,3,33,09,0,31,0
480,3,33,10,1,\N,1
481,3,33,11,1,\N,1
482,3,33,12,0,27,0
483,3,33,13,0,28,0
484,3,33,14,0,29,0
485,3,33,15,0,30,0
486,3,33,16,0,31,0
487,3,33,17,0,\N,
488,3,33,18,0,\N,
489,3,33,19,0,26,0
490,3,33,20,1,\N,1
491,3,33,21,0,27,0
492,3,33,22,0,28,0
493,3,33,23,0,29,1
494,3,33,24,0,30,0
495,3,33,25,0,31,0
496,3,33,26,0,32,0
497,3,33,27,0,26,0
498,3,34,01,0,88,1
499,3,34,02,1,\N,1
500,3,34,03,0,90,0
501,3,34,04,0,90,1
502,3,34,05,0,91,1
503,3,34,06,0,92,0
504,3,34,07,1,\N,1
505,3,34,08,1,\N,1
506,3,35,01,0,29,0
507,3,35,02,0,29,0
508,3,35,03,0,49,0
509,3,35,04,0,\N,
510,3,35,05,0,6,0
511,3,35,06,0,29,0
512,3,35,07,0,\N,
513,3,35,08,0,26,0
514,3,35,09,0,\N,
515,3,35,10,0,32,1
516,3,35,11,0,48,0
517,3,35,12,0,8,1
518,3,35,13,0,50,0
519,3,35,14,0,10,1
520,3,35,15,0,52,0
521,3,35,16,0,12,0
522,3,35,17,0,54,0
523,3,35,18,0,27,1
524,3,35,19,0,47,0
525,3,35,20,0,\N,
526,3,35,21,0,29,0
527,3,35,22,0,29,0
528,3,35,23,0,51,1
529,3,35,24,0,11,0
530,3,35,25,0,29,0
531,3,35,26,0,5,0
532,3,35,27,0,55,0
533,3,36,01,0,94,0
534,3,36,02,0,93,0
535,3,36,03,0,94,0
536,3,37,01,0,55,0
537,3,37,02,0,54,0
538,3,37,03,0,53,0
539,3,37,04,0,52,1
540,3,37,05,0,51,0
541,3,37,06,0,50,0
542,3,37,07,0,55,0
543,3,37,08,0,54,0
544,3,37,09,0,53,0
545,3,37,10,0,52,0
546,3,37,11,0,51,0
547,3,37,12,0,50,0
548,3,37,13,0,55,1
549,3,37,14,0,54,1
550,3,37,15,0,53,1
551,3,37,16,0,52,1
552,3,37,17,0,51,0
553,3,37,18,0,50,1
554,3,38,01,0,7,0
555,3,38,02,0,12,1
556,3,38,03,0,\N,
557,3,38,04,0,11,1
558,3,38,05,0,11,0
559,3,38,06,0,11,0
560,3,38,07,0,\N,
561,3,38,08,0,\N,
562,3,38,09,0,\N,
563,3,38,10,0,\N,
564,3,38,11,0,\N,
565,3,38,12,0,8,1
566,3,38,13,0,\N,
567,3,38,14,0,7,0
568,3,38,15,0,7,1
569,3,38,16,0,\N,
570,3,38,17,0,89,0
571,3,38,18,0,\N,
572,3,38,19,1,\N,1
573,3,38,20,0,12,0
574,3,38,21,0,12,1
575,3,38,22,0,12,0
576,3,38,23,0,\N,
577,3,38,24,0,11,0
578,3,38,25,0,\N,
579,3,38,26,0,\N,
580,3,38,27,0,9,0
581,3,38,28,0,9,0
582,3,38,29,0,\N,
583,3,38,30,0,8,0
584,3,38,31,0,8,0
585,3,38,32,0,7,0
586,3,38,33,0,\N,
587,3,38,34,0,91,0
588,3,38,35,0,88,0
589,3,38,36,0,91,1
590,3,38,37,1,\N,1
591,3,38,38,1,\N,1
592,3,38,39,0,\N,
593,3,38,40,0,\N,
594,3,38,41,0,11,1
595,3,38,42,0,11,0
596,3,38,43,0,10,0
597,3,38,44,0,10,0
598,3,38,45,0,9,0
599,3,38,46,0,9,1
600,3,38,47,0,8,0
601,3,38,48,0,\N,
602,3,38,49,0,8,0
603,3,38,50,0,7,0
604,3,38,51,0,7,0
605,3,38,52,0,90,0
606,3,38,53,0,93,0
607,3,38,54,0,90,0
608,3,38,55,0,\N,
609,4,39,01,1,\N,1
610,4,39,02,0,13,1
611,4,39,03,0,19,0
612,4,39,04,0,18,1
613,4,39,05,0,17,0
614,4,39,06,0,16,0
615,4,39,07,0,15,0
616,4,39,08,0,14,1
617,4,39,09,0,13,0
618,4,39,10,1,\N,1
619,4,39,11,1,\N,1
620,4,39,12,0,19,0
621,4,39,13,0,18,0
622,4,39,14,0,17,1
623,4,39,15,0,16,0
624,4,39,16,0,15,0
625,4,39,17,0,14,0
626,4,39,18,0,13,0
627,4,39,19,0,14,0
628,4,39,20,1,\N,1
629,4,39,21,0,19,0
630,4,39,22,0,18,1
631,4,39,23,0,17,0
632,4,39,24,0,16,0
633,4,39,25,0,15,0
634,4,39,26,0,14,0
635,4,39,27,0,13,0
636,4,40,01,1,\N,1
637,4,40,02,0,13,0
638,4,40,03,0,19,0
639,4,40,04,0,18,1
640,4,40,05,0,17,0
641,4,40,06,0,16,0
642,4,40,07,0,15,0
643,4,40,08,0,14,0
644,4,40,09,0,13,0
645,4,40,10,1,\N,1
646,4,40,11,1,\N,1
647,4,40,12,0,19,1
648,4,40,13,0,18,0
649,4,40,14,0,17,0
650,4,40,15,0,16,0
651,4,40,16,0,15,0
652,4,40,17,0,14,0
653,4,40,18,0,13,0
654,4,40,19,0,18,0
655,4,40,20,1,\N,1
656,4,40,21,0,19,0
657,4,40,22,0,18,0
658,4,40,23,0,17,0
659,4,40,24,0,16,1
660,4,40,25,0,15,0
661,4,40,26,0,14,0
662,4,40,27,0,13,1
663,4,41,01,1,\N,1
664,4,41,02,0,38,1
665,4,41,03,0,37,1
666,4,41,04,0,36,0
667,4,41,05,0,33,0
668,4,41,06,1,\N,1
669,4,41,07,0,37,1
670,4,41,08,0,38,0
671,4,41,09,0,36,1
672,4,41,10,0,34,1
673,4,41,11,1,\N,1
674,4,41,12,1,\N,1
675,4,41,13,0,39,1
676,4,41,14,0,35,1
677,4,41,15,0,35,1
678,4,42,01,0,60,1
679,4,42,02,0,81,0
680,4,42,03,0,78,1
681,4,42,04,0,77,0
682,4,42,05,1,\N,1
683,4,42,06,0,81,0
684,4,42,07,0,79,0
685,4,42,08,0,76,0
686,4,42,09,1,\N,1
687,4,42,10,1,\N,1
688,4,42,11,0,60,0
689,4,42,12,0,80,1
690,4,42,13,0,80,0
691,4,42,14,0,75,1
692,4,42,15,0,75,0
693,4,43,01,0,58,0
694,4,43,02,0,59,0
695,4,43,03,0,60,0
696,4,43,04,0,58,1
697,4,43,05,0,59,1
698,4,43,06,0,57,0
699,4,43,07,0,56,1
700,4,43,08,0,57,0
701,4,43,09,0,56,0
702,4,43,10,1,\N,1
703,4,44,01,1,\N,1
704,4,44,02,0,98,0
705,4,44,03,0,97,1
706,4,44,04,0,96,0
707,4,44,05,0,95,0
708,4,44,06,0,99,1
709,4,44,07,0,98,0
710,4,44,08,0,97,1
711,4,44,09,0,96,1
712,4,44,10,0,95,1
713,4,44,11,1,\N,1
714,4,44,12,0,98,0
715,4,44,13,0,97,0
716,4,44,14,0,96,0
717,4,44,15,0,95,0
718,4,45,01,1,\N,1
719,4,45,02,1,\N,1
720,4,45,03,0,101,1
721,4,45,04,0,100,0
722,4,45,05,0,99,1
723,4,45,06,1,\N,1
724,4,45,07,0,101,0
725,4,45,08,0,100,0
726,4,45,09,0,99,0
727,4,45,10,1,\N,1
728,4,45,11,1,\N,1
729,4,45,12,0,101,0
730,4,45,13,0,100,1
731,4,45,14,0,99,0
732,4,46,01,0,\N,
733,4,46,02,0,75,0
734,4,46,03,0,76,0
735,4,46,04,0,77,1
736,4,46,05,0,78,0
737,4,46,06,0,79,0
738,4,46,07,0,80,0
739,4,46,08,0,78,0
740,4,46,09,0,77,0
741,4,46,10,0,76,0
742,4,46,11,0,79,0
743,4,46,12,0,81,0
744,4,46,13,0,81,0
745,4,46,14,0,80,0
746,4,46,15,0,79,0
747,4,46,16,0,78,0
748,4,46,17,0,77,0
749,4,46,18,0,76,0
750,4,46,19,1,\N,1
751,4,46,20,0,75,0
752,4,46,21,0,75,0
753,4,46,22,0,76,1
754,4,46,23,0,77,0
755,4,46,24,0,78,0
756,4,46,25,0,79,0
757,4,46,26,0,80,0
758,4,46,27,0,81,0
759,4,46,28,0,78,1
760,4,46,29,0,75,0
761,4,46,30,0,75,1
762,4,46,31,0,76,0
763,4,46,32,0,81,0
764,4,46,33,0,80,0
765,4,46,34,0,79,0
766,4,46,35,0,78,0
767,4,46,36,0,77,0
768,4,46,37,0,76,0
769,4,46,38,1,\N,1
770,4,46,39,1,\N,1
771,4,46,40,0,76,0
772,4,46,41,0,77,0
773,4,46,42,0,78,0
774,4,46,43,0,79,0
775,4,46,44,0,80,0
776,4,46,45,0,81,1
777,4,46,46,0,80,0
778,4,46,47,0,79,0
779,4,46,48,0,78,0
780,4,46,49,0,77,0
781,4,46,50,0,81,0
782,4,46,51,0,80,1
783,4,46,52,0,79,1
784,4,46,53,0,78,0
785,4,46,54,0,77,0
786,4,46,55,0,76,0
787,4,46,56,0,75,0
788,4,46,57,1,\N,1
789,4,47,01,0,15,1
790,4,47,02,0,16,1
791,4,47,03,0,17,0
792,4,47,04,0,18,0
793,4,47,05,0,19,1
794,4,47,06,0,13,0
795,4,47,07,0,14,1
796,4,47,08,0,15,0
797,4,47,09,0,16,1
798,4,47,10,0,17,0
799,4,47,11,0,18,1
800,4,47,12,0,14,1
801,4,47,13,0,13,0
802,4,47,14,0,19,1
803,4,47,15,0,18,0
804,4,47,16,0,17,1
805,4,47,17,0,16,0
806,4,47,18,0,15,0
807,4,48,01,1,\N,1
808,4,48,02,1,\N,1
809,4,48,03,0,60,0
810,4,48,04,0,57,1
811,4,48,05,0,59,1
812,4,48,06,1,\N,1
813,4,48,07,0,60,0
814,4,48,08,0,56,0
815,4,48,09,0,58,0
816,4,49,01,1,\N,1
817,4,49,02,0,97,0
818,4,49,03,0,96,1
819,4,49,04,0,95,0
820,4,49,05,0,101,1
821,4,49,06,0,98,0
822,4,49,07,0,97,1
823,4,49,08,0,96,0
824,4,49,09,0,95,0
825,4,49,10,0,101,0
826,4,49,11,0,98,0
827,4,49,12,0,97,1
828,4,49,13,0,96,0
829,4,49,14,0,95,0
830,4,49,15,0,101,0
831,4,50,01,1,\N,1
832,4,50,02,0,98,1
833,4,50,03,0,99,1
834,4,50,04,0,100,0
835,4,50,05,0,101,1
836,4,50,06,1,\N,1
837,4,50,07,0,98,0
838,4,50,08,0,99,0
839,4,50,09,0,100,1
840,4,50,10,0,101,0
841,4,50,11,1,\N,1
842,4,50,12,0,99,0
843,4,50,13,0,100,1
844,4,50,14,0,101,0
845,4,51,01,0,39,1
846,4,51,02,0,39,0
847,4,51,03,0,36,0
848,4,51,04,0,36,0
849,4,51,05,0,33,0
850,4,51,06,0,38,0
851,4,51,07,0,38,0
852,4,51,08,0,35,0
853,4,51,09,0,35,0
854,4,51,10,0,37,1
855,4,51,11,0,37,0
856,4,51,12,0,34,1
857,4,51,13,0,34,0
858,4,51,14,0,33,0
859,4,52,01,0,95,1
860,4,52,02,0,96,0
861,4,52,03,0,97,0
862,4,52,04,1,\N,1
863,4,52,05,0,95,0
864,4,52,06,0,96,1
865,4,52,07,0,97,0
866,4,52,08,0,98,0
867,4,52,09,1,\N,1
868,4,52,10,0,95,0
869,4,52,11,0,96,0
870,4,52,12,0,97,1
871,4,52,13,0,98,0
872,4,52,14,1,\N,1
873,4,53,01,0,58,0
874,4,53,02,0,59,1
875,4,53,03,0,56,0
876,4,53,04,0,60,0
877,4,53,05,0,56,1
878,4,53,06,0,60,0
879,4,53,07,0,57,1
880,4,53,08,1,\N,1
881,4,54,01,1,\N,1
882,4,54,02,0,78,
883,4,54,03,0,39,0
884,4,54,04,0,38,0
885,4,54,05,0,37,0
886,4,54,06,0,36,0
887,4,54,07,0,35,0
888,4,54,08,0,34,0
889,4,54,09,0,33,0
890,4,54,10,1,\N,1
891,4,54,11,1,\N,1
892,4,54,12,0,39,0
893,4,54,13,0,38,0
894,4,54,14,0,37,0
895,4,54,15,0,36,0
896,4,54,16,0,35,0
897,4,54,17,0,36,0
898,4,54,18,0,33,0
899,4,54,19,0,36,0
900,4,54,20,1,\N,1
901,4,54,21,0,39,0
902,4,54,22,0,38,0
903,4,54,23,0,37,0
904,4,54,24,0,36,0
905,4,54,25,0,35,0
906,4,54,26,0,34,1
907,4,54,27,0,33,1
908,4,55,01,0,58,0
909,4,55,02,0,59,0
910,4,55,03,0,60,0
911,4,55,04,0,58,0
912,4,55,05,0,60,0
913,4,55,06,0,57,0
914,4,55,07,0,59,1
915,4,55,08,0,57,0
916,4,55,09,0,56,0
917,4,55,10,1,\N,1
918,4,56,01,0,33,0
919,4,56,02,0,34,0
920,4,56,03,0,35,0
921,4,56,04,0,36,0
922,4,56,05,0,37,0
923,4,56,06,0,38,0
924,4,56,07,0,39,0
925,4,56,08,0,59,0
926,4,56,09,0,58,0
927,4,56,10,0,33,1
928,4,56,11,0,34,0
929,4,56,12,0,35,0
930,4,56,13,0,36,1
931,4,56,14,0,37,0
932,4,56,15,0,38,0
933,4,56,16,0,39,1
934,4,56,17,0,57,0
935,4,56,18,0,56,0
936,4,56,19,0,33,0
937,4,56,20,0,34,0
938,4,56,21,0,35,0
939,4,56,22,0,36,0
940,4,56,23,0,37,0
941,4,56,24,0,38,0
942,4,56,25,0,39,0
943,4,56,26,1,\N,1
944,4,56,27,1,\N,1
945,4,57,01,0,57,0
946,4,57,02,0,57,0
947,4,57,03,0,56,0
948,4,57,04,0,56,0
949,4,57,05,0,58,1
950,4,57,06,0,58,0
951,4,57,07,0,59,0
952,4,57,08,0,59,0
