id,gensite,logNumber,logTitle,logBody
11,3,2,THE PROMISED LAND 2/5,"Midshipman’s Log 57/9:

This situation is becoming critical. Support for the child – they’re just calling him Zachariah – has developed into some sort of mass hysteria. They’re hailing him as a kind of messiah. Over half the ship’s population now thinks this boy is going to deliver them to the promised land. Jefferson has tried talking to his acolytes but they no longer recognise the commander as the main authority figure on the ship. It wouldn’t be so bad but there are whispers of weird ceremonies, and people have started to go missing. l don’t know what Jefferson’s next move is but he needs to do it quick if we’re gonna regain order."
12,3,3,THE PROMISED LAND 3/5,"Midshipman’s Log 59/6:

We have an emergency situation. Commander Jefferson is… he’s dead. They killed him… an offering they called it. He went with a security team to break up one of their gatherings and take Zachariah into custody when they just turned on him. The kid refused to go and ordered the security team to throw Jefferson out of the air lock. I can’t believe they did it! It’s like he has some kind of power I’ve never seen anything like it.

There’s only me and a few others who don’t follow him now, but it’s safer if we just go along with these religious fanatics until they find their promised land and I can ditch them. I don’t want to be the next one getting vented!"
13,3,4,THE PROMISED LAND 4/5,"Midshipman’s Log 62/4:

I don’t have much time. He’s going to kill everyone… and I have to stop him. Turns out Zachariah’s ‘promised land’ isn’t a fertile planet. It’s the cold vacuum of space!! He intends to open up every airlock on the ship and vent all the corridors and containment units. He just proclaimed it to the entire ship in that little voice of his. Everyone seems to be going along with it – thinking it’ll take them to a higher plane or some garbage. Am I the only one here still sane? Because it sure feels like it.

I have to stop him. I got a loaded carbine and I’m not going to let anyone get in my way. I just hope I’m in time."
14,3,5,THE PROMISED LAND 5/5,"AUTOMATED SYSTEMS MESSAGE:

SYSTEM REPORT: LIFE SUPPORT COUNTERMAND REQUESTED AT 09:43.

MANUAL OVERRIDE GRANTED ON ALL AIRLOCKS.

FULL SHIP PURGE INITIATED 09:52

++ PURGE COMPLETE ++

++ PURGE COMPLETE ++

++ PURGE COMPLETE ++

++ PURGE COMPLETE ++"
15,4,1,CONTAGION 1/5,"Physician’s Log 2379/2

Nothing out of the ordinary to report. Minor injuries, aches and pains from the more vulnerable crew members and the usual bout of influenza you’d expect with so many people living in such close confines. It seems the current strain of influenza is becoming resistant to the vaccines we’ve developed on board.

Only thing of note was a minor injury to one of the survey team. Gottleib sustained a minor laceration. He was taking a mineral sample on a nearby asteroid. The suit got breached but he managed to apply an emergency seal before anything serious happened. I only hope the sample he took was worth the scar it’s gonna leave."
16,4,2,CONTAGION 2/5,"Physician’s Log 2387/8

We have an emergency. The strain of influenza infecting the ship has become completely resistant to any vaccines or treatment we can find. 13% of the ship’s population has now succumbed to the infection and so far eight have died. I’ve initiated emergency measures and quarantined the infected. The epidemiologist, Doctor Munroe, is working round the clock to find a solution – I’rn sure she’ll come up with a cure before long."
17,4,3,CONTAGION 3/5,"Physician’s Log 2463/5

Doctor Munroe made a discovery that has filled me with dread. This contagion doesn’t derive from the influenza epidemic – it’s altogether more alien than that. The contaminant has no human origin – it comes from Gottleib, the scientist who was injured a few days ago. Whatever mineral he was taking a sample of must have got into his blood. It’s mutated into some kind of virulent pathogen. Munroe is unable to isolate the microorganism that’s causing it. It spreads… fast. Quarantine hasn’t worked and people are starting to panic. We’re doing our best to come up with a counteragent but I’m not sure we have the resources…"
18,4,4,CONTAGION 4/5,"Physician’s Log 2499/9

We are lost. Munroe died two days ago and any chance we had of finding a cure for this epidemic died with her. Half the ship’s population is already dead and 98% of those remaining are infected. Teams are working round the clock to vent the bodies into space but they’re piling up so quickly… The riots haven’t helped. People are panicking, angry, don’t know what to do. When you see your family die I guess you just get desperate.

I don’t know what to do. Suppose I should do my job but it’s no use. At least I’ve avoided infection. For now…"
19,4,5,CONTAGION 5/5,"Physician’s Log 2501/7

I knew I wasn’t going to avoid contracting this thing forever… I’m one of… one of the last. This place is so quiet now. It used to teem with life and now… now there’s just silence along the empty corridors. I should probably go for one last walk… while I still can…"
20,5,1,OUR NEW EDEN 1/5,"Odysseus Council Log: Order, order. I will have order in the house.

It is decided then.

The mission is changed.

We, the elected council of The Odysseus, decree that all members of the crew remain on board and all resources for the ill conceived planetary colonisation mission are to be reallocated to enable the Odysseus to sustain us.

Order, order.

Any and all attempts to leave the ship, question the council or otherwise reinstate the previous mission parameters, is to be considered a capital offence. For the greater good."
21,5,2,OUR NEW EDEN 2/5,"Personal Log: First Officer

Why would we leave the safety of our ship for the unknown of an alien world?

We have everything we need here. No one goes without. We have sustainable food, water, medical supplies and power sources for all on board. This is our Eden, not some dust ball hurtling through the vacuum of space. It makes no sense to leave.

Besides we have no idea what we would find on these worlds, if we’d survive, if we’d be able to find food or water. There could be anything out there.

The ship’s council makes the law and they were right all those years ago. That’s why we elected them after all.

The Odysseus is our home and this is where we stay. For the greater good."
22,5,3,OUR NEW EDEN 3/5,"Security Officer’s Log:

It’s been years since we’ve dealt with something like this and to be honest I’m not sure we can cope anymore.

Sickness has taken hold, we detected it too late. By the time we knew what it was, half the ship was infected. Rings A and C are no go areas, even for medical staff. Council orders. So many areas are quarantined off now we’re cut off from some of the ship’s key systems.

We should have been better prepared. It’s not the first outbreak we’ve had. Back in my dad’s day an epidemic flooded the ship after a meteor storm. There were riots and people getting sick. But we got through it. We rebuilt the farms, peopie got medicine and recovered. This… this is different.

The council has initiated martial law, the ship’s under curfew, and anyone found to be infected is locked up in the quarantine zones. They say it’s for the greater good, but I don’t know anymore. I can’t think straight."
23,5,4,OUR NEW EDEN 4/5,"Security Officer’s Log:

lf the sickness killing us all wasn’t bad enough, the council just gave the order, someone flicked a switch and they vented it all. Ring A, C, the med bays, the holding bays, all of it. Anywhere there was a sign of infection. Hundreds of people, sucked out into space. Hundreds more suffocated with no air. For the greater good.

We were raised to believe that the will of the council is absolute. They govern, they rule, for all of us. But this…

There’s talk of a movement to remove the council, they want to get off the ship to leave at the next habitable world. After all these years, none of us have any memory of anything but the Odysseus. It’s a dream. We wouldn’ t know what to do if we got planetside. I’m fifth generation; all I know is this ship, the council, the laws. And I know that going down to an unknown planet would likely be the death of us all. Besides, it will never happen. The council won’t allow it. There is only one way off this ship."
24,5,5,OUR NEW EDEN 5/5,"Ship Log Final entry:

They thought they had eradicated it. We all thought they had. We fought, for the greater good. We existed here, for the greater good. We mourned the lost ones, for the greater good. The council made peace, for the greater good. We exist, we remember, we mourn. All for the greater good.

Twenty years, we have existed. But you can’t kill this, it hides, it retreats and mutates and comes at you again.

The same, but different. Stronger, more deadly.

Now there is nothing left; no people, no council, no laws, only the sickness.

I record this as a warning, do not board this ship. It is dead. Mourn those lost and remember, but do not set foot onboard this ship. For the greater good…"
25,6,1,THE CHROMOSOME INCIDENT 1/4,"Medical Log 247/4

I’ve researched some statistics and there could be a problem. Over the past three months 75% of pregnancies have provided a male foetus. I’m sure it’s nothing to worry about right now. Although I’m starting to think my predecessor made a mistake not bringing any medical equipment that could manipulate gender at the embryonic stage. I mean I can understand the ethics behind it, but this has left us hanging a little bit. Especially now we’re in this situation. I can only hope it evens itself out."
26,6,2,THE CHROMOSOME INCIDENT 2/4,"Medical Log 320/9

Situation is now critical. We’ve had no female newborns for the past nine months and all recent pregnancies have produced male foetuses. I’rn currently looking into the problem and it would appear that none of the ship’s complement are producing male gametes with the XX chromosome. That means that even if we could artificially inseminate with a sample we still wouldn’t produce any zygotes with the potential to form a female embryo. l have no idea how to solve this as we have no stock with both XX and XY samples on the ship – another mistake my predecessor made. lf I can find out the cause of this anomaly hopefully it will lead me to a solution. We have time to fix this, and I’m not panicking yet, but this has the potential to be disastrous to the success of our mission."
27,6,3,THE CHROMOSOME INCIDENT 3/4,"Medical Log 398/1

After all these years I finally have to come to terms with the fact that we’re never going to find a solution to this problem. The last member of the ship’s complement of child bearing age has now had a boy. She was sixty nine. If I could find a solution, even if I applied the stims and gene therapy that allowed any of them to carry a child, none of the women aboard ship would reach full term anyway."
28,6,4,THE CHROMOSOME INCIDENT 4/4,"Medical Log 537/5

This will be my last entry. The men aboard are preparing to evacuate. They know the mission is doomed and don’t want to die here. I don’t blame them. I could still go with them, but I’ve refused the offer. I failed this ship and everyone aboard. It’s only right that I die with the mission. Good luck to them."
29,7,1,MADNESS AND GHOSTS 1/5,"Comms Log 905.2.34

Still all quiet out here in the black. Just had our very first ninth-gen child born on ship. That takes the current population to 17,401. Other than that, nothing out of the ordinary. Apart from reports from some residents at the northern end of C-Deck. They’ve heard some kind of strange whispering sound coming from their apartment comms unit. I’m sure it’s nothing, but I’ve dispatched a member of tech to investigate."
30,7,2,MADNESS AND GHOSTS 2/5,"Comms Log 907.6.34

We have an emergency situation on board. Some kind of epidemic, it’s driving people insane. I’ve managed to source it to a digital signal that keeps broadcasting within the comms array. It started on C-Deck, but now the entire population of decks C to F have been massacred. They just went crazy and started killing each other. I’ve isolated the signal, so it’s stopped for now. Just trying to identify the source. It should be easy enough to delete the beacon if I can find the right frequency. I wanna know what the message says, but I’m… I’m just too scared to listen."
31,7,3,MADNESS AND GHOSTS 3/5,"Comms Log 908.7.34

I’ve done it. I’ve managed to decrypt the signal and identify the source. But it’s even more confusing than I thought. The signal originates from an uninhabited planet we passed 15 light years ago. Who sent it and how it managed to infect the comms array I have no idea.

That’s the good news. The bad news is, I heard the message. I was trying to run it through the translator and I forgot the speaker was on. It’s the same message relayed again and again and again – it’s more a whisper than anything else; it says, ‘kill them all’…"
32,7,4,MADNESS AND GHOSTS 4/5,"Comms Log 900.0.04

Blood. Blood everywhere. It’s spread on the walls – people have started writing words in it but it’s a script I can’t identify. I’m alone now on the comms deck. Pearson was the last one with me but I had to stab him in the throat to stop him… stop him… I can’t remember what I had to stop him doing but… he’s dead now.

I can hear people out there. Some of them are still walking around. Some of them are barely breathing. I have to find them. I have to silence them. I have to…"
33,7,5,MADNESS AND GHOSTS 5/5,C_mm_ Lo_ 000.0.00 ….k.l……h.m……..l……………….
34,8,1,BOARDING PARTY 1/4,"Security Log: Generation Ship Venusian

This is Officer Gant. I know I haven’t made many of these logs – haven’t needed to – but recent events mean I have to open a record. The Venusian has been travelling for months now without incident, other than the usual canteen disputes and a couple of bar fights. Recently though, sensors have picked up a number of heat signals, though no sign of any actual ships… that is, until today.

Two small ships of unknown designation were briefly caught on sensors until they initiated supercruise and disappeared. We don’t know where they’ve come from or where they’ve gone, and attempts to hail them were met with silence. The XO, Deacon, thinks it’s nothing to worry about but I’ve got to admit, I’m nervous. Anyway, we’re keeping an eye out and the comms team are on high alert. Maybe it’s nothing."
35,8,2,BOARDING PARTY 2/4,"Security Log: Generation Ship Venusian

They came out of a gas nebula, a pirate fleet, all manner of ships and some of them highly modified. Every single one was red though. Blood red. Our auto defences were useless and the raiders breached the hull with mining lasers. By the time they’d got inside I’d managed to rustle up a decent defence force, but we couldn’t stop them spreading through the decks. The fighting was fierce at first and we put up a good resistance, but when the best of our crew were cut down there was nothing the rest of us could do.

All l could do was initiate a rearguard action while we tried to save as many people as we could. Deacon managed to rally some troops and we pushed them back long enough to retreat to aft. Not sure how long we’re gonna last.
Deacon keeps talking about a parlay, but these are pirates on a slave hunt. They won’t stop until we’re all dead or in chains. And frankly I’d take death over slavery any day."
36,8,3,BOARDING PARTY 3/4,"Security Log: Generation Ship Venusian

I’m down to my last dozen men and about the same in cells for my carbine. We’ve got around a hundred civilians relying on us and we’ll fight till the last man to defend them.

Deacon’s disappeared. Either fled or captured I don’t know which. I can only hope he managed to escape somehow and has gone to get help from somewhere. Anywhere.

I know, I’m kidding myself. We’re done for, and it’s just a matter of time before they breach our defences. No matter – I’ll fight till the last. They won’t take me alive."
37,8,4,BOARDING PARTY 4/4,"Security Log: Generation Ship Venusian

Our barricade has been breached. We’re under heavy fire. It won’t be long.

Deacon! Damn him, it was Deacon who did this. He showed the pirates how to breach our defences, gave them access to the maintenance tunnels. They would never have found them without Deacon’s help.

I’m caught in a hail. If I can manage to return fire long enough maybe I can get a bead on Deacon. Just one shot is all I need to take out that son of a…"
38,9,1,DEAD STICK 1/4,"Lazarus Expedition situation report:

We’ve suffered a critical failure.

lt came out of nowhere, I thought we’d hit something, just a huge bang and then all hell broke loose, system alarms firing off everywhere. All drives are off line, repair attempts are ongoing but with no success.

Evidence points to one of the cooling systems exploding on a routine cycle. It sent pieces flying through the propulsion system, shredding it, chains of explosions and… Well, the long and the short of it is the ship’s a dead stick. We’re drifting, no engine, no means of altering course.

I guess we’re lucky the power plant didn’t go up or we wouldn’t be alive to make reports."
39,9,2,DEAD STICK 2/4,"Lazarus Expedition situation report:

After weeks of repairs we have to accept it. The Lazarus is not going anywhere.

So we have two choices open to us:

We can stay on board, floating aimlessly in space. There are enough renewable resources for generations, but it’s not an infinite supply. The Lazarus wasn’t a top of the line ship. There was only enough capital to get the basic ship built and stocked up for the intended travel time. We added some contingency, but that will only give us say… another ten years. So maybe it’ll be our great grand kids that’ ll have to deal with the problem. I don’t like that idea. I couldn’t bear with it being another generation’s problem to solve, while we use up all the resources.

So that leaves option number two.

We harvest the ship and build as many useable lifeboats as we can. This thing was designed to be dismantled to make our settlements when we reached our destination. Once we have all we need from the ship, we should be able to reach a planet, as long as it’s not too far away. We’ ve done some scans and there are habitable worlds in the region that we can aim for.

It’ll take months, maybe years, but I think it’s the best option. After all, we have the time and giving people hope is a powerful tool."
40,9,3,DEAD STICK 3/4,"Lazarus Expedition situation report:

As the life ship’s near completion, I find I’m sleeping less and less. I tell myself that it’s nerves or excitement at all we’ve achieved. But those are just the lies I tell myself to keep going.

The real reason I can’t sleep is that I know what’s to come. Even with the rules in place, we’ve seen population growth. Unlicensed births are increasing as people see the light at the end of the tunnel. I knew hope was powerful, but I forgot it can also blind you to the truth.

With our current population, we don’t have enough space on the life ships for everyone on board.

So once again, I have choices to make.

It won’t be popular, these things never are. But it will be fair.

There is an old Earth maritime tradition of women and children being evacuated first. We will hold to that We’ll try to keep families together. From those that remain, volunteers will be requested I can only hope that covers the deficit. Otherwise it’II be a lottery for the final places."
41,9,4,DEAD STICK 4/4,"Lazarus Expedition situation report:

The last of the life ships has launched. Each has a destination well within their calculated range. We thought it best to have multiple destinations, not putting all our eggs in one basket so to speak. All we can do for them now is hope, hope that they make it, hope that the planets they land on are hospitable, hope that they thrive and grow.

For us that remained on board there is no more hope. We go about our existence with the knowledge that we are destined to die, but that we do so, so that others could live.

In the end we all volunteered for this. That’s the thing about the human spirit. We fight over the smallest things, but when it really hits the fan, people step up.

This is our last log, I won’t document our demise. This is not our story anymore. It belongs to those out there heading towards a new life. It’s a story of hope, triumph over adversity and how we came together as a community to give them a chance out here. This is the Lazarus Expedition… signing off."
42,10,1,NOT WELCOME 1/4,"Medical Officers Log 8933:

We’ve done it. We’re down on the surface and the habitats are all fully operational. No more supply runs to the ship and back We’ve established five settlements in this region with another ten spread across the other regions. The elected leaders of each group have voted and declared the mission a success. Many of the settlements have decommissioned their landers as a sign of this, even holding ceremonies to celebrate our new life here. However, it appears our new home may not be as welcoming as we had hoped for. Much of the indigenous flora and fauna have proven to be toxic and highly aggressive.

Several of the crew have been attacked while gathering food and supplies and we have lost a few people to various incidents involving local plant life.

Settlement Alpha and Beta have also been having problems with animal attacks. By all accounts they’ve had it worse than us with entire teams being lost.

We’ve posted additional sentries to guard the settlement, but we’re not a military operation, we’re explorers and colonists. The best we have is an ex-security officer to keep us safe. We were simply not expecting such a hostile environment."
43,10,2,NOT WELCOME 2/4,"Medical Officers Log 7463

The creatures got into our habitats. Oh god it was a massacre. So many dead, women, children. They ate… Oh god. I think I’m going to be sick.

We can’t stay here. Correll has gathered up everyone he could find and we’re heading for settlement Delta in the mountains east of here. Hopefully we can find some shelter up there. Correll said something about them keeping the lander intact as an emergency measure. Maybe we can use that to get back to the ship."
44,10,3,NOT WELCOME 3/4,"Medical Officers Log 7467

We reached Settlement Delta this morning, only… there’s no one here. There are signs of what looks like a fight and barricades in some of the bigger buildings. It looks like they tried to use the main hab as a shelter, but whatever attacked them tunnelled in through the floors.

I can’t shake the feeling that these animals are watching us, biding their time. It feels like we’re being hunted.

At least the rumours about the launcher are true. It’s here and fully intact. It seems as if our friends had turned it into a monument rather than break it down like the rest of us did. We’ve managed to locate the orbiting ship’s beacon and made the necessary calculations for a launch. Our only problem is the fuel cells. They are dry. Huke, our engineer, seems to think he can get some from the other building in the settlement. It will just take a little time, a couple of days maybe. All we can do is wait and keep our guard up until we can get off this planet."
45,10,4,NOT WELCOME 4/4,"Medical Officers Log 7475

Somehow, I don’t know how, one of those things got on board. It must have been in the lander when we launched.

We’ve managed to trap it in the farm pods, but not before it killed all but three of us. Halil won’t make it through the night, the thing mauled him pretty badly. All we can do is keep him doped up on pain meds. As for Huke and me, without access to the farms, we’re living on borrowed time. We were in the process of setting everything back up when the creature attacked. We only have the few day’s rations that were on the lander… wait… what was that!

No, no, no, no… How did it get out?! This can’t be happening… it can’t be happening…"
46,11,1,TWO TRIBES 1/4,"Ship Log — Year 5, day 234

We have a situation. There have been system failures in navigation, habitat and communications. Life support seems to be working normally, but we only have enough power in bio-systems for a few decades. We’re drifting aimlessly. Assuming we don’t reach a habitable planet soon, we’ll be out of food in a few years. The Captain has ordered us to keep a lid on this. I mean, we’ve got 3,000 souls aboard this vessel — the last thing we need is a ship-wide panic."
47,11,2,TWO TRIBES 2/4,"Ship Log — Year 187, day 12

The War of the Four Tribes continues. We, the Mechanics, are once again fighting for our survival. The Peacekeepers — curse their name — have become dominant. After they allied with the Colony they destroyed most of us. But if we can form an alliance with the Cultivators we might gain control of food stocks and avert our destruction. With prayer and zeal we will prevail. We fight with the wrench and the driver. We fight for the Engine."
48,11,3,TWO TRIBES 3/4,"Ship Log — Year 369, day 327

Still we fight. Still we quest for victory over the Mechlords. I hear them in the long night, creeping through the vents like ghosts. From my earliest days, the Elders told me of their rites and their sacrifices. Never venture out alone, my mother said. But still I do. I have to. What would we eat if we didn’t forage in the bowels of the beast? The Mechlords won’t catch me – I am too quick and too wily. My brood brothers and sisters think me mad, but I don’t care. They’re just scared. Too taken with the old tales. If I see one of those mechs they’ll get full steel to the face, and I’ll be off quicker than starlight."
49,11,4,TWO TRIBES 4/4,"Ship Log — Year 537, day 45

Tonight we feast. The flesh of the vanquished will be our banquet. Few remain, but those who do stand victorious. Unbroken within this tomb…this eternal prison. The Sayers will tell our legend for generations. They will tell of the Last Eaters, of how we rose from the depths of the Engine. How we claimed our throne. But tonight they will feast alongside us. And we will sing forever in the dark with a curtain of light ahead, heralding the journey to come."
50,12,1,THE LAST PEOPLE 1/4,"Warrant Officer Noonan — Personal Log 512/9

I must admit, sometimes our mission seems futile. It’s still difficult to accept that we’re the last humans in the galaxy. But who am I to argue with Command?

Details regarding the end of humanity are scarce, and discussion of it is forbidden. The rumour is there was some kind of cataclysm. Sol was the first to fall, followed by every inhabited system in the core. Plague, famine, war – it could have been anything. All I know is we’re the last vestige of humankind. And we must find a new home if our race is to survive.

Who knows what would have happened without Command. They’ve guided and protected us for hundreds of years. If I prove my worth, maybe one day they’ll ask me to join them. But for now I’m happy to serve in whatever way I can."
51,12,2,THE LAST PEOPLE 2/4,"Warrant Officer Noonan — Personal Log 576/4

Something really weird happened today. I was accompanying Admiral Kerr on a tour of the ship. Actually, it was more a case of pushing his wheelchair while he mumbled about the good old days. Everyone knows the Admiral should have been put out to pasture years ago – he’s certainly not dealing with a full deck. Anyway, he said the strangest thing.

As we were passing communications he suggested we send a progress report to Sol. I tried to explain that Sol was gone, but he was insistent. Then he seemed to clam up, as if he’d said something he shouldn’t have. He was silent for the rest of the tour.

I’m not sure whether or not to mention it to Command. Talk of Sol is forbidden you know, but I don’t want the old man to get in trouble. At his age who wouldn’t be confused?"
52,12,3,THE LAST PEOPLE 3/4,"Warrant Officer Noonan – Personal Log 612/8

The incident with Admiral Kerr really played on my mind, so I decided to do some digging. I shouldn’t have done it, I know, but I just couldn’t stop thinking about what he said. I used his Command clearance to access the ship’s archives. I almost wish I hadn’t now.

We’re not the last bastion of humanity. That was a lie. A deception designed to dupe every man, woman and child aboard the ship.

Our mission should have ended generations ago, but when the ship reached its destination the planet was found to be uninhabitable. Most people wanted to turn back, but Command wanted to continue and find a new colonisable planet. There was an uprising, which was violently brought to an end. Afterwards, they put out reports that we were the last members of the human race in an effort to keep us under control. It was all a lie.

I’m not sure what to do with this information. Would anyone even believe me if I told them?"
53,12,4,THE LAST PEOPLE 4/4,"Warrant Officer Noonan – Personal Log 625/7

I didn’t mean for things to get out of hand, but the people had a right to know the truth. I only told a few people I thought could be trusted – but it spread like wildfire. Within hours, Command was faced with an angry mob threatening mutiny and they responded with overwhelming force.

Over the last few days the ship has been engulfed in conflict. Two factions have emerged – one that wants to return to the core, and one that wants to continue with the mission.

People are dying and it’s all my fault. Why did I tell them? All I can do now is try to stop the killing, before every last person on this ship is wiped out."
54,13,1,AUTOPILOT DATALOG 345/3009,"AUTOPILOT DATALOG 345/3009

+++ FULL DIAGNOSTIC INITIATED +++
+++ ENGINES +++ SYSTEMS NORMAL +++
+++ MEDICAL +++ SYSTEMS NORMAL +++
+++ BIOSPHERE +++ SYSTEMS NORMAL +++
+++ HABITAT +++ SYSTEMS NORMAL +++
+++ LIFE SUPPORT +++ SYSTEMS FAILURE +++
+++ COMMAND +++ SYSTEMS NORMAL +++
+++ DEFAULTING TO MISSION PROTOCOLS +++"
55,13,2,AUTOPILOT DATALOG 345/3894,"AUTOPILOT DATALOG 345/3894
+++ TARGET SYSTEM DETECTED +++
+++ TRANSFERRING TO APPROACH VECTOR +++
+++ INITIATE MANUAL CONTROL AND OVERRIDE AUTOMATED PILOT +++
+++ REPEAT +++
+++ INITIATE MANUAL CONTROL AND OVERRIDE AUTOMATED PILOT +++
+++ REPEAT +++
+++ INITIATE MANUAL CONTROL AND OVERRIDE AUTOMATED PILOT +++
+++ ALERT +++
+++ AUTOMATED FLIGHT MUST BE OVERRIDDEN FOR FINAL APPROACH +++
+++ SCANNING COMMAND DECK FOR CREW +++
+++ NO CREW DETECTED +++
+++ SCANNING SHIP FOR CREW +++
+++ NO CREW DETECTED +++
+++ SCANNING SHIP FOR PASSENGERS +++
+++ NO PASSENGERS DETECTED +++"
