"id","`key`","value","`type`","environment","tag"
28,db_model_gvsites,"{""system"":{""model"":""system"",""via"":""gvsites""},""body"":{""model"":""body"",""via"":""gvsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""gvtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
29,db_model_gysites,"{""system"":{""model"":""system"",""via"":""gysites""},""body"":{""model"":""body"",""via"":""gysites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""gytype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
30,db_model_hdsites,"{""system"":{""model"":""system""},""solDistance"":{""default"":"""",""type"":""float""},""meropeDistance"":{""default"":"""",""type"":""float""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
31,db_model_lssites,"{""system"":{""model"":""system"",""via"":""lssites""},""body"":{""model"":""body"",""via"":""lssites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""lstype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
32,db_model_nhsssites,"{""system"":{""model"":""system""},""threatLevel"":{""min"":1,""max"":10,""type"":""integer""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
33,db_model_twsites,"{""system"":{""model"":""system"",""via"":""twsites""},""body"":{""model"":""body"",""via"":""twsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""twtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean"",""required"":true},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
34,db_model_tssites,"{""system"":{""model"":""system"",""via"":""tssites""},""body"":{""model"":""body"",""via"":""tssites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""status"":{""model"":""tsstatus""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""msg1Site"":{""model"":""tssite""},""msg2Site"":{""model"":""tssite""},""msg3Site"":{""model"":""tssite""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
35,db_model_alerts,"{""title"":{""default"":"""",""type"":""string"",""required"":true},""body"":{""default"":"""",""type"":""text"",""required"":true},""alertLevel"":{""default"":"""",""max"":10,""min"":1,""type"":""integer"",""required"":true},""active"":{""default"":true,""type"":""boolean""},""tldr"":{""default"":"""",""type"":""string""},""alertURL"":{""default"":"""",""type"":""string""},""alertImage"":{""default"":false,""type"":""boolean""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
36,db_model_apiupdates,"{""updateTime"":{""default"":"""",""type"":""date""},""error"":{""default"":false,""type"":""boolean""},""notes"":{""default"":"""",""type"":""text""},""updateLog"":{""default"":"""",""type"":""json""}}",object,,
37,db_model_apreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""apsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
38,db_model_aptypes,"{""type"":{""default"":"""",""unique"":true,""type"":""string"",""required"":true},""journalName"":{""default"":"""",""unique"":true,""type"":""string""},""journalID"":{""default"":"""",""type"":""integer""}}",object,,
39,db_model_bttypes,"{""type"":{""default"":"""",""unique"":true,""type"":""string"",""required"":true},""journalName"":{""default"":"""",""unique"":true,""type"":""string""},""journalID"":{""default"":"""",""type"":""integer""}}",object,,
40,db_model_clientroutes,"{""clientVersion"":{""type"":""string""},""route"":{""type"":""string""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
41,db_model_btreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""btsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
42,db_model_fgreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""fgsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
43,db_model_excludecmdrs,"{""cmdrName"":{""type"":""string""},""reason"":{""type"":""text""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
44,db_model_excludeclients,"{""version"":{""type"":""string""},""reason"":{""type"":""text""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
45,db_model_fmreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""fmsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
46,db_model_grsites,"{""system"":{""model"":""system"",""via"":""grsites""},""body"":{""model"":""body"",""via"":""grsites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""grtype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""activeGroups"":{""collection"":""gractivegroup"",""via"":""grSite"",""isVirtual"":true},""activeObelisks"":{""collection"":""gractiveobelisk"",""via"":""grSite"",""isVirtual"":true},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
47,db_model_excludeevents,"{""eventName"":{""type"":""string""},""reason"":{""type"":""text""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
48,db_model_clientreports,"{""cmdrName"":{""type"":""string""},""isBeta"":{""type"":""boolean""},""autoUpdateDisabled"":{""type"":""boolean""},""clientVersion"":{""type"":""string""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
49,db_model_axczfssreports,"{""cmdrName"":{""type"":""string""},""systemName"":{""type"":""string""},""systemAddress"":{""type"":""biginteger""},""signalName"":{""type"":""string""},""signalNameLocalised"":{""type"":""string""},""isBeta"":{""type"":""boolean""},""clientVersion"":{""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""rawJson"":{""type"":""json""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
50,db_model_gssites,"{""system"":{""model"":""system"",""via"":""gssites""},""body"":{""model"":""body"",""via"":""gssites""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""gstype""},""hasDatabank"":{""type"":""boolean""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""activeGroups"":{""collection"":""gsactivegroup"",""via"":""gsSite"",""isVirtual"":true},""activeObelisks"":{""collection"":""gsactiveobelisk"",""via"":""gsSite"",""isVirtual"":true},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
51,db_model_bmtypes,"{""type"":{""default"":"""",""unique"":true,""type"":""string"",""required"":true},""journalName"":{""default"":"""",""unique"":true,""type"":""string""},""journalID"":{""default"":"""",""type"":""integer""}}",object,,
52,db_model_excludecodices,"{""codexName"":{""type"":""string""},""reason"":{""type"":""text""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
53,db_model_bmreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""bmsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
54,db_model_fgtypes,"{""type"":{""default"":"""",""unique"":true,""type"":""string"",""required"":true},""journalName"":{""default"":"""",""unique"":true,""type"":""string""},""journalID"":{""default"":"""",""type"":""integer""}}",object,,
55,db_model_cstypes,"{""type"":{""default"":"""",""unique"":true,""type"":""string"",""required"":true},""journalName"":{""default"":"""",""unique"":true,""type"":""string""},""journalID"":{""default"":"""",""type"":""integer""}}",object,,
56,db_model_csreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string""},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""cssite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
57,db_model_excludeusses,"{""ussType"":{""type"":""string""},""reason"":{""type"":""text""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
