id,systemName,region
100,ARIES DARK REGION PY-R B4-1,18
101,ARIES DARK REGION VT-R B4-0,
102,ARIETIS SECTOR FG-X B1-2,
103,ARIETIS SECTOR ZE-A D75,18
104,ARIETIS SECTOR ZF-W B2-3,
105,ARMSTRONG,18
106,ASSAIPY LD-K D8-71,
107,ATHAIR YO-I D9-272,
108,ATHENA,18
109,AUCOKS HC-U B33-0,18
110,AUCOKS JI-E A25-2,18
111,AUCOKS NP-A C3-0,18
112,AUCOKS UR-N C22-0,18
113,AUCOPP ES-H D11-2,18
114,AUNAIR EG-Y E252,2
115,AUPHAIBS EN-M C10-7,24
116,AUPHAIRSTS DX-A D1-74,24
117,AUPHAIRSTS PA-T B37-0,24
118,AUSANTUATEL,18
119,BALIE,18
120,BANKI,18
121,BARATI,18
122,BATZ,18
123,BAULOO LX-U E2-17,
124,BD-10 1848,34
125,BD-11 4932,18
126,BD-12 1172,18
127,BD+38 2037,18
128,BD+47 2936,18
129,BD+55 191,
130,BD+60 456,18
131,BD+65 210,
132,BELAAKO,18
133,BETA HYDRI,18
134,BHOTHO,18
135,BLA PHROEA HS-H D11-0,32
136,BLA PHROEA TK-C D14-0,32
137,BLAA BYIO VI-T D3-3,24
138,BLAA EAEC NL-L C9-136,
139,BLAA EAEC UE-I B55-6,9
140,BLAA EOP JL-D C13-0,
141,BLAA FLYAO EA-M C9-2,13
142,BLAA FLYI ON-B B27-0,13
143,BLAA HYPAI CQ-X D1-21,10
144,BLAA HYPAI CZ-D C13-0,10
145,BLAA HYPAI DD-I B26-0,
146,BLAA HYPAI DZ-D C13-1,
147,BLAA HYPAI EU-D C13-0,
148,BLAA HYPAI GG-V C3-4,10
149,BLAA HYPAI HW-V D2-6,10
150,BLAA HYPAI HY-H B26-1,10
151,BLAA HYPAI KT-Y B17-1,10
152,BLAA HYPAI LZ-F B27-0,10
153,BLAA HYPAI OZ-O D6-16,10
154,BLAA HYPAI UO-L B10-1,10
155,BLAA HYPAI XR-I B26-0,10
156,BLAA PHOE AA-A G2,9
157,BLAA PHOE GM-B C27-55,5
158,BLAA PHOE HP-J C24-151,5
159,BLAA PHOE HW-D D12-156,5
160,BLAA PHOE IA-M B38-12,5
161,BLAA PHOE LO-X C28-18,5
162,BLAA PHOE MN-E B53-11,5
163,BLAA PHOE NZ-Z C33,9
164,BLAA PHOE OR-V D2-174,9
165,BLAA PHOE QK-D D13-553,5
166,BLAA PHOE RE-E B55-16,5
167,BLAA PHOE RY-P B7-8,9
168,BLAA PHOE TI-B C29-242,5
169,BLAA PHOE VG-O B51-19,5
170,BLAA PHOE XO-Q D5-241,9
171,BLAA PHOE YK-G B27-10,9
172,BLAA PHOE YR-O C21-23,5
173,BLAE DRYE DC-L C24-25,18
174,BLAE DRYE DF-I B57-6,
175,BLAE DRYE KZ-A C16-21,18
176,BLAE DRYE PE-E D13-6,18
177,BLAE DRYE PP-A C29-7,18
178,BLAE DRYE QZ-D D13-103,18
179,BLAE DRYE RZ-O B38-0,
180,BLAE DRYE SM-Y B58-0,18
181,BLAE DRYE TK-C D14-37,18
182,BLAE DRYE VM-G B58-13,18
183,BLAE DRYE WU-O E6-3,18
184,BLAE DRYE XU-O E6-22,18
185,BLAE DRYE YV-B D14-25,18
186,BLAE DRYE ZK-M D8-78,18
187,BLAE DRYEIA BW-C D1,18
188,BLAE DRYEIA PI-B E0,18
189,BLAE EORK IF-G C27-13,
190,BLAE EORK NE-E D13-25,35
191,BLAE EORK QU-D D13-3,
192,BLAE EORK RK-C D14-15,
193,BLAE EORK RU-D D13-17,
194,BLAE EORK RU-D D13-20,35
195,BLAE EORK UL-J B56-1,
196,BLAE HYPUE NP-A B17-0,
197,BLAE HYPUE SW-E B28-1,
198,BLAEA BRAI XN-B C13-9,25
199,BLANCO 1 SECTOR GW-T B4-0,18
200,BLANCO 1 SECTOR TU-N C7-2,
201,BLANCO 1 SECTOR TZ-U B4-0,18
202,BLAU AUSCS SD-Y C2-0,13
203,BLAU BROAE BC-D D12-59,24
204,BLAU THUA QH-Z C2-0,18
205,BLAU THUA SC-Z C2-0,18
206,BLEA AIRGH IH-M D7-0,39
207,BLEA AIRGH LO-O C20-0,39
208,BLEAE AEWSY GV-X D1-27,9
209,BLEAE AEWSY IF-R D4-14,10
210,BLEAE AEWSY LE-M B10-1,9
211,BLEAE BRIAE EC-D D12-49,24
212,BLEAE BRIAE HX-L D7-100,24
213,BLEAE EURK FG-Y G2,18
214,BLEAE THAA NZ-C C1-0,18
215,BLEAE THUA AI-T B58-1,18
216,BLEAE THUA BI-D C12-5,18
217,BLEAE THUA CA-L C10-1,18
218,BLEAE THUA HK-Z D5,18
219,BLEAE THUA HL-E B13-1,18
220,BLEAE THUA ME-U B44-0,18
221,BLEAE THUA ML-N C20-20,18
222,BLEAE THUA NZ-G B55-0,18
223,BLEAE THUA US-J C22-12,
224,BLEAE THUA VW-N C6-13,18
225,BLEAE THUA XF-A C15,18
226,BLEAE THUA XY-S D3-41,18
227,BLEAE THUA ZW-A C27-15,18
228,BLEETHAI FB-X E1-778,7
229,BLEETHOAE CM-C D13-208,
230,BLEETHU TY-W C16-4,6
231,BLEETHUAE CC-B C1-229,7
232,BLEETHUAE JS-B D150,7
233,BLEETHUAE KK-L C9-9,7
234,BLEETHUAE LN-B D1183,7
235,BLEETHUAE MN-B D1365,7
236,BLEETHUAE NI-B D674,7
237,BLEETHUAE PF-U C4-14,7
238,BLEETHUAE TK-D C4,7
239,BLEETHUAE WU-V C3-42,7
240,BLEETHUAE XV-C C285,7
241,BLEETHUE FG-Y F17,
242,BLEETHUE MW-W D1-120,
243,BLEETHUE PH-V D2-65,
244,BLEIA BYOE CQ-X C1-1,24
245,BLEIA DRYIAE AC-S D5-114,18
246,BLEIA DRYIAE BN-R B38-14,18
247,BLEIA DRYIAE EK-C D14-102,18
248,BLEIA DRYIAE EK-C D14-18,18
249,BLEIA DRYIAE EO-W B35-0,18
250,BLEIA DRYIAE ET-F D12-169,18
251,BLEIA DRYIAE HN-S E4-37,18
252,BLEIA DRYIAE IH-K C25-36,18
253,BLEIA DRYIAE II-I C26-20,18
254,BLEIA DRYIAE IN-Q D6-100,18
255,BLEIA DRYIAE IR-L C24-52,18
256,BLEIA DRYIAE MA-M B54-8,
257,BLEIA DRYIAE NF-C D14-89,18
258,BLEIA DRYIAE RD-E C1-11,18
259,BLEIA DRYIAE UP-F B44-1,
260,BLEIA DRYIAE WF-L D9-176,18
261,BLEIA DRYIAE ZQ-E B59-8,18
262,BLEIA EOHN HT-O D7-56,
263,BLEIA EOHN JW-O B12-3,
264,BLEIA EOHN LB-G B58-6,18
265,BLEIA EOHN LM-Y C3-13,18
266,BLEIA EOHN LO-T B9-3,18
267,BLEIA EOHN SR-Y B58-0,18
268,BLEIA EOHN TK-C C27-0,18
269,BLEIA EOHN VR-W C4-0,18
270,BLEIA EOHN YP-K C23-2,18
271,BLEIA FLYUAE KZ-F C11-1,13
272,BLEIA HYPAI QF-D D13-71,10
273,BLIE AICK BA-A G0,32
274,BLIE AICK LR-W E1-3,32
275,BLIE AICK VA-Z C11,32
276,BLIE PHLA VP-B C28-2,32
277,BLO AESCS KN-S E4-361,9
278,BLO AESCS RR-U C19-18,9
279,BLO AESCS UL-L B41-1,
280,BLO AESCS YY-A D80,
281,BLO AIRM CB-W E2-0,5
282,BLODES,18
283,BLU EUQ BM-C D13-24,
284,BLU EUQ IP-K B10-0,18
285,BLU THUA AE-T B3-5,18
286,BLU THUA AI-A C14-10,18
287,BLU THUA BR-U C16-0,18
288,BLU THUA DR-N D6-113,
289,BLU THUA EM-K B22-2,18
290,BLU THUA EW-T B17-5,18
291,BLU THUA GB-O C6-9,18
292,BLU THUA GI-B B55-2,18
293,BLU THUA HR-N D6-60,18
294,BLU THUA JS-M B35-2,18
295,BLU THUA KF-K B36-1,18
296,BLU THUA LF-M C21-11,18
297,BLU THUA MA-W B29-3,18
298,BLU THUA NL-F B11-5,18
299,BLU THUA NN-J B9-2,18
300,BLU THUA OO-X D2-1,18
301,BLU THUA TS-X C28-6,18
302,BLUA EAEC AG-X E1-2095,9
303,BLUA EAEC AN-E C14-357,9
304,BLUA EAEC AN-E C14-41,9
305,BLUA EAEC BX-G C12-26,9
306,BLUA EAEC EW-V E2-3175,9
307,BLUA EAEC EW-V E2-3617,9
308,BLUA EAEC EW-V E2-4218,9
309,BLUA EAEC IC-U E3-902,9
310,BLUA EAEC KT-F D12-830,9
311,BLUA EAEC LD-Q D6-1538,9
312,BLUA EAEC LK-W B6-21,9
313,BLUA EAEC MM-M C23-188,9
314,BLUA EAEC PJ-O D7-1262,9
315,BLUA EAEC ST-Y D1-517,9
316,BLUA EAEC WG-G C13-307,9
317,BLUA EAEC ZE-A G29,9
318,BLUA EOQ NB-X C4-11,35
319,BLUA HYPA JI-Z B47-145,
320,BLUA HYPUE JX-R D5-242,9
321,BLUA HYPUE MU-N D7-557,9
322,BLUA HYPUE OF-E D12-87,9
323,BLUA HYPUE OV-C D13-210,9
324,BLUDGUIA EE-K C8-0,
325,BLUDGUIA IG-Y D16,31
326,BLUE PHROEA EK-C D14-0,32
327,BLUE PHROEA EY-G D11-0,32
328,BOEFT FW-T D4-2581,
329,BOEFT FW-T D4-815,
330,BOEKH UM-O C8-64,9
331,BOELTS DY-I B4,9
332,BOELTS YK-X E1-626,9
333,BOELTS ZH-U C19-468,9
334,BOEPH FU-B C2-8,9
335,BOEPH TT-H D10-1451,9
336,BOEPP XA-D D13-2289,5
337,BOEPP XA-D D13-2791,5
338,BOEPP ZK-O E6-226,
339,BOEPPY XZ-X D1-13,16
340,BOERTH BT-Q B9-47,5
341,BOERTH DX-P C20-13,5
342,BOERTH EL-M C8-152,5
343,BOERTH FA-X C2-134,5
344,BOERTH FN-H D11-3298,5
345,BOETZ TL-U B20-0,16
346,BOEWNST CB-W C18-748,9
347,BOEWNST CT-F D12-2430,9
348,BOEWNST CV-P D5-631,5
349,BOEWNST DH-U E3-8179,9
350,BOEWNST EM-E B2-34,5
351,BOEWNST ES-H B43-30,9
352,BOEWNST FO-F D12-4094,9
353,BOEWNST GM-U C19-2109,9
354,BOEWNST HN-S E4-325,
355,BOEWNST JS-J C25-1327,9
356,BOEWNST KJ-O D7-2934,9
357,BOEWNST KS-S C20-959,9
358,BOEWNST KS-S C20-969,9
359,BOEWNST LO-Z B4-20,5
360,BOEWNST LU-D D13-5628,9
361,BOEWNST LU-M D8-3748,9
362,BOEWNST MC-L C24-418,9
363,BOEWNST MN-S C20-117,9
364,BOEWNST NE-O D7-1394,9
365,BOEWNST NG-G C13-2,9
366,BOEWNST OA-L D9-1285,9
367,BOEWNST OA-L D9-3853,9
368,BOEWNST OA-L D9-4513,9
369,BOEWNST PA-L D9-4002,9
370,BOEWNST PT-Q C21-905,9
371,BOEWNST RE-G C27-1075,9
372,BOEWNST RL-J D10-1594,9
373,BOEWNST SG-J D10-4272,9
374,BOEWNST SJ-P C22-1176,9
375,BOEWNST SV-B D14-928,9
376,BOEWNST TG-J D10-1066,
377,BOEWNST TG-J D10-1093,9
378,BOEWNST TG-J D10-488,9
379,BOEWNST TG-J D10-5134,9
380,BOEWNST TZ-M B40-241,9
381,BOEWNST WK-L C9-4,5
382,BOEWNST ZF-E C12-104,5
383,BOEWNST ZJ-R D4-26,5
384,BOEWNST ZT-Z D604,5
385,BOK,
386,BRAIREE YJ-A F4625,3
387,BRESTLA,
388,BUBBLE SECTOR LX-T B3-1,
389,BUZHANG KU,18
390,BYA AIL TY-S E3-276,16
391,BYA CHRAEA GR-W D1-23,26
392,BYAA AIN QA-J C11-144,5
393,BYAA AIN YO-Z D1902,5
394,BYAA AIN YP-V D3-295,5
395,BYAA AIN YP-V D3-654,5
396,BYAA BROAE VY-S C3-2,24
397,BYAA FLEE MT-N C21-0,
398,BYAA THEIA WO-R E4-3,18
399,BYAE AIRG EE-B C39,16
400,BYAE AOWSY GR-N D6-52,
401,BYEIA AIN PA-F B25-51,
402,BYEIA BRE OD-T D3-42,24
403,BYEIA CHREA OG-B B27-7,24
404,BYEIA CHREA OQ-R C6-2,24
405,BYEIA EUQ OG-Y D221,18
406,BYEIA EUQ SF-W C15-30,18
407,BYEIA EUR BA-A G3,19
408,BYEIA EURK AS-J C22-43,18
409,BYEIA EURK BF-R E4-32,18
410,BYEIA EURK BF-R E4-7,18
411,BYEIA EURK BF-R E4-8,18
412,BYEIA EURK BF-R E4-9,18
413,BYEIA EURK DC-J B24-1,18
414,BYEIA EURK EF-A E18,18
415,BYEIA EURK FB-A C34,18
416,BYEIA EURK HA-A E17,18
417,BYEIA EURK IP-X C2-2,18
418,BYEIA EURK JH-Y C23,18
419,BYEIA EURK JJ-M B10-0,18
420,BYEIA EURK KK-A D21,18
421,BYEIA EURK KR-W E1-14,18
422,BYEIA EURK LM-O B38-0,18
423,BYEIA EURK OA-A D275,18
424,BYEIA EURK RS-S D4-8,18
425,BYEIA EURK UJ-Z B33-0,18
426,BYEIA EURK UN-S D4-4,18
427,BYEIA EURK VH-W B43-9,
428,BYEIA FREE WR-W B56-0,13
429,BYEIA TRAA BD-C C13-0,18
430,BYEIA TRAA EQ-W C15-0,18
431,BYEIA TRAA KH-M D7-1,18
432,BYEIA TRAA KQ-P D5-3,18
433,BYOI AIN EH-P B47-105,5
434,BYOI AIN HW-W F1-210,5
435,BYOI AIN NJ-K B50-35,5
436,BYOI AIN UW-J C22-992,9
437,BYOI AIN WE-R E4-913,9
438,BYOI AIP VA-E D12-143,5
439,BYOI AUSCS ZI-D C14-0,13
440,BYOI EURK HZ-E B26-0,18
441,BYOI EURK JC-B B15-1,18
442,BYOI EURK VV-C C26-18,17
443,BYOI THUA BU-R D4-32,
444,BYOI THUA FY-F D12-0,
445,BYOI THUA JI-J D9-9,
446,BYOO BRE KS-S D4-0,
447,BYOOE CHRAEA JL-P D5-1,
448,BYOOMAO BV-G C13-2525,1
449,BYOOMAO FU-G C27-300,1
450,BYOOMAO KV-E C28-5973,1
451,BYOOMAO LD-H D11-431,1
452,BYOOMAO WX-T C19-4064,1
453,BYOOMAO WX-T C19-7496,1
454,BYOOMAO XJ-I C12-5055,1
455,BYOOMEAE NY-R E4-4985,2
456,BYOOMI LT-O D7-4801,1
457,BYUA AIM HY-F D12-1322,
458,BYUA AIM MX-K D8-4056,
459,BYUA AIM TE-W C16-130,
460,BYUA AOWSY YR-W C1-1,13
461,BYUA AUB CA-A E0,13
462,BYUA AUB UE-R C4-1,13
463,BYUA AUB WO-K B36-0,13
464,BYUA CHREA RI-S D4-28,24
465,BYUA EUQ AH-A C15-1,18
466,BYUA EUQ BQ-G D10-321,18
467,BYUA EUQ CX-O B8-2,18
468,BYUA EUQ DV-N B7-8,18
469,BYUA EUQ EG-Y E41,18
470,BYUA EUQ GW-E D11-333,18
471,BYUA EUQ KQ-P D5-70,18
472,BYUA EUQ RD-K D8-53,18
473,BYUDGAEA JV-X C14-0,
474,CALIFORNIA SECTOR BA-A E6,18
475,CALIFORNIA SECTOR DL-Y D2,18
476,CALIFORNIA SECTOR DL-Y D25,18
477,CALIFORNIA SECTOR DL-Y D4,
478,CALIFORNIA SECTOR EB-X C1-4,
479,CALIFORNIA SECTOR HR-W D1-28,
480,CALIFORNIA SECTOR JH-V C2-12,
481,CALIFORNIA SECTOR LC-V C2-10,
482,CAMAITSOGO,
483,CAT'S PAW SECTOR FW-W D1-138,18
484,CAT'S PAW SECTOR HR-W D1-240,18
485,CAT'S PAW SECTOR LS-T B3-5,18
486,CAT'S PAW SECTOR SY-R B4-10,18
487,CAUAN TZU,18
488,CAVE SECTOR FB-X C1-3,
489,CAVE SECTOR JH-V C2-8,
490,CAVE SECTOR PN-T C3-2,18
491,CD-24 13810,18
492,CD-24 13823D,18
493,CD-24 13844,18
494,CD-26 1339,18
495,CD-39 6137,18
496,CD-41 11037,
497,CD-51 10820,10
498,CD-58 4207,18
499,CEECKAEA JT-B C16-0,40
500,CEECKAEA UL-J D10-1,40
501,CEECKAEA UU-I C12-1,40
502,CEECKIA CC-K C25-0,40
503,CEECKIA LD-F B45-0,40
504,CEECKIA OO-X D2-6,40
505,CEECKIA RA-U D4-1,40
506,CEECKIA WV-L C24-0,40
507,CEECKIA YM-H D11-0,40
508,CEECKIA YQ-L C24-0,40
509,CENNICENINO,18
510,CEPHEI SECTOR EG-Y C13,18
511,CEPHEI SECTOR NX-U B2-0,
512,CETI SECTOR YJ-A C15,18
513,CHAEA THAA EV-G D10-0,
514,CHAEA THUA ZP-F C11-1,
515,CHALOA UU-X D1-0,18
516,CHALUIA EK-B C15-0,18
517,CHARICK DRIFT,18
518,CHEAE EUQ ER-L C21-0,40
519,CHEIA DRYE HK-G C27-0,40
520,CHEIA EOHN AQ-V D3-2,24
521,CHEIA EOHN AW-T D4-5,24
522,CHEIA EOHN PL-W C18-0,40
523,CHEIA EOHN VP-N C23-0,40
524,CHI HERCULIS,
525,CHI HYDRAE,18
526,CHI PERSEI SECTOR ES-J D9-4,
527,CHI PERSEI SECTOR IX-S D4-57,
528,CHI PERSEI SECTOR MD-R D5-21,
529,CHO EUR OM-W D1-15,
530,CHO THUA AH-K B22-0,24
531,CHO THUA BP-Z C13-2,24
532,CHO THUA DO-G C24-0,24
533,CHO THUA JL-Y C0,24
534,CHO THUA LM-W D1-17,24
535,CHO THUA PJ-P B19-0,24
536,CHO THUA UK-W C15-0,24
537,CHO THUA VP-G D10-3,24
538,CHO THUA YQ-U C16-1,24
539,CHOKI,18
540,CHONA,18
541,CHRAISAO FF-A D12,
542,CHRAISOAE HC-M D7-14,
543,CHRAISOU AK-R D4-41,
544,CHRAISUAE NF-Q C5-1,
545,CHRAISUAE UD-T D3-1,
546,CHRAUFAO AX-R C18-9,18
547,CHRAUFAO IF-R D4-103,18
548,CHRAUFAO IG-U C17-3,18
549,CHRAUFAO KL-P D5-12,18
550,CHRAUFAO MP-M D8-4,18
551,CHRAUFAO OS-J C9-4,18
552,CHRAUFAO PZ-C B15-0,18
553,CHRAUFAO RN-T D3-14,18
554,CHRAUFAO RX-L B21-2,18
555,CHRAUFAO RX-L B21-3,18
556,CHRAUFAO RX-L D7-2,18
557,CHRAUFAO RX-L D7-36,18
558,CHRAUFAO RX-L D7-4,18
559,CHRAUFAO RX-L D7-8,18
560,CHRAUFAO RX-L D7-98,18
561,CHRAUFAO SY-R D4-1,18
562,CHRAUFAO VB-U B30-6,18
563,CHRAUFAO VJ-Y D1-0,18
564,CHRAUFAO ZO-R C20-1,18
565,CHREETAA PP-B B0,25
566,CHUA DRYIAE NE-C C2-0,40
567,CHUA DRYIAE OS-W C4-0,40
568,CHUA EOP ZC-T C20-0,24
569,CL PISMIS 17,18
570,CL PISMIS 19,18
571,CL PISMIS 3,18
572,CLEEQAI HQ-Y D2901,2
573,CLIEWOAE RZ-D D13-0,24
574,CLOOKEOU AK-B B58-11,10
575,CLOOKEOU CH-B D14-147,10
576,CLOOKEOU LN-B C29-19,10
577,CLOOKEOU NE-D B56-4,10
578,CLOOKEOU RF-D D13-84,10
579,CLOOKEOU UT-I C25-22,10
580,CLOOKEOU VL-B D14-114,
581,CLOOKEOU VL-B D14-121,
582,CLOOKOU TS-S D4-45,17
583,CLOOKOU XE-Z D16,17
584,CLOOKU AL-G B56-16,9
585,CLOOKU BA-A G30,9
586,CLOOKU BC-O C9-252,9
587,CLOOKU CL-A C3-1151,9
588,CLOOKU CL-A C3-80,9
589,CLOOKU DI-V B22-105,9
590,CLOOKU DX-I D10-255,9
591,CLOOKU EW-Y C3-197,9
592,CLOOKU FH-S D5-2026,9
593,CLOOKU GH-V F2-3228,
594,CLOOKU HJ-L B14-111,9
595,CLOOKU ID-O B25-7,9
596,CLOOKU IH-S D5-134,9
597,CLOOKU KF-Y C17-1298,9
598,CLOOKU KM-L D8-274,9
599,CLOOKU KO-P B39-117,9
600,CLOOKU LN-X B7-124,9
601,CLOOKU MC-V E2-412,9
602,CLOOKU ME-G B44-98,9
603,CLOOKU MM-C D43,9
604,CLOOKU OY-V B8-125,9
605,CLOOKU PN-J D9-12,9
606,CLOOKU RB-N C23-206,9
607,CLOOKU RJ-T C6-562,9
608,CLOOKU RM-M C23-223,9
609,CLOOKU SI-B E544,9
610,CLOOKU UK-S B10-67,9
611,CLOOKU UP-J C24-226,9
612,CLOOKU UZ-E D12-45,9
613,CLOOKU WU-V D3-754,9
614,CLOOKU WZ-M B12-26,9
615,CLOOKU XQ-Q B11-176,9
616,CLOOKU YC-V B22-53,9
617,CLOOKU YJ-Z E313,9
618,CLOOKU ZE-E B4-111,9
619,CLOOKUIA AW-V B16-0,10
620,CLOOKUIA FX-S C17-0,10
621,CLOOKUIA IZ-L B35-0,10
622,CLOOKUIA LT-T C3-3,10
623,CLOOKUIA MI-K D8-2,
624,CLOOKUIA OI-K D8-8,
625,CLOTA,
626,COALSACK DARK REGION YJ-A D57,
627,COALSACK SECTOR MC-V C2-22,18
628,COALSACK SECTOR TO-R C4-9,18
629,COELACHI,18
630,COFAN,18
631,COJUIA WL-J D10-1,18
632,COL 107 SECTOR FB-W D2-11,34
633,COL 132 SECTOR GH-V E2-13,
634,COL 132 SECTOR IN-S D4-64,
635,COL 132 SECTOR LJ-O B36-3,
636,COL 132 SECTOR NL-W B18-0,18
637,COL 132 SECTOR NT-Q D5-51,
638,COL 132 SECTOR OU-H B26-3,18
639,COL 132 SECTOR PN-H C11-21,18
640,COL 132 SECTOR UB-R C19-5,
641,COL 132 SECTOR WD-N B9-1,
642,COL 135 SECTOR BC-K B9-0,
643,COL 135 SECTOR DL-N B7-0,
644,COL 135 SECTOR FR-V C2-19,
645,COL 135 SECTOR LC-V D2-62,
646,COL 135 SECTOR RA-D B13-4,
647,COL 135 SECTOR RO-Q C5-5,
648,COL 135 SECTOR RO-Q C5-7,
649,COL 135 SECTOR TU-O C6-15,
650,COL 135 SECTOR TU-O C6-8,
651,COL 135 SECTOR UU-O C6-2,
652,COL 140 SECTOR IH-V D2-44,
653,COL 173 SECTOR AB-N D7-34,
654,COL 173 SECTOR AI-H C11-22,
655,COL 173 SECTOR AP-Q B21-2,
656,COL 173 SECTOR AR-S C18-5,18
657,COL 173 SECTOR AU-Y B30-2,
658,COL 173 SECTOR AV-N B23-5,
659,COL 173 SECTOR AY-F B28-9,18
660,COL 173 SECTOR AY-F C12-0,
661,COL 173 SECTOR AY-J B38-1,
662,COL 173 SECTOR BH-K B25-8,
663,COL 173 SECTOR BH-L D8-72,18
664,COL 173 SECTOR BN-Y C15-3,
665,COL 173 SECTOR BO-F C12-24,
666,COL 173 SECTOR BV-M B24-10,18
667,COL 173 SECTOR BV-M B24-7,18
668,COL 173 SECTOR BV-O D6-55,
669,COL 173 SECTOR BX-I C10-7,
670,COL 173 SECTOR BY-W C16-4,18
671,COL 173 SECTOR CB-V D3-48,18
672,COL 173 SECTOR CC-K B25-8,
673,COL 173 SECTOR CC-R C19-3,
674,COL 173 SECTOR CG-M B24-8,
675,COL 173 SECTOR CH-L D8-14,
676,COL 173 SECTOR CI-Y C15-1,
677,COL 173 SECTOR CZ-C C14-15,18
678,COL 173 SECTOR CZ-H B39-1,
679,COL 173 SECTOR CZ-H B39-2,
680,COL 173 SECTOR DE-R B34-1,18
681,COL 173 SECTOR DG-M B24-4,
682,COL 173 SECTOR DG-M B24-5,
683,COL 173 SECTOR DH-A C15-18,
684,COL 173 SECTOR DH-K B25-2,
685,COL 173 SECTOR DK-Y B30-2,
686,COL 173 SECTOR DM-U D3-82,
687,COL 173 SECTOR DO-F C12-4,
688,COL 173 SECTOR DZ-D C13-2,
689,COL 173 SECTOR EC-K B25-0,
690,COL 173 SECTOR EC-L D8-54,
691,COL 173 SECTOR ED-G C12-13,18
692,COL 173 SECTOR ED-G C12-2,18
693,COL 173 SECTOR ED-G C12-3,18
694,COL 173 SECTOR ED-G C12-4,18
695,COL 173 SECTOR ED-G C12-9,18
696,COL 173 SECTOR EG-L C9-14,18
697,COL 173 SECTOR EM-L D8-2,18
698,COL 173 SECTOR EM-L D8-27,
699,COL 173 SECTOR EM-L D8-60,
700,COL 173 SECTOR EM-L D8-69,
701,COL 173 SECTOR ET-W C16-12,18
