id,cmdrName
151,Fwapa'Durp
152,G_Bison
153,g1t
154,Gal Black
155,Galactic Fork
156,GargoyleBG
157,gauntl3t_83
158,Gazer__
159,Geovanny
160,Gideon Adama
161,GojiraSamurai
162,GoukaMekkyaku
163,graememk
164,GralAntilles
165,Greenie_4711
166,Gregor Mendel
167,GreyingWorm
168,Greytalon
169,Grimelinho
170,Grimscrub
171,Grumpy520
172,GrunT_Th3_DoC
173,grypos
174,Gul.duKat
175,GURU-951
176,Halfdan Helgrim
177,HAN CHOCO
178,Hansa
179,HattoriHanzo7
180,helaeon
181,Howard P. Ripley
182,Hudiny
183,HunabKU
184,HunterMJP91
185,Hyperion-993
186,iamF1
187,Ian Doncaster
188,ichigobankai09
189,InfiniteDreamer
190,Insane Golgotha
191,Inticus
192,IrI Explor
193,irimi28
194,Ishmair
195,Iureka
196,jacob99
197,Jacques d'Orleans
198,Jamie Rush
199,JavLara
200,Jay Knights
201,Jaykay
202,Jeet Klo
203,Jimbot70
204,Jinx Chrome
205,John Allbright
206,John de Mauzentia
207,JohnTAss
208,Jon Cameron
209,Jonuss
210,joulupunikki
211,Kahea
212,kal_adar
213,Kataclysim
214,Kayahr
215,Kaz Archer
216,Kerevan
217,kkjensen
218,Klumpozyte
219,Kraykray
220,Kriellya
221,KroipyBill
222,Kuba Wolf
223,Kuretes
224,KvaNTy
225,Kysan Tate
226,Lacesz67
227,Lachann
228,Lain Brigands
229,Landphilz
230,Landslyde
231,Larzok82
232,LCU No Fool Like One
233,LEG3NDsx
234,Lemonjai
235,Leo Jaleo
236,Lex Fernetti
237,Lexic Meise
238,LivewareCascade
239,LordTyvin
240,Lucius Questor
241,Lucius-Darcia
242,Luvtospoodge
243,Lybra
244,Lydia of the Void
245,Lysergian157
246,Madd0x
247,MadDavo
248,Madproforg
249,MadRaptor
250,Mageinta Warrior
251,Mahlergreen
252,Maiq The Liar
253,majesticspace
254,Malic
255,Maligno
256,MAPUDAN
257,Mar Carvee
258,Mar.Meow
259,Marcus Seldon
260,Markospliff
261,Martind Forlon
262,Marvin871PL
263,Mat2596
264,Mazrix
265,McNicholl
266,MeanderingBeing
267,MegaLeverage
268,MeisterDite
269,Mengy
270,Metroid
271,mGtRd
272,Mic Steele
273,Michael Werle
274,Midnight Ninja
275,Mighty BOB
276,Mikhram
277,mimionline700
278,Mirakosh Skyrider
279,Mist0
280,Misterbowwow
281,Mjr Brownstains
282,ModishNouns
283,Molan Ryke
284,Moleculor
285,Monain
286,Morality Gnashes
287,Mordagen
288,mordagen2
289,MrRayben123
290,MuggleMarc
291,Murfin
292,Mursac
293,Mykl Atrum
294,MYO_Trav
295,Myshka
296,Namix
297,NanoExplorer
298,Necer
299,Nemac
300,Nemaroth
301,Nexald
302,Nexusprime
303,NinjaDragon80
304,Nishi
305,Nivell
306,NLE - Captain Song
307,Node_
308,Nolanus Raven
309,NomadRomeo
310,NSR2
311,Nstor1
312,Nwonknu
313,Nyanide
314,Oberdofer
315,Octofox
316,Odr
317,odyss3y
318,Oida Voda
319,olik98
320,Olthuis
321,OneRik
322,Orion Prime
323,Orskaa
324,OverloadRJ45
325,OverSavior
326,Ozric
327,P-R-TRIDGE
328,Panhyper
329,PanPiper
330,Partyboyky101
331,Petey4335
332,Petrenus
333,PhoenixBlue0
334,Phrausted
335,PilotPirx
336,Plutonicfever
337,Poe Fn Dameron
338,Pryypryy
339,Psykocow
340,pSyren Farseer
341,PwnLuc Jicard
342,Quake Matt
343,Quish Stormbringer
344,Quorrix Roon
345,R-Sassman
346,Raiss
347,Raj Matheo
348,Ramluil
349,rbarba
350,Redden Alt-Mer
351,RedEarth
352,REpowerplay
353,Rex Slacker
354,Rhaider
355,Richius Vantran
356,Rigel Kent
357,Rikske
358,Rixat
359,Robbie
360,Rocky83
361,Roehl Debruys
362,Rohit Kudatarkar
363,Rollo Rhadium
364,Ronin the Second
365,RoninRage
366,Rory Clague
367,RualStorge
368,Russet Eveningshine
369,Saint Jimmy
370,sashgorokhov
371,Scabflake
372,Schleichmichel
373,Scotty Ryke
374,Scrotiecraptaco
375,Seamus Donohue
376,Sean Bannon
377,Seba312
378,Sgt.Glory
379,ShadowCobra
380,SharkBiscuit
381,Sharky
382,Shaye
383,Sheehy
384,SHINIGAMI
385,Shoja
386,Shoryuken
387,Simi2
388,Sin-rG
389,Sinister Hedgehog
390,Sleep Runner
391,Sludge Factory
392,Smootherson
393,Snipe Star
394,Solanix
395,Space Telemarketer
396,SPIDD
397,Spike.K
398,Spock Oddsocks
399,Squid509
400,Stamrehn
401,Starry
402,Stefanos
403,Steve Arthur
404,Steyla
405,Strix Struma
406,Stulli
407,Styx67
408,Sundevil
409,Sunshine SunBurst
410,Surdra
411,Survivor-VT111
412,Sutek
413,SWiFT ViiZIONS
414,Syleo
415,Taen
416,Tagom
417,Tagomm
418,TALLTIMZ1
419,Targrad
420,Tarkumi
421,Taykillz
422,Tear This Ship Apart
423,Teronis1746
424,Tharrn
425,Thatchinho
426,The Presence
427,TheOriginalBastard
428,Thepher
429,Thepirateorc
430,TheProRockPL
431,Thomas Kavendish
432,Thorberg Shavestroke
433,Thorinbur
434,Thunder Finder
435,Thunktone
436,timjt
437,Tom_Foolery
438,Tomcati
439,tomparkes1993
440,Tumama
441,Turthalion
442,Tuuhea Takasumu
443,Tuvok
444,uggi75
445,Unknown
446,Unknown Zombie
447,Unknown-Entity
448,ussnumbnuts100
449,Vaelel
450,Valcor_
451,Vall
452,vallor
453,Vallysa
454,Valyrin
455,Varigor
456,Varonica
457,VELA1
458,Venacz
459,Vik!ngSail
460,Violet Gaming
461,Violet Lightwave
462,Vynni
463,Wanakamura
464,waterlubber
465,Wehdaphakawi
466,Whatismyname
467,Wheity
468,William J Smith
469,Winna09
470,Wizard Motor
471,Wizzanker
472,Worsel of Velantia
473,wrah
474,X1R0
475,Xed
476,Xenia_K
477,Xianos
478,xNicoyax
479,Yellow Belly' McGee
480,Yimm
481,ykanello
482,Yothiel
483,Yupster2501
484,Yure
485,Zantetzou
486,Zebadiah John Carter
487,Zebarmy
488,Zed
489,Zenith
490,Zenith Ddraiglas
491,Zennil
492,Zero Shift
493,Zev Woundurlust
494,Zieman
495,Zorbaq
496,Zoy
497,ZTiK
498,Zuxn
499,Zverochert
500,zzz_Unknown
