id,type,controller,action,enabled,policy,role
93,application,grobeliskgroup,count,1,,1
94,application,grobeliskgroup,count,1,,2
95,application,grobeliskgroup,count,1,,3
96,application,grobeliskgroup,count,1,,4
97,application,grobeliskgroupreport,count,1,,1
98,application,grobeliskgroupreport,count,1,,2
99,application,grobeliskgroupreport,count,1,,3
100,application,grobeliskgroupreport,count,1,,4
101,application,grobeliskreport,count,1,,1
102,application,grobeliskreport,count,1,,2
103,application,grobeliskreport,count,1,,3
104,application,grobeliskreport,count,1,,4
105,application,grreport,count,1,,1
106,application,grreport,count,1,,2
107,application,grreport,count,1,,3
108,application,grreport,count,1,,4
109,application,grsite,count,1,,1
110,application,grsite,count,1,,2
111,application,grsite,count,1,,3
112,application,grsite,count,1,,4
113,application,grtype,count,1,,1
114,application,grtype,count,1,,2
115,application,grtype,count,1,,3
116,application,grtype,count,1,,4
117,application,gsactivegroup,count,1,,1
118,application,gsactivegroup,count,1,,2
119,application,gsactivegroup,count,1,,3
120,application,gsactivegroup,count,1,,4
121,application,gsactiveobelisk,count,1,,1
122,application,gsactiveobelisk,count,1,,2
123,application,gsactiveobelisk,count,1,,3
124,application,gsactiveobelisk,count,1,,4
125,application,gsartifact,count,1,,1
126,application,gsartifact,count,1,,2
127,application,gsartifact,count,1,,3
128,application,gsartifact,count,1,,4
129,application,gscodexcategory,count,1,,1
130,application,gscodexcategory,count,1,,2
131,application,gscodexcategory,count,1,,3
132,application,gscodexcategory,count,1,,4
133,application,gscodexdata,count,1,,1
134,application,gscodexdata,count,1,,2
135,application,gscodexdata,count,1,,3
136,application,gscodexdata,count,1,,4
137,application,gsobelisk,count,1,,1
138,application,gsobelisk,count,1,,2
139,application,gsobelisk,count,1,,3
140,application,gsobelisk,count,1,,4
141,application,gsobeliskgroup,count,1,,1
142,application,gsobeliskgroup,count,1,,2
143,application,gsobeliskgroup,count,1,,3
144,application,gsobeliskgroup,count,1,,4
145,application,gsobeliskgroupreport,count,1,,1
146,application,gsobeliskgroupreport,count,1,,2
147,application,gsobeliskgroupreport,count,1,,3
148,application,gsobeliskgroupreport,count,1,,4
149,application,gsobeliskreport,count,1,,1
150,application,gsobeliskreport,count,1,,2
151,application,gsobeliskreport,count,1,,3
152,application,gsobeliskreport,count,1,,4
153,application,gsreport,count,1,,1
154,application,gsreport,count,1,,2
155,application,gsreport,count,1,,3
156,application,gsreport,count,1,,4
157,application,gssite,count,1,,1
158,application,gssite,count,1,,2
159,application,gssite,count,1,,3
160,application,gssite,count,1,,4
161,application,gstype,count,1,,1
162,application,gstype,count,1,,2
163,application,gstype,count,1,,3
164,application,gstype,count,1,,4
165,application,gyreport,count,1,,1
166,application,gyreport,count,1,,2
167,application,gyreport,count,1,,3
168,application,gyreport,count,1,,4
169,application,gysite,count,1,,1
170,application,gysite,count,1,,2
171,application,gysite,count,1,,3
172,application,gysite,count,1,,4
173,application,gytype,count,1,,1
174,application,gytype,count,1,,2
175,application,gytype,count,1,,3
176,application,gytype,count,1,,4
177,application,hdreport,count,1,,1
178,application,hdreport,count,1,,2
179,application,hdreport,count,1,,3
180,application,hdreport,count,1,,4
181,application,hdsite,count,1,,1
182,application,hdsite,count,1,,2
183,application,hdsite,count,1,,3
184,application,hdsite,count,1,,4
185,application,journaldata,count,1,,1
186,application,journaldata,count,1,,2
187,application,journaldata,count,1,,3
188,application,journaldata,count,1,,4
189,application,lsreport,count,1,,1
190,application,lsreport,count,1,,2
191,application,lsreport,count,1,,3
192,application,lsreport,count,1,,4
193,application,lssite,count,1,,1
194,application,lssite,count,1,,2
195,application,lssite,count,1,,3
196,application,lssite,count,1,,4
197,application,msreport,count,1,,1
198,application,msreport,count,1,,2
199,application,msreport,count,1,,3
200,application,msreport,count,1,,4
201,application,mssite,count,1,,1
202,application,mssite,count,1,,2
203,application,mssite,count,1,,3
204,application,mssite,count,1,,4
205,application,mstype,count,1,,1
206,application,mstype,count,1,,2
207,application,mstype,count,1,,3
208,application,mstype,count,1,,4
209,application,nhsstopcmdrsbykill,count,1,,1
210,application,nhsstopcmdrsbykill,count,1,,2
211,application,nhsstopcmdrsbykill,count,1,,3
212,application,nhsstopcmdrsbykill,count,1,,4
213,application,ring,count,1,,1
214,application,ring,count,1,,2
215,application,ring,count,1,,3
216,application,ring,count,1,,4
217,application,ringtype,count,1,,1
218,application,ringtype,count,1,,2
219,application,ringtype,count,1,,3
220,application,ringtype,count,1,,4
221,application,system,count,1,,1
222,application,system,count,1,,2
223,application,system,count,1,,3
224,application,system,count,1,,4
225,application,tbcycle,count,1,,1
226,application,tbcycle,count,1,,2
227,application,tbcycle,count,1,,3
228,application,tbcycle,count,1,,4
229,application,tbreport,count,1,,1
230,application,tbreport,count,1,,2
231,application,tbreport,count,1,,3
232,application,tbreport,count,1,,4
233,application,tbsite,count,1,,1
234,application,tbsite,count,1,,2
235,application,tbsite,count,1,,3
236,application,tbsite,count,1,,4
237,application,tbtype,count,1,,1
238,application,tbtype,count,1,,2
239,application,tbtype,count,1,,3
240,application,tbtype,count,1,,4
241,application,tgencounterstat,count,1,,1
242,application,tgencounterstat,count,1,,2
243,application,tgencounterstat,count,1,,3
244,application,tgencounterstat,count,1,,4
245,application,tsreport,count,1,,1
246,application,tsreport,count,1,,2
247,application,tsreport,count,1,,3
248,application,tsreport,count,1,,4
249,application,tssite,count,1,,1
250,application,tssite,count,1,,2
251,application,tssite,count,1,,3
252,application,tssite,count,1,,4
253,application,tsstatus,count,1,,1
254,application,tsstatus,count,1,,2
255,application,tsstatus,count,1,,3
256,application,tsstatus,count,1,,4
257,application,twreport,count,1,,1
258,application,twreport,count,1,,2
259,application,twreport,count,1,,3
260,application,twreport,count,1,,4
261,application,twsite,count,1,,1
262,application,twsite,count,1,,2
263,application,twsite,count,1,,3
264,application,twsite,count,1,,4
265,application,ussreport,count,1,,1
266,application,ussreport,count,1,,2
267,application,ussreport,count,1,,3
268,application,ussreport,count,1,,4
269,application,usssite,count,1,,1
270,application,usssite,count,1,,2
271,application,usssite,count,1,,3
272,application,usssite,count,1,,4
273,application,usstype,count,1,,1
274,application,usstype,count,1,,2
275,application,usstype,count,1,,3
276,application,usstype,count,1,,4
277,application,bmreport,create,1,,1
278,application,bmreport,create,1,,2
279,application,bmreport,create,1,,3
280,application,bmreport,create,1,,4
281,application,bmsite,create,1,,1
282,application,bmsite,create,0,,2
283,application,bmsite,create,0,,3
284,application,bmsite,create,0,,4
285,application,body,create,1,,1
286,application,body,create,0,,2
287,application,body,create,0,,3
288,application,body,create,0,,4
289,application,btreport,create,1,,1
290,application,btreport,create,1,,2
291,application,btreport,create,1,,3
292,application,btreport,create,1,,4
293,application,btsite,create,1,,1
294,application,btsite,create,0,,2
295,application,btsite,create,0,,3
296,application,btsite,create,0,,4
297,application,cmdr,create,1,,1
298,application,cmdr,create,1,,2
299,application,cmdr,create,1,,3
300,application,cmdr,create,1,,4
301,application,factionkillreport,create,1,,1
302,application,factionkillreport,create,1,,2
303,application,factionkillreport,create,1,,3
304,application,factionkillreport,create,1,,4
305,application,fgreport,create,1,,1
306,application,fgreport,create,1,,2
307,application,fgreport,create,1,,3
308,application,fgreport,create,1,,4
309,application,fgsite,create,1,,1
310,application,fgsite,create,0,,2
311,application,fgsite,create,0,,3
312,application,fgsite,create,0,,4
313,application,fmreport,create,1,,1
314,application,fmreport,create,1,,2
315,application,fmreport,create,1,,3
316,application,fmreport,create,1,,4
317,application,fmsite,create,1,,1
318,application,fmsite,create,0,,2
319,application,fmsite,create,0,,3
320,application,fmsite,create,0,,4
321,application,fmtype,create,1,,1
322,application,fmtype,create,0,,2
323,application,fmtype,create,0,,3
324,application,fmtype,create,0,,4
325,application,gbmessage,create,1,,1
326,application,gbmessage,create,0,,2
327,application,gbmessage,create,0,,3
328,application,gbmessage,create,0,,4
329,application,gbreport,create,1,,1
330,application,gbreport,create,1,,2
331,application,gbreport,create,1,,3
332,application,gbreport,create,1,,4
333,application,gbsite,create,1,,1
334,application,gbsite,create,0,,2
335,application,gbsite,create,0,,3
336,application,gbsite,create,0,,4
337,application,genreport,create,1,,1
338,application,genreport,create,1,,2
339,application,genreport,create,1,,3
340,application,genreport,create,1,,4
341,application,gensite,create,1,,1
342,application,gensite,create,0,,2
343,application,gensite,create,0,,3
344,application,gensite,create,0,,4
345,application,gractivegroup,create,1,,1
346,application,gractivegroup,create,0,,2
347,application,gractivegroup,create,0,,3
348,application,gractivegroup,create,0,,4
349,application,gractiveobelisk,create,1,,1
350,application,gractiveobelisk,create,0,,2
351,application,gractiveobelisk,create,0,,3
352,application,gractiveobelisk,create,0,,4
353,application,grartifact,create,1,,1
354,application,grartifact,create,0,,2
355,application,grartifact,create,0,,3
356,application,grartifact,create,0,,4
357,application,grcodexcategory,create,1,,1
358,application,grcodexcategory,create,0,,2
359,application,grcodexcategory,create,0,,3
360,application,grcodexcategory,create,0,,4
361,application,grcodexdata,create,1,,1
362,application,grcodexdata,create,0,,2
363,application,grcodexdata,create,0,,3
364,application,grcodexdata,create,0,,4
365,application,grobelisk,create,1,,1
366,application,grobelisk,create,0,,2
367,application,grobelisk,create,0,,3
368,application,grobelisk,create,0,,4
369,application,grobeliskgroup,create,1,,1
370,application,grobeliskgroup,create,0,,2
371,application,grobeliskgroup,create,0,,3
372,application,grobeliskgroup,create,0,,4
373,application,grobeliskgroupreport,create,1,,1
374,application,grobeliskgroupreport,create,1,,2
375,application,grobeliskgroupreport,create,1,,3
376,application,grobeliskgroupreport,create,1,,4
377,application,grobeliskreport,create,1,,1
378,application,grobeliskreport,create,1,,2
379,application,grobeliskreport,create,1,,3
380,application,grobeliskreport,create,1,,4
381,application,grreport,create,1,,1
382,application,grreport,create,1,,2
383,application,grreport,create,1,,3
384,application,grreport,create,1,,4
385,application,grsite,create,1,,1
386,application,grsite,create,0,,2
387,application,grsite,create,0,,3
388,application,grsite,create,0,,4
389,application,grtype,create,1,,1
390,application,grtype,create,0,,2
391,application,grtype,create,0,,3
392,application,grtype,create,0,,4
393,application,gsactivegroup,create,1,,1
394,application,gsactivegroup,create,0,,2
395,application,gsactivegroup,create,0,,3
396,application,gsactivegroup,create,0,,4
397,application,gsactiveobelisk,create,1,,1
398,application,gsactiveobelisk,create,0,,2
399,application,gsactiveobelisk,create,0,,3
400,application,gsactiveobelisk,create,0,,4
401,application,gsartifact,create,1,,1
402,application,gsartifact,create,0,,2
403,application,gsartifact,create,0,,3
404,application,gsartifact,create,0,,4
405,application,gscodexcategory,create,1,,1
406,application,gscodexcategory,create,0,,2
407,application,gscodexcategory,create,0,,3
408,application,gscodexcategory,create,0,,4
409,application,gscodexdata,create,1,,1
410,application,gscodexdata,create,0,,2
411,application,gscodexdata,create,0,,3
412,application,gscodexdata,create,0,,4
413,application,gsobelisk,create,1,,1
414,application,gsobelisk,create,0,,2
415,application,gsobelisk,create,0,,3
416,application,gsobelisk,create,0,,4
417,application,gsobeliskgroup,create,1,,1
418,application,gsobeliskgroup,create,0,,2
419,application,gsobeliskgroup,create,0,,3
420,application,gsobeliskgroup,create,0,,4
421,application,gsobeliskgroupreport,create,1,,1
422,application,gsobeliskgroupreport,create,1,,2
423,application,gsobeliskgroupreport,create,1,,3
424,application,gsobeliskgroupreport,create,1,,4
425,application,gsobeliskreport,create,1,,1
426,application,gsobeliskreport,create,1,,2
427,application,gsobeliskreport,create,1,,3
428,application,gsobeliskreport,create,1,,4
429,application,gsreport,create,1,,1
430,application,gsreport,create,1,,2
431,application,gsreport,create,1,,3
432,application,gsreport,create,1,,4
433,application,gssite,create,1,,1
434,application,gssite,create,0,,2
435,application,gssite,create,0,,3
436,application,gssite,create,0,,4
437,application,gstype,create,1,,1
438,application,gstype,create,0,,2
439,application,gstype,create,0,,3
440,application,gstype,create,0,,4
441,application,gyreport,create,1,,1
442,application,gyreport,create,1,,2
443,application,gyreport,create,1,,3
444,application,gyreport,create,1,,4
445,application,gysite,create,1,,1
446,application,gysite,create,0,,2
447,application,gysite,create,0,,3
448,application,gysite,create,0,,4
449,application,gytype,create,1,,1
450,application,gytype,create,0,,2
451,application,gytype,create,0,,3
452,application,gytype,create,0,,4
453,application,hdreport,create,1,,1
454,application,hdreport,create,1,,2
455,application,hdreport,create,1,,3
456,application,hdreport,create,1,,4
457,application,hdsite,create,1,,1
458,application,hdsite,create,0,,2
459,application,hdsite,create,0,,3
460,application,hdsite,create,0,,4
461,application,journaldata,create,1,,1
462,application,journaldata,create,1,,2
463,application,journaldata,create,1,,3
464,application,journaldata,create,1,,4
465,application,lsreport,create,1,,1
466,application,lsreport,create,1,,2
467,application,lsreport,create,1,,3
468,application,lsreport,create,1,,4
469,application,lssite,create,1,,1
470,application,lssite,create,0,,2
471,application,lssite,create,0,,3
472,application,lssite,create,0,,4
473,application,msreport,create,1,,1
474,application,msreport,create,1,,2
475,application,msreport,create,1,,3
476,application,msreport,create,1,,4
477,application,mssite,create,1,,1
478,application,mssite,create,0,,2
479,application,mssite,create,0,,3
480,application,mssite,create,0,,4
481,application,mstype,create,1,,1
482,application,mstype,create,0,,2
483,application,mstype,create,0,,3
484,application,mstype,create,0,,4
485,application,nhsstopcmdrsbykill,create,1,,1
486,application,nhsstopcmdrsbykill,create,0,,2
487,application,nhsstopcmdrsbykill,create,0,,3
488,application,nhsstopcmdrsbykill,create,0,,4
489,application,ring,create,1,,1
490,application,ring,create,0,,2
491,application,ring,create,0,,3
492,application,ring,create,0,,4
493,application,ringtype,create,1,,1
494,application,ringtype,create,0,,2
495,application,ringtype,create,0,,3
496,application,ringtype,create,0,,4
497,application,system,create,1,,1
498,application,system,create,0,,2
499,application,system,create,0,,3
500,application,system,create,0,,4
501,application,tbcycle,create,1,,1
502,application,tbcycle,create,0,,2
503,application,tbcycle,create,0,,3
504,application,tbcycle,create,0,,4
505,application,tbreport,create,1,,1
506,application,tbreport,create,1,,2
507,application,tbreport,create,1,,3
508,application,tbreport,create,1,,4
509,application,tbsite,create,1,,1
510,application,tbsite,create,0,,2
511,application,tbsite,create,0,,3
512,application,tbsite,create,0,,4
513,application,tbtype,create,1,,1
514,application,tbtype,create,0,,2
515,application,tbtype,create,0,,3
516,application,tbtype,create,0,,4
517,application,tgencounterstat,create,1,,1
518,application,tgencounterstat,create,0,,2
519,application,tgencounterstat,create,0,,3
520,application,tgencounterstat,create,0,,4
521,application,tsreport,create,1,,1
522,application,tsreport,create,1,,2
523,application,tsreport,create,1,,3
524,application,tsreport,create,1,,4
525,application,tssite,create,1,,1
526,application,tssite,create,0,,2
527,application,tssite,create,0,,3
528,application,tssite,create,0,,4
529,application,tsstatus,create,1,,1
530,application,tsstatus,create,0,,2
531,application,tsstatus,create,0,,3
532,application,tsstatus,create,0,,4
533,application,twreport,create,1,,1
534,application,twreport,create,1,,2
535,application,twreport,create,1,,3
536,application,twreport,create,1,,4
537,application,twsite,create,1,,1
538,application,twsite,create,0,,2
539,application,twsite,create,0,,3
540,application,twsite,create,0,,4
541,application,ussreport,create,1,,1
542,application,ussreport,create,1,,2
543,application,ussreport,create,1,,3
544,application,ussreport,create,1,,4
545,application,usssite,create,1,,1
546,application,usssite,create,0,,2
547,application,usssite,create,0,,3
548,application,usssite,create,0,,4
549,application,usstype,create,1,,1
550,application,usstype,create,0,,2
551,application,usstype,create,0,,3
552,application,usstype,create,0,,4
553,application,bmreport,createrelation,1,,1
554,application,bmreport,createrelation,1,,2
555,application,bmreport,createrelation,1,,3
556,application,bmreport,createrelation,1,,4
557,application,bmsite,createrelation,1,,1
558,application,bmsite,createrelation,0,,2
559,application,bmsite,createrelation,0,,3
560,application,bmsite,createrelation,0,,4
561,application,body,createrelation,1,,1
562,application,body,createrelation,0,,2
563,application,body,createrelation,0,,3
564,application,body,createrelation,0,,4
565,application,btreport,createrelation,1,,1
566,application,btreport,createrelation,1,,2
567,application,btreport,createrelation,1,,3
568,application,btreport,createrelation,1,,4
569,application,btsite,createrelation,1,,1
570,application,btsite,createrelation,0,,2
571,application,btsite,createrelation,0,,3
572,application,btsite,createrelation,0,,4
573,application,cmdr,createrelation,1,,1
574,application,cmdr,createrelation,1,,2
575,application,cmdr,createrelation,1,,3
576,application,cmdr,createrelation,1,,4
577,application,factionkillreport,createrelation,1,,1
578,application,factionkillreport,createrelation,1,,2
579,application,factionkillreport,createrelation,1,,3
580,application,factionkillreport,createrelation,1,,4
581,application,fgreport,createrelation,1,,1
582,application,fgreport,createrelation,1,,2
583,application,fgreport,createrelation,1,,3
584,application,fgreport,createrelation,1,,4
585,application,fgsite,createrelation,1,,1
586,application,fgsite,createrelation,0,,2
587,application,fgsite,createrelation,0,,3
588,application,fgsite,createrelation,0,,4
589,application,fmreport,createrelation,1,,1
590,application,fmreport,createrelation,1,,2
591,application,fmreport,createrelation,1,,3
592,application,fmreport,createrelation,1,,4
593,application,fmsite,createrelation,1,,1
594,application,fmsite,createrelation,0,,2
595,application,fmsite,createrelation,0,,3
596,application,fmsite,createrelation,0,,4
597,application,fmtype,createrelation,1,,1
598,application,fmtype,createrelation,0,,2
599,application,fmtype,createrelation,0,,3
600,application,fmtype,createrelation,0,,4
601,application,gbmessage,createrelation,1,,1
602,application,gbmessage,createrelation,0,,2
603,application,gbmessage,createrelation,0,,3
604,application,gbmessage,createrelation,0,,4
605,application,gbreport,createrelation,1,,1
606,application,gbreport,createrelation,1,,2
607,application,gbreport,createrelation,1,,3
608,application,gbreport,createrelation,1,,4
609,application,gbsite,createrelation,1,,1
610,application,gbsite,createrelation,0,,2
611,application,gbsite,createrelation,0,,3
612,application,gbsite,createrelation,0,,4
613,application,genreport,createrelation,1,,1
614,application,genreport,createrelation,1,,2
615,application,genreport,createrelation,1,,3
616,application,genreport,createrelation,1,,4
617,application,gensite,createrelation,1,,1
618,application,gensite,createrelation,0,,2
619,application,gensite,createrelation,0,,3
620,application,gensite,createrelation,0,,4
621,application,gractivegroup,createrelation,1,,1
622,application,gractivegroup,createrelation,0,,2
623,application,gractivegroup,createrelation,0,,3
624,application,gractivegroup,createrelation,0,,4
625,application,gractiveobelisk,createrelation,1,,1
626,application,gractiveobelisk,createrelation,0,,2
627,application,gractiveobelisk,createrelation,0,,3
628,application,gractiveobelisk,createrelation,0,,4
629,application,grartifact,createrelation,1,,1
630,application,grartifact,createrelation,0,,2
631,application,grartifact,createrelation,0,,3
632,application,grartifact,createrelation,0,,4
633,application,grcodexcategory,createrelation,1,,1
634,application,grcodexcategory,createrelation,0,,2
635,application,grcodexcategory,createrelation,0,,3
636,application,grcodexcategory,createrelation,0,,4
637,application,grcodexdata,createrelation,1,,1
638,application,grcodexdata,createrelation,0,,2
639,application,grcodexdata,createrelation,0,,3
640,application,grcodexdata,createrelation,0,,4
641,application,grobelisk,createrelation,1,,1
642,application,grobelisk,createrelation,0,,2
643,application,grobelisk,createrelation,0,,3
644,application,grobelisk,createrelation,0,,4
645,application,grobeliskgroup,createrelation,1,,1
646,application,grobeliskgroup,createrelation,0,,2
647,application,grobeliskgroup,createrelation,0,,3
648,application,grobeliskgroup,createrelation,0,,4
649,application,grobeliskgroupreport,createrelation,1,,1
650,application,grobeliskgroupreport,createrelation,1,,2
651,application,grobeliskgroupreport,createrelation,1,,3
652,application,grobeliskgroupreport,createrelation,1,,4
653,application,grobeliskreport,createrelation,1,,1
654,application,grobeliskreport,createrelation,1,,2
655,application,grobeliskreport,createrelation,1,,3
656,application,grobeliskreport,createrelation,1,,4
657,application,grreport,createrelation,1,,1
658,application,grreport,createrelation,1,,2
659,application,grreport,createrelation,1,,3
660,application,grreport,createrelation,1,,4
661,application,grsite,createrelation,1,,1
662,application,grsite,createrelation,0,,2
663,application,grsite,createrelation,0,,3
664,application,grsite,createrelation,0,,4
665,application,grtype,createrelation,1,,1
666,application,grtype,createrelation,0,,2
667,application,grtype,createrelation,0,,3
668,application,grtype,createrelation,0,,4
669,application,gsactivegroup,createrelation,1,,1
670,application,gsactivegroup,createrelation,0,,2
671,application,gsactivegroup,createrelation,0,,3
672,application,gsactivegroup,createrelation,0,,4
673,application,gsactiveobelisk,createrelation,1,,1
674,application,gsactiveobelisk,createrelation,0,,2
675,application,gsactiveobelisk,createrelation,0,,3
676,application,gsactiveobelisk,createrelation,0,,4
677,application,gsartifact,createrelation,1,,1
678,application,gsartifact,createrelation,0,,2
679,application,gsartifact,createrelation,0,,3
680,application,gsartifact,createrelation,0,,4
681,application,gscodexcategory,createrelation,1,,1
682,application,gscodexcategory,createrelation,0,,2
683,application,gscodexcategory,createrelation,0,,3
684,application,gscodexcategory,createrelation,0,,4
685,application,gscodexdata,createrelation,1,,1
686,application,gscodexdata,createrelation,0,,2
687,application,gscodexdata,createrelation,0,,3
688,application,gscodexdata,createrelation,0,,4
689,application,gsobelisk,createrelation,1,,1
690,application,gsobelisk,createrelation,0,,2
691,application,gsobelisk,createrelation,0,,3
692,application,gsobelisk,createrelation,0,,4
693,application,gsobeliskgroup,createrelation,1,,1
694,application,gsobeliskgroup,createrelation,0,,2
695,application,gsobeliskgroup,createrelation,0,,3
696,application,gsobeliskgroup,createrelation,0,,4
697,application,gsobeliskgroupreport,createrelation,1,,1
698,application,gsobeliskgroupreport,createrelation,1,,2
699,application,gsobeliskgroupreport,createrelation,1,,3
700,application,gsobeliskgroupreport,createrelation,1,,4
701,application,gsobeliskreport,createrelation,1,,1
702,application,gsobeliskreport,createrelation,1,,2
703,application,gsobeliskreport,createrelation,1,,3
704,application,gsobeliskreport,createrelation,1,,4
705,application,gsreport,createrelation,1,,1
706,application,gsreport,createrelation,1,,2
707,application,gsreport,createrelation,1,,3
708,application,gsreport,createrelation,1,,4
709,application,gssite,createrelation,1,,1
710,application,gssite,createrelation,0,,2
711,application,gssite,createrelation,0,,3
712,application,gssite,createrelation,0,,4
713,application,gstype,createrelation,1,,1
714,application,gstype,createrelation,0,,2
715,application,gstype,createrelation,0,,3
716,application,gstype,createrelation,0,,4
717,application,gyreport,createrelation,1,,1
718,application,gyreport,createrelation,1,,2
719,application,gyreport,createrelation,1,,3
720,application,gyreport,createrelation,1,,4
721,application,gysite,createrelation,1,,1
722,application,gysite,createrelation,0,,2
723,application,gysite,createrelation,0,,3
724,application,gysite,createrelation,0,,4
725,application,gytype,createrelation,1,,1
726,application,gytype,createrelation,0,,2
727,application,gytype,createrelation,0,,3
728,application,gytype,createrelation,0,,4
729,application,hdreport,createrelation,1,,1
730,application,hdreport,createrelation,1,,2
731,application,hdreport,createrelation,1,,3
732,application,hdreport,createrelation,1,,4
733,application,hdsite,createrelation,1,,1
734,application,hdsite,createrelation,0,,2
735,application,hdsite,createrelation,0,,3
736,application,hdsite,createrelation,0,,4
737,application,journaldata,createrelation,1,,1
738,application,journaldata,createrelation,1,,2
739,application,journaldata,createrelation,1,,3
740,application,journaldata,createrelation,1,,4
741,application,lsreport,createrelation,1,,1
742,application,lsreport,createrelation,1,,2
743,application,lsreport,createrelation,1,,3
744,application,lsreport,createrelation,1,,4
745,application,lssite,createrelation,1,,1
746,application,lssite,createrelation,0,,2
747,application,lssite,createrelation,0,,3
748,application,lssite,createrelation,0,,4
749,application,msreport,createrelation,1,,1
750,application,msreport,createrelation,1,,2
751,application,msreport,createrelation,1,,3
752,application,msreport,createrelation,1,,4
753,application,mssite,createrelation,1,,1
754,application,mssite,createrelation,0,,2
755,application,mssite,createrelation,0,,3
756,application,mssite,createrelation,0,,4
757,application,mstype,createrelation,1,,1
758,application,mstype,createrelation,0,,2
759,application,mstype,createrelation,0,,3
760,application,mstype,createrelation,0,,4
761,application,nhsstopcmdrsbykill,createrelation,1,,1
762,application,nhsstopcmdrsbykill,createrelation,0,,2
763,application,nhsstopcmdrsbykill,createrelation,0,,3
764,application,nhsstopcmdrsbykill,createrelation,0,,4
765,application,ring,createrelation,1,,1
766,application,ring,createrelation,0,,2
767,application,ring,createrelation,0,,3
768,application,ring,createrelation,0,,4
769,application,ringtype,createrelation,1,,1
770,application,ringtype,createrelation,0,,2
771,application,ringtype,createrelation,0,,3
772,application,ringtype,createrelation,0,,4
773,application,system,createrelation,1,,1
774,application,system,createrelation,0,,2
775,application,system,createrelation,0,,3
776,application,system,createrelation,0,,4
777,application,tbcycle,createrelation,1,,1
778,application,tbcycle,createrelation,0,,2
779,application,tbcycle,createrelation,0,,3
780,application,tbcycle,createrelation,0,,4
781,application,tbreport,createrelation,1,,1
782,application,tbreport,createrelation,1,,2
783,application,tbreport,createrelation,1,,3
784,application,tbreport,createrelation,1,,4
785,application,tbsite,createrelation,1,,1
786,application,tbsite,createrelation,0,,2
787,application,tbsite,createrelation,0,,3
788,application,tbsite,createrelation,0,,4
789,application,tbtype,createrelation,1,,1
790,application,tbtype,createrelation,0,,2
791,application,tbtype,createrelation,0,,3
792,application,tbtype,createrelation,0,,4
