"id","`type`","controller","`action`","enabled","policy","`role`"
201,application,gbreport,count,1,"",1
202,application,gbreport,create,1,"",1
203,application,gbreport,update,1,"",1
204,application,gbreport,delete,1,"",1
205,application,gbsite,find,1,"",1
206,application,gbsite,findone,1,"",1
207,application,gbsite,count,1,"",1
208,application,gbsite,create,1,"",1
209,application,gbsite,update,1,"",1
210,application,gbsite,delete,1,"",1
211,application,genlog,find,1,"",1
212,application,genlog,findone,1,"",1
213,application,genlog,count,1,"",1
214,application,genlog,create,1,"",1
215,application,genlog,update,1,"",1
216,application,genlog,delete,1,"",1
217,application,genreport,find,1,"",1
218,application,genreport,findone,1,"",1
219,application,genreport,count,1,"",1
220,application,genreport,create,1,"",1
221,application,genreport,update,1,"",1
222,application,genreport,delete,1,"",1
223,application,gensite,find,1,"",1
224,application,gensite,findone,1,"",1
225,application,gensite,count,1,"",1
226,application,gensite,create,1,"",1
227,application,gensite,update,1,"",1
228,application,gensite,delete,1,"",1
229,application,gractivegroup,find,1,"",1
230,application,gractivegroup,findone,1,"",1
231,application,gractivegroup,count,1,"",1
232,application,gractivegroup,create,1,"",1
233,application,gractivegroup,update,1,"",1
234,application,gractivegroup,delete,1,"",1
235,application,gractiveobelisk,find,1,"",1
236,application,gractiveobelisk,findone,1,"",1
237,application,gractiveobelisk,count,1,"",1
238,application,gractiveobelisk,create,1,"",1
239,application,gractiveobelisk,update,1,"",1
240,application,gractiveobelisk,delete,1,"",1
241,application,grartifact,find,1,"",1
242,application,grartifact,findone,1,"",1
243,application,grartifact,count,1,"",1
244,application,grartifact,create,1,"",1
245,application,grartifact,update,1,"",1
246,application,grartifact,delete,1,"",1
247,application,grcodexcategory,find,1,"",1
248,application,grcodexcategory,findone,1,"",1
249,application,grcodexcategory,count,1,"",1
250,application,grcodexcategory,create,1,"",1
251,application,grcodexcategory,update,1,"",1
252,application,grcodexcategory,delete,1,"",1
253,application,grcodexdata,find,1,"",1
254,application,grcodexdata,findone,1,"",1
255,application,grcodexdata,count,1,"",1
256,application,grcodexdata,create,1,"",1
257,application,grcodexdata,update,1,"",1
258,application,grcodexdata,delete,1,"",1
259,application,grobelisk,find,1,"",1
260,application,grobelisk,findone,1,"",1
261,application,grobelisk,count,1,"",1
262,application,grobelisk,create,1,"",1
263,application,grobelisk,update,1,"",1
264,application,grobelisk,delete,1,"",1
265,application,grobeliskgroup,find,1,"",1
266,application,grobeliskgroup,findone,1,"",1
267,application,grobeliskgroup,count,1,"",1
268,application,grobeliskgroup,create,1,"",1
269,application,grobeliskgroup,update,1,"",1
270,application,grobeliskgroup,delete,1,"",1
271,application,grobeliskreport,find,1,"",1
272,application,grobeliskreport,findone,1,"",1
273,application,grobeliskreport,count,1,"",1
274,application,grobeliskreport,create,1,"",1
275,application,grobeliskreport,update,1,"",1
276,application,grobeliskreport,delete,1,"",1
277,application,grreport,find,1,"",1
278,application,grreport,findone,1,"",1
279,application,grreport,count,1,"",1
280,application,grreport,create,1,"",1
281,application,grreport,update,1,"",1
282,application,grreport,delete,1,"",1
283,application,grsite,find,1,"",1
284,application,grsite,findone,1,"",1
285,application,grsite,count,1,"",1
286,application,grsite,create,1,"",1
287,application,grsite,update,1,"",1
288,application,grsite,delete,1,"",1
289,application,grtype,find,1,"",1
290,application,grtype,findone,1,"",1
291,application,grtype,count,1,"",1
292,application,grtype,create,1,"",1
293,application,grtype,update,1,"",1
294,application,grtype,delete,1,"",1
295,application,gsactivegroup,find,1,"",1
296,application,gsactivegroup,findone,1,"",1
297,application,gsactivegroup,count,1,"",1
298,application,gsactivegroup,create,1,"",1
299,application,gsactivegroup,update,1,"",1
300,application,gsactivegroup,delete,1,"",1
301,application,gsactiveobelisk,find,1,"",1
302,application,gsactiveobelisk,findone,1,"",1
303,application,gsactiveobelisk,count,1,"",1
304,application,gsactiveobelisk,create,1,"",1
305,application,gsactiveobelisk,update,1,"",1
306,application,gsactiveobelisk,delete,1,"",1
307,application,gsartifact,find,1,"",1
308,application,gsartifact,findone,1,"",1
309,application,gsartifact,count,1,"",1
310,application,gsartifact,create,1,"",1
311,application,gsartifact,update,1,"",1
312,application,gsartifact,delete,1,"",1
313,application,gscodexcategory,find,1,"",1
314,application,gscodexcategory,findone,1,"",1
315,application,gscodexcategory,count,1,"",1
316,application,gscodexcategory,create,1,"",1
317,application,gscodexcategory,update,1,"",1
318,application,gscodexcategory,delete,1,"",1
319,application,gscodexdata,find,1,"",1
320,application,gscodexdata,findone,1,"",1
321,application,gscodexdata,count,1,"",1
322,application,gscodexdata,create,1,"",1
323,application,gscodexdata,update,1,"",1
324,application,gscodexdata,delete,1,"",1
325,application,gsobelisk,find,1,"",1
326,application,gsobelisk,findone,1,"",1
327,application,gsobelisk,count,1,"",1
328,application,gsobelisk,create,1,"",1
329,application,gsobelisk,update,1,"",1
330,application,gsobelisk,delete,1,"",1
331,application,gsobeliskgroup,find,1,"",1
332,application,gsobeliskgroup,findone,1,"",1
333,application,gsobeliskgroup,count,1,"",1
334,application,gsobeliskgroup,create,1,"",1
335,application,gsobeliskgroup,update,1,"",1
336,application,gsobeliskgroup,delete,1,"",1
337,application,gsobeliskreport,find,1,"",1
338,application,gsobeliskreport,findone,1,"",1
339,application,gsobeliskreport,count,1,"",1
340,application,gsobeliskreport,create,1,"",1
341,application,gsobeliskreport,update,1,"",1
342,application,gsobeliskreport,delete,1,"",1
343,application,gsreport,find,1,"",1
344,application,gsreport,findone,1,"",1
345,application,gsreport,count,1,"",1
346,application,gsreport,create,1,"",1
347,application,gsreport,update,1,"",1
348,application,gsreport,delete,1,"",1
349,application,gssite,find,1,"",1
350,application,gssite,findone,1,"",1
351,application,gssite,count,1,"",1
352,application,gssite,create,1,"",1
353,application,gssite,update,1,"",1
354,application,gssite,delete,1,"",1
355,application,gstype,find,1,"",1
356,application,gstype,findone,1,"",1
357,application,gstype,count,1,"",1
358,application,gstype,create,1,"",1
359,application,gstype,update,1,"",1
360,application,gstype,delete,1,"",1
361,application,gvreport,find,1,"",1
362,application,gvreport,findone,1,"",1
363,application,gvreport,count,1,"",1
364,application,gvreport,create,1,"",1
365,application,gvreport,update,1,"",1
366,application,gvreport,delete,1,"",1
367,application,gvsite,find,1,"",1
368,application,gvsite,findone,1,"",1
369,application,gvsite,count,1,"",1
370,application,gvsite,create,1,"",1
371,application,gvsite,update,1,"",1
372,application,gvsite,delete,1,"",1
373,application,gvtype,find,1,"",1
374,application,gvtype,findone,1,"",1
375,application,gvtype,count,1,"",1
376,application,gvtype,create,1,"",1
377,application,gvtype,update,1,"",1
378,application,gvtype,delete,1,"",1
379,application,gyreport,find,1,"",1
380,application,gyreport,findone,1,"",1
381,application,gyreport,count,1,"",1
382,application,gyreport,create,1,"",1
383,application,gyreport,update,1,"",1
384,application,gyreport,delete,1,"",1
385,application,gysite,find,1,"",1
386,application,gysite,findone,1,"",1
387,application,gysite,count,1,"",1
388,application,gysite,create,1,"",1
389,application,gysite,update,1,"",1
390,application,gysite,delete,1,"",1
391,application,gytype,find,1,"",1
392,application,gytype,findone,1,"",1
393,application,gytype,count,1,"",1
394,application,gytype,create,1,"",1
395,application,gytype,update,1,"",1
396,application,gytype,delete,1,"",1
397,application,hdreport,find,1,"",1
398,application,hdreport,findone,1,"",1
399,application,hdreport,count,1,"",1
400,application,hdreport,create,1,"",1
401,application,hdreport,update,1,"",1
402,application,hdreport,delete,1,"",1
403,application,hdsite,find,1,"",1
404,application,hdsite,findone,1,"",1
405,application,hdsite,count,1,"",1
406,application,hdsite,create,1,"",1
407,application,hdsite,update,1,"",1
408,application,hdsite,delete,1,"",1
411,application,killreport,find,1,"",1
412,application,killreport,findone,1,"",1
413,application,killreport,count,1,"",1
414,application,killreport,create,1,"",1
415,application,killreport,update,1,"",1
416,application,killreport,delete,1,"",1
417,application,lcfssreport,find,1,"",1
418,application,lcfssreport,findone,1,"",1
419,application,lcfssreport,count,1,"",1
420,application,lcfssreport,create,1,"",1
421,application,lcfssreport,update,1,"",1
422,application,lcfssreport,delete,1,"",1
423,application,lsreport,find,1,"",1
424,application,lsreport,findone,1,"",1
425,application,lsreport,count,1,"",1
426,application,lsreport,create,1,"",1
427,application,lsreport,update,1,"",1
428,application,lsreport,delete,1,"",1
429,application,lssite,find,1,"",1
430,application,lssite,findone,1,"",1
431,application,lssite,count,1,"",1
432,application,lssite,create,1,"",1
433,application,lssite,update,1,"",1
434,application,lssite,delete,1,"",1
435,application,lstype,find,1,"",1
436,application,lstype,findone,1,"",1
437,application,lstype,count,1,"",1
438,application,lstype,create,1,"",1
439,application,lstype,update,1,"",1
440,application,lstype,delete,1,"",1
441,application,materialreport,find,1,"",1
442,application,materialreport,findone,1,"",1
443,application,materialreport,count,1,"",1
444,application,materialreport,create,1,"",1
445,application,materialreport,update,1,"",1
446,application,materialreport,delete,1,"",1
447,application,nhssreport,find,1,"",1
448,application,nhssreport,count,1,"",1
449,application,nhssreport,findone,1,"",1
450,application,nhssreport,create,1,"",1
451,application,nhssreport,update,1,"",1
452,application,nhssreport,delete,1,"",1
453,application,nhsssite,find,1,"",1
454,application,nhsssite,findone,1,"",1
455,application,nhsssite,count,1,"",1
456,application,nhsssite,create,1,"",1
457,application,nhsssite,update,1,"",1
458,application,nhsssite,delete,1,"",1
459,application,pointofinterest,find,1,"",1
460,application,pointofinterest,findone,1,"",1
461,application,pointofinterest,count,1,"",1
462,application,pointofinterest,create,1,"",1
463,application,pointofinterest,update,1,"",1
464,application,pointofinterest,delete,1,"",1
465,application,region,find,1,"",1
466,application,region,findone,1,"",1
467,application,region,count,1,"",1
468,application,region,create,1,"",1
469,application,region,update,1,"",1
470,application,region,delete,1,"",1
471,application,reportcodex,find,1,"",1
472,application,reportcodex,findone,1,"",1
473,application,reportcodex,count,1,"",1
474,application,reportcodex,create,1,"",1
475,application,reportcodex,update,1,"",1
476,application,reportcodex,delete,1,"",1
477,application,reportevent,find,1,"",1
478,application,reportevent,findone,1,"",1
479,application,reportevent,count,1,"",1
480,application,reportevent,create,1,"",1
481,application,reportevent,update,1,"",1
482,application,reportevent,delete,1,"",1
483,application,reportfss,find,1,"",1
484,application,reportfss,findone,1,"",1
485,application,reportfss,count,1,"",1
486,application,reportfss,create,1,"",1
487,application,reportfss,update,1,"",1
488,application,reportfss,delete,1,"",1
489,application,reporttype,find,1,"",1
490,application,reporttype,findone,1,"",1
491,application,reporttype,count,1,"",1
492,application,reporttype,create,1,"",1
493,application,reporttype,update,1,"",1
494,application,reporttype,delete,1,"",1
495,application,ring,find,1,"",1
496,application,ring,findone,1,"",1
497,application,ring,count,1,"",1
498,application,ring,create,1,"",1
499,application,ring,update,1,"",1
500,application,ring,delete,1,"",1
501,application,system,find,1,"",1
502,application,system,findone,1,"",1
503,application,system,count,1,"",1
504,application,system,create,1,"",1
505,application,system,update,1,"",1
506,application,system,delete,1,"",1
507,application,tbcycle,find,1,"",1
508,application,tbcycle,findone,1,"",1
509,application,tbcycle,count,1,"",1
510,application,tbcycle,create,1,"",1
511,application,tbcycle,update,1,"",1
512,application,tbcycle,delete,1,"",1
513,application,tbreport,find,1,"",1
514,application,tbreport,findone,1,"",1
515,application,tbreport,count,1,"",1
516,application,tbreport,create,1,"",1
517,application,tbreport,update,1,"",1
518,application,tbreport,delete,1,"",1
519,application,tbsite,find,1,"",1
520,application,tbsite,findone,1,"",1
521,application,tbsite,count,1,"",1
522,application,tbsite,create,1,"",1
523,application,tbsite,update,1,"",1
524,application,tbsite,delete,1,"",1
525,application,tbtype,find,1,"",1
526,application,tbtype,findone,1,"",1
527,application,tbtype,count,1,"",1
528,application,tbtype,create,1,"",1
529,application,tbtype,update,1,"",1
530,application,tsreport,find,1,"",1
531,application,tsreport,findone,1,"",1
532,application,tsreport,count,1,"",1
533,application,tbtype,delete,1,"",1
534,application,tsreport,create,1,"",1
535,application,tsreport,update,1,"",1
536,application,tsreport,delete,1,"",1
537,application,tssite,find,1,"",1
538,application,tssite,findone,1,"",1
539,application,tssite,count,1,"",1
540,application,tssite,create,1,"",1
541,application,tssite,update,1,"",1
542,application,tssite,delete,1,"",1
543,application,tsstatus,find,1,"",1
544,application,tsstatus,findone,1,"",1
545,application,tsstatus,count,1,"",1
546,application,tsstatus,create,1,"",1
547,application,tsstatus,update,1,"",1
548,application,tsstatus,delete,1,"",1
549,application,twreport,find,1,"",1
550,application,twreport,findone,1,"",1
551,application,twreport,count,1,"",1
552,application,twreport,create,1,"",1
553,application,twreport,update,1,"",1
554,application,twreport,delete,1,"",1
555,application,twsite,find,1,"",1
556,application,twsite,findone,1,"",1
557,application,twsite,count,1,"",1
558,application,twsite,create,1,"",1
559,application,twsite,update,1,"",1
560,application,twsite,delete,1,"",1
561,application,twtype,find,1,"",1
562,application,twtype,findone,1,"",1
563,application,twtype,count,1,"",1
564,application,twtype,create,1,"",1
565,application,twtype,update,1,"",1
566,application,twtype,delete,1,"",1
568,content-manager,contentmanager,find,1,"",1
569,content-manager,contentmanager,count,1,"",1
570,content-manager,contentmanager,findone,1,"",1
571,content-manager,contentmanager,create,1,"",1
572,content-manager,contentmanager,update,1,"",1
574,content-manager,contentmanager,delete,1,"",1
576,content-type-builder,contenttypebuilder,getmodels,1,"",1
577,content-type-builder,contenttypebuilder,getmodel,1,"",1
578,content-type-builder,contenttypebuilder,getconnections,1,"",1
579,content-type-builder,contenttypebuilder,createmodel,1,"",1
580,content-type-builder,contenttypebuilder,updatemodel,1,"",1
581,content-type-builder,contenttypebuilder,deletemodel,1,"",1
583,documentation,documentation,getinfos,1,"",1
584,documentation,documentation,index,1,"",1
585,documentation,documentation,loginview,1,"",1
586,documentation,documentation,login,1,"",1
587,documentation,documentation,regeneratedoc,1,"",1
588,documentation,documentation,deletedoc,1,"",1
589,documentation,documentation,updatesettings,1,"",1
590,email,email,send,1,"",1
591,email,email,getenvironments,1,"",1
592,email,email,getsettings,1,"",1
593,email,email,updatesettings,1,"",1
594,settings-manager,settingsmanager,menu,1,"",1
595,settings-manager,settingsmanager,environments,1,"",1
596,settings-manager,settingsmanager,languages,1,"",1
597,settings-manager,settingsmanager,databases,1,"",1
598,settings-manager,settingsmanager,database,1,"",1
599,settings-manager,settingsmanager,databasemodel,1,"",1
600,settings-manager,settingsmanager,get,1,"",1
601,settings-manager,settingsmanager,update,1,"",1
602,settings-manager,settingsmanager,createlanguage,1,"",1
603,settings-manager,settingsmanager,deletelanguage,1,"",1
604,settings-manager,settingsmanager,createdatabase,1,"",1
605,settings-manager,settingsmanager,updatedatabase,1,"",1
606,settings-manager,settingsmanager,deletedatabase,1,"",1
607,upload,upload,upload,1,"",1
608,upload,upload,getenvironments,1,"",1
609,upload,upload,getsettings,1,"",1
610,upload,upload,updatesettings,1,"",1
611,upload,upload,find,1,"",1
612,upload,upload,findone,1,"",1
613,upload,upload,count,1,"",1
614,upload,upload,destroy,1,"",1
615,upload,upload,search,1,"",1
616,users-permissions,auth,callback,1,"",1
617,users-permissions,auth,changepassword,1,"",1
618,users-permissions,auth,connect,1,"",1
619,users-permissions,auth,forgotpassword,1,"",1
620,users-permissions,auth,register,1,"",1
621,users-permissions,auth,emailconfirmation,1,"",1
622,users-permissions,user,find,1,"",1
623,users-permissions,user,me,1,"",1
624,users-permissions,user,findone,1,"",1
625,users-permissions,user,create,1,"",1
626,users-permissions,user,update,1,"",1
627,users-permissions,user,destroy,1,"",1
628,users-permissions,user,destroyall,1,"",1
629,users-permissions,userspermissions,createrole,1,"",1
630,users-permissions,userspermissions,deleteprovider,1,"",1
631,users-permissions,userspermissions,deleterole,1,"",1
632,users-permissions,userspermissions,getpermissions,1,"",1
633,users-permissions,userspermissions,getpolicies,1,"",1
634,users-permissions,userspermissions,getrole,1,"",1
635,users-permissions,userspermissions,getroles,1,"",1
636,users-permissions,userspermissions,getroutes,1,"",1
637,users-permissions,userspermissions,index,1,"",1
638,users-permissions,userspermissions,init,1,"",1
639,users-permissions,userspermissions,searchusers,1,"",1
640,users-permissions,userspermissions,updaterole,1,"",1
641,users-permissions,userspermissions,getemailtemplate,1,"",1
642,users-permissions,userspermissions,updateemailtemplate,1,"",1
643,users-permissions,userspermissions,getadvancedsettings,1,"",1
644,users-permissions,userspermissions,updateadvancedsettings,1,"",1
645,users-permissions,userspermissions,getproviders,1,"",1
646,users-permissions,userspermissions,updateproviders,1,"",1
647,application,alert,find,1,"",2
648,application,alert,findone,1,"",2
649,application,alert,count,1,"",2
650,application,alert,create,0,"",2
651,application,alert,update,0,"",2
652,application,alert,delete,0,"",2
653,application,apiupdate,find,1,"",2
654,application,apiupdate,findone,1,"",2
655,application,apiupdate,count,1,"",2
656,application,apiupdate,create,0,"",2
657,application,apiupdate,update,0,"",2
658,application,apiupdate,delete,0,"",2
659,application,apreport,find,1,"",2
660,application,apreport,findone,1,"",2
661,application,apreport,count,1,"",2
662,application,apreport,create,1,"",2
663,application,apreport,update,1,"",2
664,application,apreport,delete,0,"",2
665,application,apsite,find,1,"",2
666,application,apsite,findone,1,"",2
667,application,apsite,count,1,"",2
668,application,apsite,create,0,"",2
669,application,apsite,update,0,"",2
670,application,apsite,delete,0,"",2
671,application,aptype,find,1,"",2
672,application,aptype,findone,1,"",2
673,application,aptype,count,1,"",2
674,application,aptype,create,0,"",2
675,application,aptype,update,0,"",2
676,application,aptype,delete,0,"",2
677,application,axczfssreport,find,1,"",2
678,application,axczfssreport,findone,1,"",2
679,application,axczfssreport,count,1,"",2
680,application,axczfssreport,create,1,"",2
681,application,axczfssreport,update,1,"",2
682,application,axczfssreport,delete,0,"",2
683,application,bmreport,find,1,"",2
684,application,bmreport,findone,1,"",2
685,application,bmreport,count,1,"",2
686,application,bmreport,create,1,"",2
687,application,bmreport,update,1,"",2
688,application,bmreport,delete,0,"",2
689,application,bmsite,find,1,"",2
690,application,bmsite,findone,1,"",2
691,application,bmsite,count,1,"",2
692,application,bmsite,create,0,"",2
693,application,bmsite,update,0,"",2
694,application,bmsite,delete,0,"",2
695,application,bmtype,find,1,"",2
696,application,bmtype,findone,1,"",2
697,application,bmtype,count,1,"",2
698,application,bmtype,create,0,"",2
699,application,bmtype,update,0,"",2
700,application,bmtype,delete,0,"",2
701,application,body,find,1,"",2
702,application,body,findone,1,"",2
703,application,body,count,1,"",2
704,application,body,create,0,"",2
705,application,body,update,0,"",2
706,application,body,delete,0,"",2
707,application,btreport,find,1,"",2
708,application,btreport,findone,1,"",2
709,application,btreport,count,1,"",2
710,application,btreport,create,1,"",2
711,application,btreport,update,1,"",2
712,application,btreport,delete,0,"",2
713,application,btsite,find,1,"",2
714,application,btsite,findone,1,"",2
715,application,btsite,count,1,"",2
716,application,btsite,create,0,"",2
717,application,btsite,update,0,"",2
718,application,btsite,delete,0,"",2
719,application,bttype,find,1,"",2
720,application,bttype,findone,1,"",2
721,application,bttype,count,1,"",2
722,application,bttype,create,0,"",2
723,application,bttype,update,0,"",2
724,application,bttype,delete,0,"",2
725,application,clientreport,findone,1,"",2
726,application,clientreport,find,1,"",2
727,application,clientreport,count,1,"",2
728,application,clientreport,create,1,"",2
729,application,clientreport,update,1,"",2
730,application,clientreport,delete,0,"",2
731,application,clientroute,find,1,"",2
732,application,clientroute,findone,1,"",2
733,application,clientroute,count,1,"",2
734,application,clientroute,create,0,"",2
735,application,clientroute,update,0,"",2
736,application,clientroute,delete,0,"",2
737,application,cmdr,find,1,"",2
738,application,cmdr,findone,1,"",2
739,application,cmdr,count,1,"",2
740,application,cmdr,create,0,"",2
741,application,cmdr,update,0,"",2
742,application,cmdr,delete,0,"",2
743,application,cmdrkill,find,1,"",2
744,application,cmdrkill,findone,1,"",2
745,application,cmdrkill,count,1,"",2
746,application,cmdrkill,create,0,"",2
747,application,cmdrkill,update,0,"",2
748,application,cmdrkill,delete,0,"",2
749,application,csreport,find,1,"",2
750,application,csreport,findone,1,"",2
751,application,csreport,count,1,"",2
752,application,csreport,create,1,"",2
753,application,csreport,update,1,"",2
754,application,csreport,delete,0,"",2
755,application,cssite,find,1,"",2
756,application,cssite,findone,1,"",2
757,application,cssite,count,1,"",2
758,application,cssite,create,0,"",2
759,application,cssite,update,0,"",2
760,application,cssite,delete,0,"",2
761,application,cstype,find,1,"",2
762,application,cstype,findone,1,"",2
763,application,cstype,count,1,"",2
764,application,cstype,create,0,"",2
765,application,cstype,update,0,"",2
766,application,cstype,delete,0,"",2
767,application,excludeclient,find,1,"",2
768,application,excludeclient,findone,1,"",2
769,application,excludeclient,count,1,"",2
770,application,excludeclient,create,0,"",2
771,application,excludeclient,update,0,"",2
772,application,excludeclient,delete,0,"",2
773,application,excludecmdr,find,1,"",2
774,application,excludecmdr,findone,1,"",2
775,application,excludecmdr,count,1,"",2
776,application,excludecmdr,create,0,"",2
777,application,excludecmdr,update,0,"",2
778,application,excludecmdr,delete,0,"",2
779,application,excludecodex,find,1,"",2
780,application,excludecodex,findone,1,"",2
781,application,excludecodex,count,1,"",2
782,application,excludecodex,create,0,"",2
783,application,excludecodex,update,0,"",2
784,application,excludecodex,delete,0,"",2
785,application,excludeevent,find,1,"",2
