id,system,body,siteID,extoolID,type,subtype,latitude,longitude,cycle,comment,verified,visible
98,3124,4224,98,\N,1,3,-26.9032,72.4783,4,,0,1
99,3066,4121,99,\N,1,1,47.5693,-167.2193,1,,0,1
100,3066,4121,100,\N,1,1,46.7718,-164.7683,1,,0,1
101,3066,4121,101,\N,1,4,46.3542,-165.069,3,,0,1
102,3066,4121,102,\N,1,1,35.4491,-159.8313,1,,0,1
103,3066,4121,103,\N,1,1,46.7148,-170.2378,1,,0,1
104,3066,4121,104,\N,1,1,51.2846,152.2478,1,,0,1
105,3077,4138,105,\N,1,1,-59.7253,-100.8103,1,,0,1
106,3077,4138,106,\N,1,1,-59.7579,-100.9584,1,,0,1
107,3077,4138,107,\N,1,1,-67.3018,-106.544,1,,0,1
108,3077,4138,108,\N,1,1,-63.0291,-130.8848,1,,0,1
109,3077,4138,109,\N,1,1,-55.78,102.74,1,,0,1
110,3077,4138,110,\N,1,1,28.42,-34.72,1,,0,1
111,2467,3323,111,\N,1,1,-11.2354,-145.3719,4,,0,1
112,4517,6194,112,\N,1,3,-62.7265,-174.6157,3,,0,1
113,3077,4138,113,\N,1,1,-49.6746,-93.1688,1,,0,1
114,3124,4224,114,\N,1,6,-23.5932,70.9424,2,,0,1
115,3124,4224,115,\N,1,3,-23.3382,71.5151,3,,0,1
116,3124,4224,116,\N,1,1,-26.5783,73.3242,4,,0,1
117,3124,4224,117,\N,1,4,-31.9369,77.6151,4,,0,1
118,3066,4121,118,\N,1,1,43.3664,155.3691,1,,0,1
119,3066,4121,119,\N,1,1,44.8012,155.2202,1,,0,1
120,3066,4121,120,\N,1,1,46.2899,-173.3714,1,,0,1
121,3066,4121,121,\N,1,1,46.1893,-172.5251,1,,0,1
122,3066,4121,122,\N,1,1,30.3348,144.2878,1,,0,1
123,1937,2602,123,\N,1,3,-32.491,141.312,2,,0,1
124,3077,4138,124,\N,1,1,-22.4192,-85.0385,1,,0,1
125,3077,4138,125,\N,1,1,-23.1972,-94.0191,1,,0,1
126,3077,4138,126,\N,1,1,-24.6396,-94.3886,1,,0,1
127,3066,4122,127,\N,1,1,12.0723,-77.4303,1,,0,1
128,3066,4122,128,\N,1,1,10.0397,-76.2438,1,,0,1
129,3066,4122,129,\N,1,3,13.5968,-35.2585,3,,0,1
130,3066,4122,130,\N,1,1,25.4089,-3.8057,1,,0,1
131,3066,4122,131,\N,1,1,28.2638,-1.5745,1,,0,1
132,3066,4122,132,\N,1,1,33.2,-10.5777,1,,0,1
133,3066,4122,133,\N,1,1,37.3644,-13.8866,1,,0,1
134,4517,6193,134,\N,1,3,-1.0726,129.1251,2,,0,1
135,4517,6193,135,\N,1,3,-6.7142,118.9982,3,,0,1
136,4517,6197,136,\N,1,6,-4.3289,-159.6406,2,,0,1
137,4496,6150,137,\N,1,3,-34.6822,-35.1035,4,,0,1
138,4496,6149,138,\N,1,3,22.8394,-18.6425,4,,0,1
139,479,692,139,\N,1,3,6.9426,43.2432,4,,0,1
140,479,692,140,\N,1,6,-32.6969,71.4594,3,,0,1
141,3077,4139,141,\N,1,1,-24.5217,57.0263,1,,0,1
142,472,679,142,\N,1,3,33.9303,-61.2215,2,,0,1
143,475,683,143,\N,1,6,48.4571,11.7493,4,,0,1
144,479,696,144,\N,1,3,-68.5409,-179.8289,2,,0,1
145,2467,3323,145,\N,1,4,9.748,134.2303,2,,0,1
146,2467,3323,146,\N,1,6,2.6866,143.0324,2,,0,1
147,3066,4121,147,\N,1,1,46.4393,-172.7334,1,,0,1
148,479,693,148,\N,1,3,-19.91,-7.52,4,,0,1
149,4511,6182,149,\N,1,3,13.9001,126.7439,4,,0,1
150,4511,6182,150,\N,1,6,-21.4056,112.6514,4,,0,1
151,4511,6182,151,\N,1,6,-23.7929,115.8528,3,,0,1
152,4511,6182,152,\N,1,4,19.5547,134.4431,2,,0,1
153,4511,6182,153,\N,1,7,17.535,130.9314,3,,0,1
154,4510,6180,154,\N,1,3,1.7506,171.5026,2,,0,1
155,4510,6180,155,\N,1,3,1.5933,171.149,2,,0,1
156,4510,6180,156,\N,1,3,3.6526,163.0878,4,,0,1
157,4510,6180,157,\N,1,4,-3.2671,136.3393,2,,0,1
158,3066,4122,158,\N,1,1,13.3009,-40.3557,1,,0,1
159,479,691,159,\N,1,4,8.4108,15.0591,3,,0,1
160,479,696,160,\N,1,4,52.1942,157.62,2,,0,1
161,4496,6148,161,\N,1,4,19.9735,-87.832,2,,0,1
162,4490,6139,162,\N,1,7,-38.9083,-176.2855,4,,0,1
163,4490,6139,163,\N,1,7,7.1037,-173.8253,2,,0,1
164,3066,4121,164,\N,1,4,36.1227,-158.9696,4,,0,1
165,4490,6139,165,\N,1,3,29.642,86.9916,3,,0,1
166,4496,6148,166,\N,1,4,-29.6222,-98.2775,2,,0,1
167,4490,6139,167,\N,1,4,-45.747299,105.370308,2,,0,1
168,3108,4176,168,\N,1,3,-47.4533,-18.4075,5,,0,1
169,3108,4176,169,\N,1,7,-42.7785,-21.7142,5,,0,1
170,3108,4177,170,\N,1,3,-41.3795,67.1302,5,,0,1
171,3108,4178,171,\N,1,7,-30.6692,-36.3747,5,,0,1
172,3108,4178,172,\N,1,3,-20.7668,-175.1816,5,,0,1
173,3108,4178,173,\N,1,6,34.7848,179.2113,5,,0,1
174,3108,4178,174,\N,1,4,35.3987,-178.5251,5,,0,1
175,3108,4178,175,\N,1,7,-19.6535,-165.4662,5,,0,1
176,3108,4177,176,\N,1,7,-14.7078,140.6005,5,,0,1
177,4490,6139,177,\N,1,7,-51.228111,104.541199,3,,0,1
178,4490,6139,178,\N,1,3,-39.871983,96.781685,4,,0,1
179,4490,6139,179,\N,1,3,-34.959667,91.613739,3,,0,1
180,4490,6139,180,\N,1,4,19.702206,93.107475,4,,0,1
181,472,679,181,\N,1,6,-27.7107,45.385,2,,0,1
182,3108,4177,182,\N,1,6,-22.1825,90.9471,5,,0,1
183,3108,4177,183,\N,1,4,-25.991,89.2176,5,,0,1
184,4509,6177,184,\N,1,1,8.32636,18.810936,2,,0,1
185,4509,6177,185,\N,1,4,25.255402,-5.682159,3,,0,1
186,4509,6176,186,\N,1,6,-39.902142,-65.974014,4,,0,1
187,4509,6176,187,\N,1,3,41.9804,-112.2412,3,,0,1
188,4509,6176,188,\N,1,4,-25.6059,-166.836,3,,0,1
189,4509,6178,189,\N,1,6,-35.158333,-26.877186,3,,0,1
190,4509,6178,190,\N,1,3,-11.193197,-56.67981,4,,0,1
191,4509,6178,191,\N,1,1,-8.77,103.1274,2,,0,1
192,475,684,192,\N,1,3,23.2293,33.6618,2,,0,1
193,4517,6196,193,\N,1,3,-18.964655,-70.320999,4,,0,1
194,4517,6193,194,\N,1,7,0.078167,72.318115,4,,0,1
195,3076,4135,195,\N,1,3,-40.4635,25.8099,5,,0,1
196,4496,6151,196,\N,1,1,6.344975,66.142769,2,,0,1
197,3076,4132,197,\N,1,6,12.3016,71.5827,5,,0,1
198,3076,4135,198,\N,1,6,-23.9181,88.1463,5,,0,1
199,3076,4133,199,\N,1,6,16.5483,-107.4797,5,,0,1
200,4496,6151,200,\N,1,4,-34.200191,71.3442,4,,0,1
201,4496,6151,201,\N,1,7,8.482067,82.072815,4,,0,1
202,3076,4135,202,\N,1,7,-25.52,31.43,5,,0,1
203,3076,4135,203,\N,1,6,-2.14,25.24,5,,0,1
204,3089,4153,204,\N,1,4,-29.8096,-4.2618,5,,0,1
205,3089,4153,205,\N,1,4,15.2088,-45.2712,5,,0,1
206,3089,4154,206,\N,1,6,-21.005,-88.7599,5,,0,1
207,3089,4154,207,\N,1,7,-13.1651,-54.358,5,,0,1
208,3089,4151,208,\N,1,3,-13.9421,-46.4597,5,,0,1
209,3089,4152,209,\N,1,6,25.7177,-1.6153,5,,0,1
210,3089,4154,210,\N,1,3,-7.11,-45.74,5,,0,1
211,3089,4153,211,\N,1,7,36.5769,-42.4067,5,,0,1
212,3089,4153,212,\N,1,6,32.4949,-51.126,5,,0,1
213,4496,6151,213,\N,1,1,15.443384,110.782776,1,,0,1
214,3089,4151,214,\N,1,6,-39.136917,24.273895,5,,0,1
215,3089,4151,215,\N,1,4,6.764772,-36.089458,5,,0,1
216,3065,4118,216,\N,1,4,-9.914108,-40.68626,5,,0,1
217,3065,4117,217,\N,1,7,10.0852,167.6335,5,,0,1
218,3065,4117,218,\N,1,6,13.3545,131.8813,5,,0,1
219,3077,4139,219,\N,1,1,46.686771,-61.950241,1,,0,1
220,3077,4139,220,\N,1,1,-23.7951,57.0969,2,,0,1
221,3065,4117,221,\N,1,3,21.3418,144.2497,5,,0,1
222,3065,4117,222,\N,1,7,21.9716,144.1244,5,,0,1
223,3086,4148,223,\N,1,7,30.936,53.8083,5,,0,1
224,3086,4148,224,\N,1,3,27.2445,65.7356,5,,0,1
225,3089,4151,225,\N,1,4,-48.2301,3.2941,5,,0,1
226,3089,4152,226,\N,1,6,-74.969,48.4407,5,,0,1
227,472,679,227,\N,1,1,-31.1085,45.35,1,,0,1
228,3076,4133,228,\N,1,4,11.6919,-170.1519,5,,0,1
229,3076,4136,229,\N,1,4,-20.2260,-97.9429,5,,0,1
230,3076,4136,230,\N,1,3,-13.373994,-115.12986,5,,0,1
231,3076,4133,231,\N,1,4,46.3852,-130.0746,5,,0,1
232,3076,4132,232,\N,1,6,-44.3297,93.9267,5,,0,1
233,3076,4132,233,\N,1,7,21.0044,72.5935,5,,0,1
234,3086,4148,234,\N,1,7,-32.5879,75.0231,5,,0,1
235,3076,4137,235,\N,1,4,35.8587,64.3404,5,,0,1
236,4517,6198,236,\N,1,1,-13.8924,99.4376,1,,0,1
237,3076,4136,237,\N,1,6,-19.5722,-99.8317,5,,0,1
238,3089,4154,238,\N,1,7,-2.478,-110.8873,5,,0,1
239,3115,4190,239,\N,1,6,11.2107,-144.2938,5,,0,1
240,3115,4191,240,\N,1,7,-36.5242,165.4726,5,,0,1
241,3115,4192,241,\N,1,7,-29.6271,10.0355,5,,0,1
242,3115,4191,242,\N,1,3,-29.4924,173.2256,5,,0,1
243,3052,4089,243,\N,1,4,-4.1823,-159.1976,5,,0,1
244,3052,4093,244,\N,1,4,7.7768,-75.4291,5,,0,1
245,3052,4093,245,\N,1,6,30.078,-94.7521,5,,0,1
246,3052,4093,246,\N,1,6,-2.9057,-120.0469,5,,0,1
247,3052,4093,247,\N,1,4,37.4628,-161.1595,5,,0,1
248,3052,4089,248,\N,1,7,-29.0538,-176.0698,5,,0,1
249,3065,4117,249,\N,1,4,10.0334,134.3038,5,,0,1
250,1926,2584,250,\N,1,3,21.9683,4.0998,5,,0,1
251,3052,4093,251,\N,1,3,-2.4109,-63.4993,5,,0,1
252,1926,2584,252,\N,1,7,0.5617,-37.5362,5,,0,1
253,1926,2584,253,\N,1,6,-9.8058,-48.6179,5,,0,1
254,1926,2585,254,\N,1,6,25.1771,125.9744,5,,0,1
255,1926,2585,255,\N,1,7,20.8356,106.2174,5,,0,1
256,1926,2584,256,\N,1,4,-3.5113,-75.3682,5,,0,1
257,1926,2586,257,\N,1,7,25.7664,90.2486,5,,0,1
258,1926,2584,258,\N,1,4,-22.5232,-89.4039,5,,0,1
259,3052,4092,259,\N,1,6,3.6266,62.894,5,,0,1
260,3076,4134,260,\N,1,7,-8.9994,-48.4632,5,,0,1
261,2117,2896,261,\N,1,4,8.4895,-32.6384,5,,0,1
262,2117,2896,262,\N,1,2,9.2924,-153.9186,5,,0,1
263,3151,4278,263,\N,1,3,-57.5045,-98.7233,3,,0,1
264,3052,4089,264,\N,1,6,-40.7096,-150.4434,5,,0,1
265,3052,4089,265,\N,1,7,11.9925,177.0452,5,,0,1
266,3052,4089,266,\N,1,3,11.3058,168.6456,5,,0,1
267,3052,4090,267,\N,1,6,-42.1026,-21.8752,5,,0,1
268,3052,4091,268,\N,1,6,-3.7977,-151.9287,5,,0,1
269,3052,4091,269,\N,1,3,31.0788,125.0003,5,,0,1
270,3115,4190,270,\N,1,1,-16.3615,-70.9038,5,,0,1
271,3115,4193,271,\N,1,1,-23.74,-156.2297,5,,0,1
272,3115,4193,272,\N,1,1,-12.4202,-119.2942,5,,0,1
273,3115,4193,273,\N,1,1,-1.9137,-117.9485,5,,0,1
274,3115,4190,274,\N,1,7,-3.535,-154.4564,5,,0,1
275,3115,4190,275,\N,1,1,-21.5297,-149.5396,5,,0,1
276,3115,4190,276,\N,1,1,22.5975,161.694,5,,0,1
277,3115,4193,277,\N,1,1,-29.0256,-171.2617,5,,0,1
278,2117,2896,278,\N,1,1,14.3738,-151.7665,5,,0,1
279,3108,4176,279,\N,1,4,-47.101,25.4678,5,,0,1
280,3108,4176,280,\N,1,6,-46.9866,30.8517,5,,0,1
281,3108,4178,281,\N,1,1,-11.0853,-12.4684,5,,0,1
282,479,696,282,\N,1,1,-41.3838,118.2001,1,,0,1
283,479,696,283,\N,1,6,-27.0431,-117.7679,2,,0,1
284,479,696,284,\N,1,1,33.1618,-168.081,1,,0,1
285,479,695,285,\N,1,1,-35.1251,-170.217,1,,0,1
286,479,695,286,\N,1,7,-18.842,-175.3425,2,,0,1
287,479,695,287,\N,1,3,29.5172,144.2521,2,,0,1
288,479,695,288,\N,1,3,-34.724,121.0089,2,,0,1
289,479,695,289,\N,1,1,-17.1109,135.4123,1,,0,1
290,479,695,290,\N,1,1,-42.3405,114.4266,1,,0,1
291,479,696,291,\N,1,3,-2.1569,-150.1207,4,,1,1
292,479,695,292,\N,1,1,-2.2737,-176.3177,1,,0,1
293,479,695,293,\N,1,1,-7.4033,-175.8724,1,,0,1
294,479,694,294,\N,1,1,7.6398,-33.3014,1,,0,1
295,4517,6193,295,\N,1,3,-26.1989,-163.9463,2,,0,1
296,4517,6193,296,\N,1,3,-21.3803,175.5019,3,,0,1
297,4517,6191,297,\N,1,3,24.3257,-65.3146,3,,0,1
298,4517,6191,298,\N,1,1,27.486,-60.4177,4,,0,1
299,4517,6191,299,\N,1,4,7.027,-43.568,2,,0,1
300,4517,6191,300,\N,1,6,6.6427,-42.4178,3,,0,1
301,4517,6191,301,\N,1,1,-37.1061,1.5222,3,,0,1
302,4517,6191,302,\N,1,3,0.8328,25.2289,2,,0,1
303,4517,6191,303,\N,1,6,24.3149,27.5883,2,,0,1
304,4517,6191,304,\N,1,1,24.5167,26.035,4,,0,1
305,4517,6191,305,\N,1,1,24.1364,23.5438,4,,0,1
306,479,694,306,\N,1,3,6.3418,27.9524,2,,0,1
307,479,694,307,\N,1,1,-16.067,45.1604,1,,0,1
308,479,694,308,\N,1,7,28.6814,82.4823,2,,0,1
309,479,694,309,\N,1,1,19.6242,91.5534,1,,0,1
310,479,694,310,\N,1,1,61.0055,72.9185,1,,0,1
311,479,694,311,\N,1,1,-2.5465,45.0905,1,,0,1
312,479,693,312,\N,1,1,16.9494,21.8354,1,,0,1
313,479,693,313,\N,1,6,12.4513,18.1673,2,,0,1
314,479,693,314,\N,1,1,4.3463,-8.8267,1,,0,1
315,479,693,315,\N,1,1,-34.7148,1.8351,1,,0,1
316,479,693,316,\N,1,1,-43.786,-28.9474,1,,0,1
317,479,693,317,\N,1,4,7.2985,-75.0633,2,,0,1
318,4517,6192,318,\N,1,1,-14.847,-172.3047,4,,0,1
319,4517,6192,319,\N,1,6,-15.563,-173.5123,3,,0,1
320,4517,6192,320,\N,1,6,-21.533,178.1467,2,,0,1
321,4517,6192,321,\N,1,1,-24.6955,179.3156,4,,0,1
322,4517,6192,322,\N,1,7,-52.3946,-140.2005,3,,0,1
323,4517,6192,323,\N,1,4,-60.2777,-150.3504,2,,0,1
324,4517,6192,324,\N,1,1,-47.342,100.3219,4,,0,1
325,4517,6192,325,\N,1,1,-42.7713,99.478,3,,0,1
326,479,692,326,\N,1,3,17.1835,134.1889,2,,0,1
327,479,692,327,\N,1,1,16.4167,117.2996,1,,0,1
328,479,692,328,\N,1,3,-43.7392,83.9161,2,,0,1
329,479,692,329,\N,1,1,7.1506,43.3079,1,,0,1
330,479,691,330,\N,1,3,14.2427,9.9741,2,,0,1
331,4517,6194,331,\N,1,1,-9.2392,-104.7918,1,,0,1
332,4517,6194,332,\N,1,4,-8.0082,-104.6207,3,,0,1
333,4517,6194,333,\N,1,1,-5.7714,-105.9496,1,,0,1
334,4517,6194,334,\N,1,3,-68.6564,-94.7628,2,,0,1
335,4517,6194,335,\N,1,6,-67.3768,-43.0866,3,,0,1
336,4517,6194,336,\N,1,3,-67.0238,5.1413,2,,0,1
337,4517,6194,337,\N,1,1,-69.2475,8.9549,4,,0,1
338,4517,6194,338,\N,1,1,-36.7089,38.3648,4,,0,1
339,4517,6194,339,\N,1,3,-33.4331,15.8306,2,,0,1
340,479,691,340,\N,1,1,21.7845,90.1803,1,,0,1
341,475,682,341,\N,1,3,77.01,138.07,3,,0,1
342,475,682,342,\N,1,4,40.6880,177.4577,4,,0,1
343,475,682,343,\N,1,3,28.7510,-169.5665,2,,0,1
344,475,683,344,\N,1,1,2.26,-54.58,2,,0,1
345,475,683,345,\N,1,1,6.52,-36.1,1,,0,1
346,475,683,346,\N,1,1,-10.15,-9.99,1,,0,1
347,475,683,347,\N,1,1,-45.3,-79.85,1,,0,1
348,475,683,348,\N,1,1,4.77,18.67,2,,0,1
349,475,683,349,\N,1,1,-12.28,11.61,1,,0,1
350,475,683,350,\N,1,1,48.45,11.75,1,,0,1
351,475,684,351,\N,1,1,-12.29,99.46,1,,0,1
352,475,684,352,\N,1,1,0.76,70.89,2,,0,1
353,475,684,353,\N,1,1,63.6,15.72,1,,0,1
354,475,684,354,\N,1,1,-45.56,-5.53,1,,0,1
355,475,684,355,\N,1,1,-24.33,3.5,1,,0,1
356,475,684,356,\N,1,1,61.15,58.73,1,,0,1
357,475,685,357,\N,1,1,38.77,-154.91,1,,0,1
358,475,685,358,\N,1,1,23.65,-115.66,2,,0,1
359,475,685,359,\N,1,1,20.6,-112.85,1,,0,1
360,475,685,360,\N,1,1,9.34,-98.77,1,,0,1
361,475,686,361,\N,1,1,-35.78,-2.17,1,,0,1
362,475,686,362,\N,1,1,-47.12,-21.08,2,,0,1
363,475,686,363,\N,1,1,-32.16,-128.57,1,,0,1
364,475,686,364,\N,1,1,-29.75,-54.33,1,,0,1
365,475,686,365,\N,1,1,-24.75,-64.04,2,,0,1
366,475,686,366,\N,1,1,-16.14,-95.42,1,,0,1
367,475,686,367,\N,1,1,9.91,-81.66,1,,0,1
368,475,686,368,\N,1,1,-25.03,-115.39,2,,0,1
369,3052,4090,369,\N,1,3,13.2042,-34.7447,5,,0,1
370,3052,4090,370,\N,1,4,-18.3157,-40.9142,5,,0,1
371,3052,4090,371,\N,1,7,24.7016,-72.501,5,,0,1
372,3052,4091,372,\N,1,1,51.6484,-179.5194,5,,0,1
373,3052,4091,373,\N,1,1,1.2248,117.4872,5,,0,1
374,3052,4092,374,\N,1,1,-0.4889,49.5748,5,,0,1
375,3052,4092,375,\N,1,1,71.5158,-4.9843,5,,0,1
376,3052,4092,376,\N,1,1,52.2733,51.5612,5,,0,1
377,3052,4092,377,\N,1,1,-36.3914,11.5551,5,,0,1
378,3052,4092,378,\N,1,7,-17.5916,-24.2264,5,,0,1
379,3052,4093,379,\N,1,1,-34.4247,-76.8445,5,,0,1
380,3052,4093,380,\N,1,1,-41.7664,-66.169,5,,0,1
381,3065,4118,381,\N,1,6,15.2162,-31.8203,5,,0,1
382,3065,4118,382,\N,1,3,-13.7828,-6.9118,5,,0,1
383,3065,4119,383,\N,1,6,14.1165,-30.1464,5,,0,1
384,3065,4119,384,\N,1,3,7.7236,-30.3388,5,,0,1
385,3065,4119,385,\N,1,4,2.7347,-23.5291,5,,0,1
386,3065,4119,386,\N,1,7,-6.2173,-39.4712,5,,0,1
387,3065,4119,387,\N,1,6,-11.9026,-54.6821,5,,0,1
388,3065,4119,388,\N,1,3,-66.7738,-104.2762,5,,0,1
389,3065,4119,389,\N,1,4,-71.9269,45.2294,5,,0,1
390,3065,4119,390,\N,1,6,-31.8243,13.7997,5,,0,1
391,3065,4119,391,\N,1,7,10.9063,-61.2944,5,,0,1
392,3065,4116,392,\N,1,7,11.8709,-79.3125,5,,0,1
393,3065,4116,393,\N,1,4,40.6923,-67.8523,5,,0,1
394,3065,4116,394,\N,1,6,35.8146,-65.0837,5,,0,1
395,3065,4116,395,\N,1,7,14.3189,-34.1781,5,,0,1
396,3065,4116,396,\N,1,3,29.7595,-26.6644,5,,0,1
397,3065,4116,397,\N,1,3,56.7874,-75.8513,5,,0,1
398,3065,4118,398,\N,1,4,-5.1999,21.5048,5,,0,1
399,3065,4118,399,\N,1,6,15.5063,12.8533,5,,0,1
400,3065,4118,400,\N,1,6,32.3491,9.8881,5,,0,1
401,3065,4118,401,\N,1,7,32.5921,10.0386,5,,0,1
402,3065,4118,402,\N,1,4,-41.9321,18.9252,5,,0,1
403,3065,4118,403,\N,1,7,-54.0034,-10.2792,5,,0,1
404,3065,4118,404,\N,1,3,-56.3423,-21.4772,5,,0,1
405,3065,4117,405,\N,1,6,25.7696,-126.6229,5,,0,1
406,3065,4117,406,\N,1,4,27.0758,-126.0426,5,,0,1
407,3065,4117,407,\N,1,3,-28.8471,-167.1152,5,,0,1
