"id","systemName","id64","edsmID","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","missingSkipCount","created_at","updated_at"
23,ARIES DARK REGION AL-O B6-0,669880100177,182035,-66.84375,-199.28125,-212.75,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
24,ARIES DARK REGION AQ-Y D14,491480123723,182059,-159.53125,-144.25,-268.90625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
25,ARIES DARK REGION DB-X C1-2,633339777690,8684716,-182.78125,-172.84375,-293.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
26,ARIES DARK REGION DB-X C1-7,2007729312410,6135704,-168.125,-173.90625,-281.15625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
27,ARIES DARK REGION DB-X D1-63,2175124097363,1264484,-119.625,-90.84375,-247.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
28,ARIES DARK REGION DB-X D1-64,2209483835731,1264483,-107.5625,-99.90625,-239.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
29,ARIES DARK REGION FR-V C2-1,358596154018,23538,-68.34375,-89.1875,-246.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
30,ARIES DARK REGION FR-V C2-17,4756642665122,318254,-100.71875,-102.75,-239.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
31,ARIES DARK REGION FR-V C2-5,1458107781794,76106,-67.0625,-102.875,-227.84375,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
32,ARIES DARK REGION FW-W D1-59,2037685127507,2802744,-108.65625,-128.28125,-223.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
33,ARIES DARK REGION FW-W D1-76,2621800679763,4395317,-136.75,-130.34375,-207.90625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
34,ARIES DARK REGION GR-V C2-7,2007930704546,23539,-58.96875,-96.15625,-254.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
35,ARIES DARK REGION GW-W D1-37,1281787660627,1891155,-57.28125,-170.71875,-242.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
36,ARIES DARK REGION GW-W D1-40,1384866875731,77781,-47.375,-166.84375,-242.90625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
37,ARIES DARK REGION GW-W D1-48,1659744782675,283327,-35.25,-124.3125,-249.5,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
38,ARIES DARK REGION GW-W D1-52,1797183736147,102852,-55.96875,-112.34375,-208.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
39,ARIES DARK REGION GW-W D1-81,2793616148819,283066,-40.75,-122.6875,-226.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
40,ARIES DARK REGION GW-W D1-86,2965414840659,311536,-21.25,-129.75,-227.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
41,ARIES DARK REGION GX-S B4-1,2868366812481,2954879,-120.21875,-101.59375,-257.84375,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
42,ARIES DARK REGION HR-W C1-1,358461805210,7861082,-169.46875,-231.34375,-298.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
43,ARIES DARK REGION HR-W D1-34,1178691651923,3049888,-69.34375,-197.6875,-253.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
44,ARIES DARK REGION HR-W D1-44,1522289035603,1603711,-135.71875,-194.6875,-236.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
45,ARIES DARK REGION HR-W D1-53,1831526680915,8554268,-140.25,-213.25,-253.0625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
46,ARIES DARK REGION HR-W D1-54,1865886419283,5255099,-143.78125,-229.1875,-260.1875,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
47,ARIES DARK REGION IH-V C2-9,2557552235170,3196709,-105.59375,-172.65625,-233.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
48,ARIES DARK REGION IM-V C2-11,3107442299554,306537,-39.59375,-141,-232,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
49,ARIES DARK REGION IM-V C2-13,3657198113442,223817,-40.1875,-142.0625,-236.75,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
50,ARIES DARK REGION IM-V C2-5,1458174857890,214900,-27.03125,-115.21875,-262.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:38
51,ARIES DARK REGION IN-S B4-1,2867829810497,5314199,-158.96875,-141.03125,-254.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
52,ARIES DARK REGION IX-S B4-0,669880427841,228758,-75.4375,-103.53125,-251.1875,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
53,ARIES DARK REGION JC-V C2-6,1732851372706,3052391,-154.65625,-222.375,-241.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
54,ARIES DARK REGION JS-T C3-1,358461903530,5314200,-166.125,-139.375,-224.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
55,ARIES DARK REGION JW-W C1-4,1183363994266,8508448,-6.21875,-195.53125,-269.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
56,ARIES DARK REGION KH-V C2-4,1183296918178,77773,-33.21875,-180.25,-245,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
57,ARIES DARK REGION LN-T C3-9,2557485126314,1064466,-166.21875,-162.625,-211.3125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
58,ARIES DARK REGION MS-S B4-3,7267486999873,374151,-28.75,-122.71875,-257.53125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
59,ARIES DARK REGION MS-T C3-10,2832564392618,181999,-34.84375,-135.71875,-203.46875,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
60,ARIES DARK REGION MS-T C3-11,3107442299562,69728,-61.40625,-113.1875,-222.3125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
61,ARIES DARK REGION MS-T C3-15,4206953927338,203314,-57.21875,-134.28125,-215.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
62,ARIES DARK REGION MS-T C3-2,633541137066,307762,-29.3125,-138.25,-221.90625,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
63,ARIES DARK REGION MS-T C3-3,908419044010,308125,-27.46875,-134.6875,-219.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
64,ARIES DARK REGION MX-U C2-10,2832430076578,105429,-105.5,-235.875,-229.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
65,ARIES DARK REGION MX-U C2-8,2282674262690,686631,-142,-251.84375,-259.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
66,ARIES DARK REGION ND-R B5-0,670148863305,57745,-62.4375,-99.03125,-240.8125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
67,ARIES DARK REGION NN-T C3-12,3382253064874,8524323,-83.375,-179.125,-223.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
68,ARIES DARK REGION NS-S B4-2,5068732179777,1209764,-21.75,-118.125,-258.15625,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
69,ARIES DARK REGION NY-Q B5-0,669611926857,1188369,-104.5625,-119.21875,-241.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
70,ARIES DARK REGION NY-Q B5-3,7266681693513,133119,-86.15625,-117.375,-236.40625,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
71,ARIES DARK REGION NY-Q B5-4,9465704949065,133120,-85.75,-120.5625,-240.53125,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
72,ARIES DARK REGION OD-S B4-1,2868366550337,3472305,-109.46875,-174.8125,-249.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
73,ARIES DARK REGION OI-T C3-8,2282674295466,182004,-114.53125,-210.25,-208.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
74,ARIES DARK REGION OY-Q B5-3,7266950128969,206404,-73.28125,-117.21875,-238.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
75,ARIES DARK REGION PY-Q B5-1,2869172053321,393349,-56.78125,-115.5,-231.5,1,,2018-12-03 01:58:13,2018-12-03 02:01:41
76,ARIES DARK REGION PY-Q B5-2,5068195308873,283282,-58.53125,-114.875,-237.15625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
77,ARIES DARK REGION PY-Q B5-3,7267218564425,261253,-59.3125,-117.6875,-238.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
78,ARIES DARK REGION PY-R B4-1,2868098049345,5364714,-142.875,-198.15625,-257.1875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
79,ARIES DARK REGION QI-S B4-2,5068463613249,417274,-36.0625,-149.6875,-251.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
80,ARIES DARK REGION QT-Q B5-2,5067926807881,248298,-81.65625,-135.71875,-234.15625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
81,ARIES DARK REGION QY-Q B5-0,670417233225,128243,-40.28125,-121.03125,-240.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
82,ARIES DARK REGION QY-Q B5-2,5068463744329,266207,-34.71875,-110.90625,-228.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
83,ARIES DARK REGION SD-S B4-0,670417036609,97137,-28.34375,-167.21875,-250.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
84,ARIES DARK REGION SE-P B6-3,7266950128977,31557,-71.625,-108.875,-218.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
85,ARIES DARK REGION ST-Q B5-1,2869440423241,228013,-42.375,-136.6875,-242.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
86,ARIES DARK REGION TE-P B6-0,670148797777,295022,-63.46875,-108.0625,-222.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
87,ARIES DARK REGION TZ-O B6-2,5067658372433,20249,-86.9375,-129.3125,-215.9375,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
88,ARIES DARK REGION UZ-O B6-0,669880296785,186296,-79.5,-139.65625,-220.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
89,ARIES DARK REGION VT-R B4-0,670148470081,4962657,-61.375,-220.8125,-261.46875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
90,ARIES DARK REGION XA-N B7-0,669074924889,3737655,-139.1875,-160.5625,-199.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
91,ARIES DARK REGION YF-N B7-2,5067926807897,186295,-81.03125,-125.15625,-203.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
92,ARIES DARK REGION YF-N B7-3,7266950063449,20250,-82.875,-125.15625,-199.40625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
93,ARIES DARK REGION YU-O B6-0,670417102161,447701,-31.9375,-147.0625,-224.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
94,ARIETIS SECTOR AF-A D48,1659744799059,81289,-19.375,-78.5,-185.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
95,ARIETIS SECTOR AF-A D68,2346939566419,187569,-26.75,-91.5,-196.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
96,ARIETIS SECTOR AF-Z B3,7267487196505,405528,-42.0625,-52.6875,-192.21875,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
97,ARIETIS SECTOR AK-A C4,1183364092586,233590,-22,-81.9375,-197.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
98,ARIETIS SECTOR BA-Z B1,2869172184409,445042,-59.3125,-84.96875,-201.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
99,ARIETIS SECTOR CL-X B1-6,13864020092257,325007,-80.6875,-53.84375,-177.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
100,ARIETIS SECTOR CQ-Y C18,5031520572082,228495,-99.9375,-83.4375,-168.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:45
101,ARIETIS SECTOR DL-Y D73,2518721481051,20258,-101.0625,-87.90625,-147.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
102,ARIETIS SECTOR DQ-Y B3,7266681693529,92790,-89.28125,-110.09375,-191.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
103,ARIETIS SECTOR DQ-Y C11,3107442332338,83015,-49.4375,-92.21875,-171.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
104,ARIETIS SECTOR DQ-Y C20,5581343494834,148646,-60.75,-70.40625,-163.46875,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
105,ARIETIS SECTOR DV-Y B1,2869172118873,303534,-63.34375,-101.25,-202.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
106,ARIETIS SECTOR EG-X B1-5,11664996771169,326307,-82.3125,-75.625,-181.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
107,ARIETIS SECTOR EL-X B1-5,11665533707617,37436,-31.375,-55.46875,-172.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
108,ARIETIS SECTOR EL-Y C13,3657131004594,186304,-72.3125,-126.65625,-179.78125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
109,ARIETIS SECTOR FG-X B1-2,5068195439969,201648,-54.125,-77.21875,-172.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
110,ARIETIS SECTOR FG-X B1-4,9466241951073,172635,-50.34375,-71.75,-167.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
111,ARIETIS SECTOR GG-X B1-4,9466510386529,181903,-37.46875,-68.6875,-166.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
112,ARIETIS SECTOR GS-R A5-3,58133992721104,206407,-90.3125,-39.5625,-163.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
113,ARIETIS SECTOR HS-R A5-1,22950694374096,166879,-83.375,-44.78125,-161.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
114,ARIETIS SECTOR HW-W C1-7,2007930704570,283834,-52.125,-77.0625,-109.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
115,ARIETIS SECTOR IH-U B3-3,7267487327601,1124941,-35.90625,-18.40625,-143.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
116,ARIETIS SECTOR JR-W C1-8,2282808578746,1087736,-57.46875,-136.46875,-142.5,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
117,ARIETIS SECTOR JS-R A5-0,5360655813328,1081304,-57.90625,-42.40625,-156.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
118,ARIETIS SECTOR KH-V B2-3,7266950194537,125832,-68.34375,-92.28125,-158.8125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
119,ARIETIS SECTOR KS-R A5-1,22953915599568,28228,-51.34375,-43.8125,-156.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
120,ARIETIS SECTOR LS-T B3-1,2868635313521,690205,-96.9375,-72.96875,-132.8125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
121,ARIETIS SECTOR NN-T B3-4,9465705014641,422683,-102.46875,-104.8125,-141.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
122,ARIETIS SECTOR PX-U B2-2,5068195243369,105609,-47.71875,-126.78125,-164.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
123,ARIETIS SECTOR SE-X A2-0,5357434718904,514965,-93.4375,-25.21875,-186.53125,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
124,ARIETIS SECTOR TD-T B3-1,2869171987825,101378,-49.78125,-126.53125,-129.75,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
125,ARIETIS SECTOR WE-X A2-0,5361729686200,233742,-53.90625,-34,-193,1,,2018-12-03 01:58:13,2018-12-03 02:01:48
126,ARIETIS SECTOR WT-A B1,2868903748945,157707,-73.4375,-69.34375,-212.46875,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
127,ARIETIS SECTOR XE-Z B4,9465705145689,782252,-98.78125,-54.03125,-199.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
128,ARIETIS SECTOR XF-V A3-3,58132918979264,774998,-95.5,-44.78125,-184.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
129,ARIETIS SECTOR XO-A C10,2832564458154,450898,-58,-50,-195.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
130,ARIETIS SECTOR YL-T A4-5,93314069842632,340119,-127.5,-43.90625,-165.5,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
131,ARIETIS SECTOR YZ-W A2-4,75730473732792,28248,-52.09375,-39.1875,-187.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
132,ARIETIS SECTOR ZE-A D49,1694087760211,1148891,-101.25,-54.75,-205.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
133,ARIETIS SECTOR ZJ-A C15,4206953960106,261251,-46.03125,-90.40625,-203.78125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
134,ARIETIS SECTOR ZJ-A C3,908419076778,181904,-35.875,-86.34375,-201.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
135,ARIETIS SECTOR ZO-A B0,670148863313,23582,-64.78125,-85.375,-212.8125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
136,ARIETIS SECTOR ZO-A B4,9466241885521,283323,-48.125,-95.03125,-205.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
137,ASSAIPY LD-K D8-71,2454062110539,19907828,19221.5,4.28125,35514.4375,0,,2018-12-03 01:58:13,2018-12-03 02:01:52
138,ASSINDA,5067926873465,18391,-70.3125,-118.90625,-112.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
139,ASTEROPE,216054883492,23591,-80.15625,-144.09375,-333.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
140,ATHAIR YO-I D9-272,9357869470291,24549013,7371.6875,-1219.375,22782.78125,0,,2018-12-03 01:58:13,2018-12-03 02:01:52
141,ATLAS,254709589156,23595,-76.71875,-147.34375,-344.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
142,BAULOO LX-U E2-17,74832685660,19758564,19299.8125,213.125,28938.25,0,,2018-12-03 01:58:13,2018-12-03 02:01:52
143,BLAA EAEC NL-L C9-136,37454228233810,24237505,-7761.09375,-660.78125,14724.375,0,,2018-12-03 01:58:13,2018-12-03 02:01:52
144,BLAA HYPAI CZ-D C13-0,85932317810,442438,1229.28125,-711.4375,12309.15625,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
145,BLAA HYPAI DD-I B26-0,687595141345,343230,1242.8125,-709.15625,12311.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
146,BLAA HYPAI DZ-D C13-1,360877333618,4984186,1255.4375,-738.53125,12322.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
147,BLAA HYPAI EU-D C13-0,85932285042,797929,1244.25,-752.1875,12307,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
148,BLAA HYPAI LZ-F B27-0,687595010281,12355394,1251.4375,-752.71875,12330.53125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
149,BLAA HYPAI OZ-O D6-0,10745663035,2363876,1218.90625,-738.6875,12299.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
150,BLAA HYPAI OZ-O D6-16,560501476923,17875231,1285.5,-731.65625,12309.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:52
151,BLAA HYPAI XR-I B26-0,687595337953,343225,1238.59375,-663.0625,12299.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
152,BLAE DRYE DF-I B57-6,13833418452457,27360662,-2350.21875,-45.21875,5283.09375,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
153,BLAE EORK IF-G C27-13,3671827813610,13853604,8668.1875,-172.03125,2656.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
154,BLAE EORK QU-D D13-3,115368479347,12029022,8602.75,-219.8125,2641.9375,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
155,BLAE EORK RK-C D14-15,527702149755,18763158,8708.0625,-104.3125,2718.125,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
156,BLAE EORK RU-D D13-17,596421593715,14710973,8675.5,-238.5,2655.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
157,BLAE EORK RU-D D13-20,699500808819,15416241,8675.25,-185.65625,2687.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
158,BLAE EORK UL-J B56-1,2986746784225,18752114,8710.15625,-113.9375,2702,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
159,BLAE HYPUE SW-E B28-1,2885813156081,747932,1182.0625,-698.78125,12337.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
160,BLAU AED GW-T D4-9,320755437099,24113304,4971.6875,1142.25,12195.15625,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
161,BLEETHOAE CM-C D13-208,7156933695603,25529314,-1816.125,-765.6875,38466.15625,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
162,BLEIA DRYIAE MA-M B54-8,18256965807569,6012096,-445.3125,-209.40625,5233.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
163,BLEIA DRYIAE UP-F B44-1,2864339955065,27790909,-424.4375,-192.3125,5004.25,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
164,BLO AESCS UL-L B41-1,2776297519457,23911764,-6983.125,1140.4375,12622.96875,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
165,BLO AESCS YY-A D80,2757780131331,4618338,-7103.21875,411.9375,11758.1875,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
166,BLU EUQ BM-C D13-24,835262188403,23444293,660.46875,503.09375,5202.5625,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
167,BLU THUA IR-N D6-65,2243961031227,20425548,447.96875,3.75,2055.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
168,BOEPP ZK-O E6-226,971960715260,25516618,-426.46875,-587.09375,16712.90625,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
169,BOEWNST HN-S E4-325,1397011507180,24966273,-6172.15625,-118.09375,16505.875,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
170,BOEWNST TG-J D10-1066,36636666597339,10417398,-6200.46875,-142.1875,16464.5,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
171,BOTEIN,18490582188,23663,-42.03125,-88.875,-138.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
172,BRAUFAE GQ-Y D1,44669635083,29857107,-854.75,1460.625,1597.21875,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
173,BRAUFAE WY-A D0,10309945859,29860286,-815.125,1660.09375,1560.71875,0,,2018-12-03 01:58:13,2018-12-03 02:01:56
174,BRESTLA,673101653409,13827,159.46875,-103.75,-19.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
175,BUBBLE SECTOR LX-T B3-1,2781662552433,67029,-6568.375,24.6875,-2687.28125,1,,2018-12-03 01:58:13,2018-12-03 02:01:56
176,BUKURNABAL,4206954123994,10138,-46.5625,100.78125,32.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:59
177,BYAA FLEE MT-N C21-0,20837709242,25107655,-37583.5625,459.53125,44656.75,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
178,BYAE AOWSY DK-L C22-11,3131266348482,29173297,14154.5,357.1875,44733.375,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
179,BYAE AOWSY GR-N D6-52,1800203672251,20968424,14407.625,17.5,44312.59375,1,,2018-12-03 01:58:13,2018-12-03 02:01:59
180,BYAE AOWSY LD-B B1-4,9665153821193,29176857,14758.96875,284.625,43769.71875,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
181,BYOI THUA BU-R D4-32,1108864977579,24418573,-5391.03125,267.8125,3253.90625,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
182,BYOI THUA FY-F D12-0,9286437611,24231159,-5739.65625,1181.09375,3824.0625,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
183,BYOI THUA JI-J D9-9,318456810195,23914316,-6025.28125,417.625,3592.53125,1,,2018-12-03 01:58:13,2018-12-03 02:01:59
184,BYOO BRE KS-S D4-0,14067834795,25856014,17068.9375,620.9375,56945.8125,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
185,BYOOE CHRAEA JL-P D5-1,39116086963,23504261,-27310.96875,24.25,54511.4375,1,,2018-12-03 01:58:13,2018-12-03 02:01:59
186,BYUA AIM HY-F D12-1322,45433430986731,25916033,-2963.21875,1177.1875,16635.1875,0,,2018-12-03 01:58:13,2018-12-03 02:01:59
