id,system,body,siteID,extoolID,latitude,longitude,status,verified,visible,msg1Site,msg2Site,msg3Site,discoveredBy
57,2407,3359,57,\N,3.1594,24.6321,2,1,1,68,67,51,439
58,1863,2588,58,\N,49.0882,-159.7362,2,1,1,66,39,65,439
59,1234,1731,59,\N,31.254,-87.6853,2,1,1,61,62,48,439
60,1261,1760,60,\N,66.3918,6.9695,3,1,1,\N,\N,\N,439
61,2275,3195,61,\N,27.3204,134.839,2,1,1,74,48,79,439
62,2276,3196,62,\N,-53.2853,130.7533,2,1,1,74,59,61,439
63,590,873,63,\N,24.0676,-175.1989,3,1,1,\N,\N,\N,439
64,1218,1712,64,\N,17.9523,-96.769,3,1,1,\N,\N,\N,439
65,1819,2511,65,\N,-14.9126,-108.3329,3,1,1,\N,\N,\N,439
66,1820,2512,66,\N,16.2778,156.3799,3,1,1,\N,\N,\N,439
67,1246,1744,67,\N,-55.0941,155.6531,2,1,1,70,73,72,439
68,1817,2509,68,\N,3.2208,11.7039,3,1,1,\N,\N,\N,439
69,2525,3511,69,\N,-29.1297,-64.9776,2,1,1,62,74,71,439
70,1807,2489,70,\N,-1.952,105.5397,3,1,1,\N,\N,\N,439
71,1242,1740,71,\N,-4.3562,117.895,2,1,1,69,74,62,439
72,1830,2528,72,\N,10.2451,-57.1205,3,1,1,\N,\N,\N,439
73,1212,1703,73,\N,-25.2169,19.5864,2,1,1,92,88,86,439
74,2529,3515,74,\N,-8.9625,151.9945,2,1,1,71,69,61,439
75,1255,1753,75,\N,27.9425,-129.5034,2,1,1,57,51,76,439
76,602,890,76,\N,46.8135,-120.6927,3,1,1,\N,\N,\N,439
77,1222,1717,77,\N,-27.0405,-51.5551,2,1,1,78,77,55,439
78,2277,3197,78,\N,10.4805,1.7204,2,1,1,80,77,81,439
79,1233,1730,79,\N,-15.8376,-106.2342,2,1,1,81,83,84,439
80,1804,2482,80,\N,-1.0307,-155.0255,2,1,1,91,93,78,439
81,1793,2464,81,\N,-11.3492,21.792,2,1,1,80,79,85,439
82,585,868,82,\N,-40.069,-149.5349,3,1,1,\N,\N,\N,439
83,1236,1734,83,\N,45.9043,-46.3383,2,1,1,87,89,84,439
84,2530,3516,84,\N,36.0025,136.0272,2,1,1,83,79,87,439
85,1232,1729,85,\N,16.8664,7.3309,2,1,1,81,93,91,439
86,63,81,86,\N,53.5298,-15.1728,2,1,1,106,32,90,439
87,2518,3504,87,\N,-34.9228,124.9054,2,1,1,83,84,94,439
88,1219,1713,88,\N,73.9072,176.1945,2,1,1,97,73,100,439
89,1173,1655,89,\N,24.5778,-129.9434,3,1,1,\N,\N,\N,439
90,54,72,90,\N,-42.187,72.608,2,1,1,95,121,122,439
91,1842,2544,91,\N,34.0179,-179.0716,2,1,1,80,85,93,439
92,1184,1672,92,\N,-31.0007,-54.2341,2,1,1,120,117,111,439
93,1224,1719,93,\N,15.2412,-45.352,2,1,1,91,55,85,439
94,2520,3506,94,\N,-45.3895,46.9644,2,1,1,96,98,87,439
95,73,94,95,\N,-22.6271,-15.8986,2,1,1,106,20,109,439
96,1867,2596,96,\N,13.0667,-27.9931,2,1,1,102,101,99,439
97,65,83,97,\N,-4.198,-48.9098,3,1,1,\N,\N,\N,439
98,1249,1747,98,\N,65.9622,32.9774,2,1,1,110,94,104,439
99,1783,2453,99,\N,-9.4777,-95.4254,2,1,1,103,104,107,439
100,48,66,100,\N,-17.2871,137.3867,3,1,1,\N,\N,\N,439
101,1822,2514,101,\N,-2.1361,-50.3902,2,1,1,75,114,50,439
102,2526,3512,102,\N,61.2111,47.3937,2,1,1,107,96,105,439
103,1798,2472,103,\N,-53.1279,79.7963,2,1,1,115,101,99,439
104,2531,3517,104,\N,-32.2019,24.7648,2,1,1,99,98,126,439
105,1253,1751,105,\N,16.9399,-53.3368,2,1,1,108,102,70,439
106,1845,2547,106,\N,-43.8597,85.8209,3,1,1,\N,\N,\N,439
107,2521,3507,107,\N,73.2347,168.6743,2,1,1,105,94,96,439
108,1247,1745,108,\N,-54.513,-32.504,2,1,1,105,102,112,439
109,1844,2546,109,\N,-37.9907,140.6388,2,1,1,118,88,42,439
110,1244,1742,110,\N,-11.2222,-80.0124,2,1,1,113,98,119,439
111,588,871,111,\N,-29.0123,-153.8312,3,1,1,\N,\N,\N,439
112,1243,1741,112,\N,50.3117,11.1931,2,1,1,115,108,114,439
113,2523,3509,113,\N,-20.9913,-31.436,2,1,1,119,123,110,439
114,1792,2463,114,\N,-32.6965,-169.7781,2,1,1,108,125,112,439
115,1239,1737,115,\N,32.5462,153.0528,2,1,1,112,103,116,439
116,1795,2467,116,\N,34.7054,43.2882,2,1,1,124,99,115,439
117,1189,1678,117,\N,-33.6164,-95.5121,3,1,1,\N,\N,\N,439
118,51,69,118,\N,-75.7543,-148.2469,3,1,1,\N,\N,\N,439
119,1241,1739,119,\N,27.8121,-69.1259,2,1,1,110,113,123,439
120,61,79,120,\N,-4.9532,44.6363,3,1,1,\N,\N,\N,439
121,1345,1899,121,\N,-7.0555,144.1756,3,1,1,\N,\N,\N,439
122,69,90,122,\N,13.3934,-78.7487,3,1,1,\N,\N,\N,439
123,2517,3503,123,\N,57.7906,67.3644,2,1,1,110,119,113,439
124,1220,1714,124,\N,41.7995,108.2899,3,1,1,\N,\N,\N,439
125,1260,1759,125,\N,29.6993,131.1824,3,1,1,\N,\N,\N,439
126,2524,3510,126,\N,-45.764,138.682,2,1,1,127,128,113,439
127,1483,2063,127,\N,-46.9797,111.2209,2,1,1,134,133,131,439
128,2528,3514,128,\N,2.954,39.8759,2,1,1,130,129,132,439
129,1477,2057,129,\N,39.8038,141.1577,2,1,1,128,130,132,439
130,1481,2061,130,\N,63.2875,124.5319,2,1,1,128,136,132,439
131,2690,3758,131,\N,68.5898,-22.5722,2,1,1,140,147,144,439
132,2519,3505,132,\N,23.2563,179.6454,2,1,1,135,128,129,439
133,1785,2455,133,\N,-51.4581,158.1264,2,1,1,142,138,145,439
134,2688,3756,134,\N,-29.1609,148.2092,2,1,1,131,133,127,439
135,1210,1701,135,\N,-25.8016,30.8571,2,1,1,137,139,132,439
136,1489,2069,136,\N,58.1601,53.4055,2,1,1,137,139,130,439
137,1475,2055,137,\N,18.6182,18.6466,2,1,1,136,139,135,439
138,1478,2058,138,\N,-49.2856,-159.0749,2,1,1,151,150,149,439
139,1204,1693,139,\N,-18.8713,84.8981,2,1,1,141,136,143,439
140,2522,3508,140,\N,-62.2121,-9.8656,2,1,1,146,131,147,439
141,1209,1700,141,\N,72.5156,-130.2906,2,1,1,148,143,172,439
142,1784,2454,142,\N,52.6056,-151.842,2,1,1,126,133,151,439
143,1480,2060,143,\N,16.1504,128.5936,2,1,1,139,135,137,439
144,603,891,144,\N,-8.4004,31.8891,3,1,1,\N,\N,\N,439
145,1860,2584,145,\N,-36.8524,101.0743,3,1,1,\N,\N,\N,439
146,2740,3820,146,\N,-13.3533,-104.0368,2,1,1,\N,147,47,439
147,1256,1754,147,\N,-48.1767,-13.3551,2,1,1,140,131,146,439
148,1203,1692,148,\N,0.8018,-144.8607,2,1,1,152,141,153,439
149,1479,2059,149,\N,-74.1521,-82.2954,2,1,1,138,162,150,439
150,1495,2075,150,\N,-74.7376,-152.5656,2,1,1,151,138,169,439
151,1507,2087,151,\N,25.7074,-21.7008,2,1,1,150,138,149,439
152,1835,2536,152,\N,-72.1508,135.5127,3,1,1,\N,\N,\N,439
153,1796,2468,153,\N,29.0335,153.3848,2,1,1,155,157,150,439
154,1851,2557,154,\N,31.5542,141.0143,2,1,1,156,159,158,439
155,1499,2079,155,\N,12.4032,-87.639,2,1,1,142,161,162,439
156,1862,2587,156,\N,-23.3712,-160.8387,3,1,1,\N,\N,\N,439
157,1833,2531,157,\N,0.5056,-32.957,2,1,1,1,153,160,439
158,598,885,158,\N,12.8468,-41.1254,3,1,1,\N,\N,\N,439
159,1337,1886,159,\N,-53.5029,106.5668,2,1,1,165,167,168,439
160,1346,1900,160,\N,38.6733,139.1832,3,1,1,\N,\N,\N,439
161,1492,2072,161,\N,-17.8016,-54.3772,2,1,1,155,163,162,439
162,1498,2078,162,\N,4.3611,-124.1767,2,1,1,149,161,155,439
163,2313,3243,163,\N,-31.2941,-77.4125,2,1,1,164,161,166,439
164,2315,3245,164,\N,5.441,43.5772,2,1,1,182,157,174,439
165,1347,1901,165,\N,-29.9773,-152.3166,3,1,1,\N,\N,\N,439
166,57,75,166,\N,-63.0211,-76.8831,2,1,1,175,171,170,439
167,1338,1888,167,\N,-46.2852,45.5708,3,1,1,\N,\N,\N,439
168,1342,1892,168,\N,-39.8101,36.0883,3,1,1,\N,\N,\N,439
169,1195,1684,169,\N,32.0728,51.8755,3,1,1,\N,\N,\N,439
170,68,89,170,\N,25.224,-123.7181,2,1,1,176,180,122,439
171,60,78,171,\N,-66.7152,-150.6992,2,1,1,175,192,173,439
172,1825,2523,172,\N,-13.3105,-15.3081,2,1,1,148,177,189,439
173,72,93,173,\N,-44.6778,-96.0452,2,1,1,175,179,171,439
174,2317,3247,174,\N,-35.3379,-127.4803,2,1,1,182,163,181,439
175,56,74,175,\N,-52.0494,7.952,2,1,1,173,2,171,439
176,1183,1671,176,\N,22.1347,96.5976,2,1,1,170,202,166,439
177,1809,2491,177,\N,50.3267,143.9451,2,1,1,178,183,172,439
178,1816,2508,178,\N,34.0093,63.7517,2,1,1,177,52,64,439
179,55,73,179,\N,-18.4545,-4.6061,2,1,1,184,186,171,439
180,67,88,180,\N,11.4778,81.5976,2,1,1,95,187,185,439
181,45,63,181,\N,33.3162,89.9169,2,1,1,194,190,191,439
182,2316,3246,182,\N,-34.85,52.573,2,1,1,164,174,179,439
183,1837,2538,183,\N,8.6513,78.215,2,1,1,188,197,190,439
184,1187,1676,184,\N,47.3301,-142.8403,3,1,1,\N,\N,\N,439
185,1178,1665,185,\N,2.1539,65.5808,3,1,1,\N,\N,\N,439
186,50,68,186,\N,-61.213,0.2473,3,1,1,\N,\N,\N,439
187,71,92,187,\N,66.8546,-149.872,3,1,1,\N,\N,\N,439
188,1826,2524,188,\N,-32.4659,-65.5308,2,1,1,193,3,195,439
189,1808,2490,189,\N,-35.6606,-38.1952,2,1,1,172,177,153,439
190,1491,2071,190,\N,41.5369,7.7036,2,1,1,181,182,164,439
191,1505,2085,191,\N,33.9557,16.7738,2,1,1,200,199,208,439
192,58,76,192,\N,30.7249,-175.8981,3,1,1,\N,\N,\N,439
193,1847,2551,193,\N,62.8175,137.8808,2,1,1,64,116,188,439
194,46,64,194,\N,-29.4982,-169.2346,2,1,1,181,196,190,439
195,1849,2555,195,\N,34.5205,-87.6166,2,1,1,21,5,198,439
196,44,62,196,\N,-43.779,-72.0815,3,1,1,\N,\N,\N,439
197,1827,2525,197,\N,-29.0631,73.5608,3,1,1,\N,\N,\N,439
198,1474,2054,198,\N,46.0061,-77.1934,2,1,1,195,5,199,439
199,1501,2081,199,\N,40.8408,-104.0889,2,1,1,198,203,201,439
200,1488,2068,200,\N,44.6542,39.6236,2,1,1,206,203,207,439
201,1485,2065,201,\N,38.6711,-86.7048,2,1,1,203,200,204,439
202,1182,1670,202,\N,-34.7251,-78.8895,3,1,1,\N,\N,\N,439
203,1484,2064,203,\N,22.3928,-135.0533,2,1,1,183,204,200,439
204,1482,2062,204,\N,-18.0788,42.2722,2,1,1,205,148,206,439
205,1500,2080,205,\N,34.9502,136.1186,2,1,1,204,201,203,439
206,1486,2066,206,\N,9.4863,-108.1907,2,1,1,191,200,204,439
207,1487,2067,207,\N,40.0326,164.0504,2,1,1,201,199,205,439
208,53,71,208,\N,21.0004,75.8452,2,1,1,209,191,174,439
209,1472,2052,209,\N,-8.1745,65.0438,3,1,1,\N,\N,\N,439
210,1341,1891,210,\N,27.1036,-128.5733,3,1,1,\N,\N,\N,439
211,59,77,211,\N,16.5321,-8.3025,3,1,1,\N,\N,\N,439
212,1199,1688,212,\N,-14.3252,-67.3716,3,1,1,\N,\N,\N,439
213,1240,1738,213,\N,19.4297,-146.9173,3,1,1,\N,\N,\N,439
214,1803,2481,214,\N,37.6546,39.9261,2,1,1,216,215,213,439
215,1226,1722,215,\N,60.0704,150.5113,2,1,1,211,212,217,439
216,1196,1685,216,\N,70.8429,19.5973,3,1,1,\N,\N,\N,439
217,52,70,217,\N,-28.2303,99.013,3,1,1,\N,\N,\N,439
218,1836,2537,218,\N,10.0272,45.0325,2,1,1,214,219,210,439
219,1806,2488,219,\N,76.9958,-139.547,2,1,1,154,218,220,439
220,1248,1746,220,\N,17.9813,140.8444,3,1,1,\N,\N,\N,439
221,582,865,221,\N,37.1876,-149.1016,3,1,1,\N,\N,\N,439
222,2310,3240,222,\N,47.3339,-16.4177,2,1,1,223,224,169,439
223,1198,1687,223,\N,-3.7118,89.4021,2,1,1,222,221,225,439
224,1208,1699,224,\N,-20.2772,152.5539,3,1,1,\N,\N,\N,439
225,2314,3244,225,\N,-53.0775,46.9689,2,1,1,226,221,111,439
226,586,869,226,\N,-1.2455,-139.3824,3,1,1,\N,\N,\N,439
227,1791,2462,227,\N,-3.2977,-131.8149,3,1,1,\N,\N,\N,439
228,2384,3333,228,\N,6.4332,-124.9072,2,1,1,\N,\N,\N,439
229,1252,1750,229,\N,16.3571,-135.0391,2,1,1,227,\N,\N,376
