"id","eventName","reason","created_at","updated_at"
123,CommunityGoalDiscard,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
124,CrewMemberJoins,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
125,CrewMemberQuits,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
126,CrewMemberRoleChange,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
127,EndCrewSession,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
128,EngineerContribution,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
129,EscapeInterdiction,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
130,MassModuleStore,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
131,MiningRefined,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
132,NewCommander,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
133,RefuelPartial,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
134,SelfDestruct,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
135,ShipyardSell,Canonn doesn't need this data,2019-01-23 01:02:36,2019-01-23 01:02:36
136,ReservoirReplenished,Not Reqiured,2019-01-23 01:02:36,2019-01-23 01:02:36
137,SquadronStartup,Not Required,2019-01-23 01:02:36,2019-01-23 01:02:36
162,FSSDiscoveryScan,Canonn doesn't need this data,2019-01-24 00:42:41,2019-01-24 00:42:41
170,FSSAllBodiesFound,Canonn doesn't need this data,2019-01-24 00:43:17,2019-01-24 00:43:17
182,FSDTarget,Canonn doesn't need this data,2019-01-24 00:52:35,2019-01-24 00:52:35
192,ReservoirReplenished,Canonn doesn't need this data,2019-01-24 00:59:34,2019-01-24 00:59:34
202,CodexEntry,Tracked via codexreports,2019-01-24 01:17:16,2019-01-24 01:17:16
